"","short_name","Freq","long_name"
"38","164664.0",57,"GCF_000165775.1_ASM16577v3"
"501","denovo12977.0",57,"GCF_000162015.1_ASM16201v1"
"660","denovo7482.0",57,"GCF_000162135.1_ASM16213v1"
"129","191251.0",56,"GCF_000162535.1_ASM16253v1"
"198","262917.0",56,"GCF_000484655.1_ASM48465v1"
"510","denovo1402.1",56,"GCF_001297745.1_ASM129774v1"
"520","denovo1779.0",56,"GCF_000403455.2_Dore_bact_5-2_V1"
"561","denovo3289.0",56,"GCF_002208045.1_SJD12"
"682","denovo8373.0",56,"GCF_002754015.1_ASM275401v1"
"264","296045.1",55,"GCF_000273765.1_Bact_frag_CL05T00C42_V1"
"380","4439360.0",55,"GCF_001286525.1_BFBE1.1"
"448","denovo10243.0",55,"GCF_900130135.1_PRJEB18269"
"458","denovo10471.1",55,"GCF_900157225.1_7BTORR"
"469","denovo10769.0",55,"GCF_001997325.1_ASM199732v1"
"515","denovo1685.1",55,"GCF_001746265.1_ASM174626v2"
"613","denovo5222.1",55,"GCF_002754075.1_ASM275407v1"
"647","denovo663.1",55,"GCF_002753935.1_ASM275393v1"
"656","denovo725.0",55,"GCF_000467975.1_ASM46797v1"
"720","denovo9776.0",55,"GCF_900104155.1_IMG-taxon_2593339137_annotated_assembly"
"263","296045.0",54,"GCF_001815255.1_ASM181525v1"
"443","995147.0",54,"GCF_002754155.1_ASM275415v1"
"513","denovo1684.0",54,"GCF_000467955.1_ASM46795v1"
"527","denovo2179.0",54,"GCF_000273155.1_Bact_frag_CL07T12C05_V1"
"652","denovo7014.0",54,"GCF_900155655.1_Prevotella_ihuae"
"222","268099.0",53,"GCF_000467815.1_ASM46781v1"
"511","denovo1457.0",53,"GCF_000307345.1_Para_merd_CL03T12C32_V1"
"543","denovo256.0",53,"GCF_002257605.1_ASM225760v1"
"556","denovo3050.0",53,"GCF_000467995.1_ASM46799v1"
"610","denovo5086.0",53,"GCF_002550015.1_ASM255001v1"
"35","162668.0",52,"GCF_000493455.1_LhCIRMBIA951V1"
"60","174358.0",52,"GCF_000424325.1_ASM42432v1"
"72","175712.0",52,"GCF_002204455.1_ASM220445v1"
"105","183958.0",52,"GCF_002754135.1_ASM275413v1"
"238","271185.1",52,"GCF_002218605.1_ASM221860v1"
