"","Mean_false_negative_TPM_value","Mapping_strategy"
"1",95.424606081961,"Bowtie"
"2",34.3677612403521,"Bowtie"
"3",34.1204866964288,"Bowtie"
"4",17.4592258952394,"Bowtie"
"5",47.7122710850723,"Bowtie"
"6",71.6632212192898,"Bowtie"
"7",69.7380578546011,"Bowtie"
"8",68.365504665189,"Bowtie"
"9",48.9032852586879,"Bowtie"
"10",22.827414878882,"Bowtie"
"11",38.6187128675993,"Bowtie"
"12",58.072083164784,"Bowtie"
"13",54.6047770078316,"Bowtie"
"14",54.0205764979544,"Bowtie"
"15",42.9816878075767,"Bowtie"
"16",20.6838454390957,"Bowtie"
"17",86.9592367797738,"Bowtie"
"18",40.0216680991769,"Bowtie"
"19",39.0606190663302,"Bowtie"
"20",58.0567362727462,"Bowtie"
"21",41.7930522696706,"Bowtie"
"22",24.6886282392659,"Bowtie"
"23",56.3056330405324,"Bowtie"
"24",25.5272372074758,"Bowtie"
"25",48.5496027054543,"Bowtie"
"26",29.7621565605688,"Bowtie"
"27",42.6230473989891,"Bowtie"
"28",36.6808601771041,"Bowtie"
"29",44.4444159323755,"Bowtie"
"30",25.1447064914099,"Bowtie"
"31",28.5323477580041,"Bowtie"
"32",37.3236265423381,"Bowtie"
"33",9.56559637347023,"Bowtie"
"34",27.3337816235165,"Bowtie"
"35",23.0278014025583,"Bowtie"
"36",29.5054865118256,"Bowtie"
"37",29.4091917293151,"Bowtie"
"38",37.6579614722715,"Bowtie"
"39",45.0587929578092,"Bowtie"
"40",26.6347755661268,"Bowtie"
"41",41.6291770777441,"Bowtie"
"42",32.7686860471399,"Bowtie"
"43",54.1656369837952,"Bowtie"
"44",38.9631452845462,"Bowtie"
"45",213.652097237172,"Bowtie"
"46",53.7573084769068,"Bowtie"
"47",805.773989681361,"Bowtie"
"48",37.383930843076,"Bowtie"
"49",48.4076858418659,"Bowtie"
"50",48.9181470935668,"Bowtie"
"51",48.19381738865,"Bowtie"
"52",49.7853070424825,"Bowtie"
"53",255.501024614401,"Bowtie"
"54",72.0621296079876,"Bowtie"
"55",92.5852734119614,"Bowtie"
"56",89.5387848101306,"Bowtie"
"57",36.7259563549868,"Bowtie"
"58",19.237274400864,"Bowtie"
"59",21.0259333123211,"Bowtie"
"60",21.6759746615614,"Bowtie"
"61",33.0879727057289,"Bowtie"
"62",23.9196426020502,"Bowtie"
"63",77.6826900553471,"Bowtie"
