"","Percent_false_positives","Mapping_strategy"
"1",25,"Bowtie"
"2",36,"Bowtie"
"3",57,"Bowtie"
"4",55,"Bowtie"
"5",82,"Bowtie"
"6",70,"Bowtie"
"7",78,"Bowtie"
"8",35,"Bowtie"
"9",25,"Bowtie"
"10",46,"Bowtie"
"11",43,"Bowtie"
"12",62,"Bowtie"
"13",93,"Bowtie"
"14",28,"Bowtie"
"15",100,"Bowtie"
"16",98,"Bowtie"
"17",34,"Bowtie"
"18",85,"Bowtie"
"19",64,"Bowtie"
"20",92,"Bowtie"
"21",85,"Bowtie"
"22",60,"Bowtie"
"23",92,"Bowtie"
"24",38,"Bowtie"
"25",97,"Bowtie"
"26",100,"Bowtie"
"27",37,"Bowtie"
"28",97,"Bowtie"
"29",96,"Bowtie"
"30",36,"Bowtie"
"31",82,"Bowtie"
"32",80,"Bowtie"
"33",40,"Bowtie"
"34",117,"Bowtie"
"35",110,"Bowtie"
"36",47,"Bowtie"
"37",107,"Bowtie"
"38",116,"Bowtie"
"39",73,"Bowtie"
"40",82,"Bowtie"
"41",93,"Bowtie"
"42",80,"Bowtie"
"43",102,"Bowtie"
"44",84,"Bowtie"
"45",92,"Bowtie"
"46",7,"Bowtie"
"47",68,"Bowtie"
"48",8,"Bowtie"
"49",93,"Bowtie"
"50",26,"Bowtie"
"51",48,"Bowtie"
"52",99,"Bowtie"
"53",34,"Bowtie"
"54",40,"Bowtie"
"55",58,"Bowtie"
"56",46,"Bowtie"
"57",45,"Bowtie"
"58",95,"Bowtie"
"59",85,"Bowtie"
"60",86,"Bowtie"
"61",87,"Bowtie"
"62",95,"Bowtie"
"63",95,"Bowtie"
"64",70,"Bowtie"
"65",256,"Kallisto"
"66",342,"Kallisto"
"67",227,"Kallisto"
"68",341,"Kallisto"
"69",373,"Kallisto"
"70",298,"Kallisto"
"71",323,"Kallisto"
"72",293,"Kallisto"
"73",267,"Kallisto"
"74",275,"Kallisto"
"75",244,"Kallisto"
"76",316,"Kallisto"
"77",301,"Kallisto"
"78",204,"Kallisto"
"79",318,"Kallisto"
"80",329,"Kallisto"
"81",210,"Kallisto"
"82",333,"Kallisto"
"83",240,"Kallisto"
"84",325,"Kallisto"
"85",340,"Kallisto"
"86",237,"Kallisto"
"87",317,"Kallisto"
"88",219,"Kallisto"
"89",338,"Kallisto"
"90",343,"Kallisto"
"91",282,"Kallisto"
"92",332,"Kallisto"
"93",328,"Kallisto"
"94",267,"Kallisto"
"95",347,"Kallisto"
"96",332,"Kallisto"
"97",236,"Kallisto"
"98",361,"Kallisto"
"99",339,"Kallisto"
"100",284,"Kallisto"
"101",351,"Kallisto"
"102",351,"Kallisto"
"103",300,"Kallisto"
"104",387,"Kallisto"
"105",321,"Kallisto"
"106",330,"Kallisto"
"107",357,"Kallisto"
"108",307,"Kallisto"
"109",328,"Kallisto"
"110",210,"Kallisto"
"111",310,"Kallisto"
"112",122,"Kallisto"
"113",345,"Kallisto"
"114",344,"Kallisto"
"115",292,"Kallisto"
"116",373,"Kallisto"
"117",260,"Kallisto"
"118",240,"Kallisto"
"119",336,"Kallisto"
"120",282,"Kallisto"
"121",281,"Kallisto"
"122",298,"Kallisto"
"123",261,"Kallisto"
"124",267,"Kallisto"
"125",270,"Kallisto"
"126",309,"Kallisto"
"127",351,"Kallisto"
"128",310,"Kallisto"
