"","Percent_of_false_negatives_per_sample","Mapping_strategy"
"1",7,"Bowtie"
"2",4,"Bowtie"
"3",3,"Bowtie"
"4",8,"Bowtie"
"5",1,"Bowtie"
"6",37,"Bowtie"
"7",25,"Bowtie"
"8",3,"Bowtie"
"9",23,"Bowtie"
"10",11,"Bowtie"
"11",9,"Bowtie"
"12",9,"Bowtie"
"13",7,"Bowtie"
"14",11,"Bowtie"
"15",4,"Bowtie"
"16",4,"Bowtie"
"17",9,"Bowtie"
"18",6,"Bowtie"
"19",3,"Bowtie"
"20",5,"Bowtie"
"21",9,"Bowtie"
"22",6,"Bowtie"
"23",19,"Bowtie"
"24",9,"Bowtie"
"25",20,"Bowtie"
"26",12,"Bowtie"
"27",4,"Bowtie"
"28",17,"Bowtie"
"29",21,"Bowtie"
"30",7,"Bowtie"
"31",17,"Bowtie"
"32",11,"Bowtie"
"33",1,"Bowtie"
"34",12,"Bowtie"
"35",13,"Bowtie"
"36",0,"Bowtie"
"37",10,"Bowtie"
"38",10,"Bowtie"
"39",1,"Bowtie"
"40",6,"Bowtie"
"41",16,"Bowtie"
"42",3,"Bowtie"
"43",12,"Bowtie"
"44",19,"Bowtie"
"45",16,"Bowtie"
"46",144,"Bowtie"
"47",17,"Bowtie"
"48",139,"Bowtie"
"49",16,"Bowtie"
"50",3,"Bowtie"
"51",13,"Bowtie"
"52",11,"Bowtie"
"53",20,"Bowtie"
"54",98,"Bowtie"
"55",21,"Bowtie"
"56",37,"Bowtie"
"57",33,"Bowtie"
"58",17,"Bowtie"
"59",19,"Bowtie"
"60",19,"Bowtie"
"61",18,"Bowtie"
"62",13,"Bowtie"
"63",2,"Bowtie"
"64",2,"Bowtie"
"65",0,"Kallisto"
"66",0,"Kallisto"
"67",0,"Kallisto"
"68",0,"Kallisto"
"69",0,"Kallisto"
"70",1,"Kallisto"
"71",0,"Kallisto"
"72",0,"Kallisto"
"73",0,"Kallisto"
"74",0,"Kallisto"
"75",0,"Kallisto"
"76",0,"Kallisto"
"77",0,"Kallisto"
"78",0,"Kallisto"
"79",0,"Kallisto"
"80",0,"Kallisto"
"81",0,"Kallisto"
"82",0,"Kallisto"
"83",0,"Kallisto"
"84",0,"Kallisto"
"85",0,"Kallisto"
"86",0,"Kallisto"
"87",0,"Kallisto"
"88",0,"Kallisto"
"89",0,"Kallisto"
"90",0,"Kallisto"
"91",0,"Kallisto"
"92",0,"Kallisto"
"93",0,"Kallisto"
"94",0,"Kallisto"
"95",0,"Kallisto"
"96",0,"Kallisto"
"97",0,"Kallisto"
"98",1,"Kallisto"
"99",0,"Kallisto"
"100",0,"Kallisto"
"101",0,"Kallisto"
"102",0,"Kallisto"
"103",0,"Kallisto"
"104",0,"Kallisto"
"105",0,"Kallisto"
"106",0,"Kallisto"
"107",0,"Kallisto"
"108",0,"Kallisto"
"109",0,"Kallisto"
"110",1,"Kallisto"
"111",0,"Kallisto"
"112",3,"Kallisto"
"113",0,"Kallisto"
"114",0,"Kallisto"
"115",0,"Kallisto"
"116",0,"Kallisto"
"117",0,"Kallisto"
"118",0,"Kallisto"
"119",0,"Kallisto"
"120",0,"Kallisto"
"121",0,"Kallisto"
"122",0,"Kallisto"
"123",0,"Kallisto"
"124",0,"Kallisto"
"125",0,"Kallisto"
"126",0,"Kallisto"
"127",0,"Kallisto"
"128",0,"Kallisto"
