TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE	_CAMI_GENOMEID
544448	phylum	2_544448	Bacteria_Tenericutes	0	NA
200930	phylum	2_200930	Bacteria_Deferribacteres	0	NA
201174	phylum	2_201174	Bacteria_Actinobacteria	0.1769	NA
1224	phylum	2_1224	Bacteria_Proteobacteria	2.4175	NA
976	phylum	2_976	Bacteria_Bacteroidetes	27.103	NA
200918	phylum	2_200918	Bacteria_Thermotogae	0	NA
1239	phylum	2_1239	Bacteria_Firmicutes	16.9615	NA
74201	phylum	2_74201	Bacteria_Verrucomicrobia	53.3412	NA
31969	class	2_544448_31969	Bacteria_Tenericutes_Mollicutes	0	NA
200643	class	2_976_200643	Bacteria_Bacteroidetes_Bacteroidia	27.0833	NA
188708	class	2_200918_188708	Bacteria_Thermotogae_Thermotogae	0	NA
84998	class	2_201174_84998	Bacteria_Actinobacteria_Coriobacteriia	0.1769	NA
203494	class	2_74201_203494	Bacteria_Verrucomicrobia_Verrucomicrobiae	53.3412	NA
1853228	class	2_976_1853228	Bacteria_Bacteroidetes_Chitinophagia	0.0197	NA
1553900	class	2_1224_1553900	Bacteria_Proteobacteria_Oligoflexia	0	NA
29547	class	2_1224_29547	Bacteria_Proteobacteria_Epsilonproteobacteria	0	NA
909932	class	2_1239_909932	Bacteria_Firmicutes_Negativicutes	0	NA
1737404	class	2_1239_1737404	Bacteria_Firmicutes_Tissierellia	0	NA
186801	class	2_1239_186801	Bacteria_Firmicutes_Clostridia	14.7013	NA
28211	class	2_1224_28211	Bacteria_Proteobacteria_Alphaproteobacteria	1.6706	NA
1236	class	2_1224_1236	Bacteria_Proteobacteria_Gammaproteobacteria	0	NA
91061	class	2_1239_91061	Bacteria_Firmicutes_Bacilli	2.2602	NA
28216	class	2_1224_28216	Bacteria_Proteobacteria_Betaproteobacteria	0	NA
68337	class	2_200930_68337	Bacteria_Deferribacteres_Deferribacteres	0	NA
526524	class	2_1239_526524	Bacteria_Firmicutes_Erysipelotrichia	0	NA
28221	class	2_1224_28221	Bacteria_Proteobacteria_Deltaproteobacteria	0.7469	NA
84999	order	2_201174_84998_84999	Bacteria_Actinobacteria_Coriobacteriia_Coriobacteriales	0	NA
1970189	order	2_976_200643_1970189	Bacteria_Bacteroidetes_Bacteroidia_Marinilabiliales	0	NA
204441	order	2_1224_28211_204441	Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales	1.6509	NA
171549	order	2_976_200643_171549	Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales	27.0833	NA
191393	order	2_200930_68337_191393	Bacteria_Deferribacteres_Deferribacteres_Deferribacterales	0	NA
2085	order	2_544448_31969_2085	Bacteria_Tenericutes_Mollicutes_Mycoplasmatales	0	NA
204455	order	2_1224_28211_204455	Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales	0	NA
204457	order	2_1224_28211_204457	Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales	0	NA
1853229	order	2_976_1853228_1853229	Bacteria_Bacteroidetes_Chitinophagia_Chitinophagales	0.0197	NA
1643822	order	2_201174_84998_1643822	Bacteria_Actinobacteria_Coriobacteriia_Eggerthellales	0.1769	NA
186802	order	2_1239_186801_186802	Bacteria_Firmicutes_Clostridia_Clostridiales	14.7013	NA
526525	order	2_1239_526524_526525	Bacteria_Firmicutes_Erysipelotrichia_Erysipelotrichales	0	NA
135622	order	2_1224_1236_135622	Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales	0	NA
1843489	order	2_1239_909932_1843489	Bacteria_Firmicutes_Negativicutes_Veillonellales	0	NA
80840	order	2_1224_28216_80840	Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales	0	NA
186826	order	2_1239_91061_186826	Bacteria_Firmicutes_Bacilli_Lactobacillales	2.2602	NA
48461	order	2_74201_203494_48461	Bacteria_Verrucomicrobia_Verrucomicrobiae_Verrucomicrobiales	53.3412	NA
91347	order	2_1224_1236_91347	Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacterales	0	NA
213849	order	2_1224_29547_213849	Bacteria_Proteobacteria_Epsilonproteobacteria_Campylobacterales	0	NA
356	order	2_1224_28211_356	Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales	0.0197	NA
213481	order	2_1224_1553900_213481	Bacteria_Proteobacteria_Oligoflexia_Bdellovibrionales	0	NA
1737405	order	2_1239_1737404_1737405	Bacteria_Firmicutes_Tissierellia_Tissierellales	0	NA
1769716	order	2_200918_188708_1769716	Bacteria_Thermotogae_Thermotogae_Mesoaciditogales	0	NA
909929	order	2_1239_909932_909929	Bacteria_Firmicutes_Negativicutes_Selenomonadales	0	NA
213115	order	2_1224_28221_213115	Bacteria_Proteobacteria_Deltaproteobacteria_Desulfovibrionales	0.7469	NA
1385	order	2_1239_91061_1385	Bacteria_Firmicutes_Bacilli_Bacillales	0	NA
213483	family	2_1224_1553900_213481_213483	Bacteria_Proteobacteria_Oligoflexia_Bdellovibrionales_Bdellovibrionaceae	0	NA
84107	family	2_201174_84998_84999_84107	Bacteria_Actinobacteria_Coriobacteriia_Coriobacteriales_Coriobacteriaceae	0	NA
2005519	family	2_976_200643_171549_2005519	Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Barnesiellaceae	0.0786	NA
1300	family	2_1239_91061_186826_1300	Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae	0.0393	NA
2005525	family	2_976_200643_171549_2005525	Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Tannerellaceae	2.4175	NA
69657	family	2_1224_28211_204455_69657	Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Hyphomonadaceae	0	NA
