"","fg2","fg3","fg4","fg5","fg6","fg7"
"T-F-Arabinose",0.251424078772198,0.841971188286239,0.970109495081623,0.916752335315161,0.841971188286239,0.916752335315161
"2-F-Arabinose",0.503925699109754,0.809361978435471,0.841971188286239,0.916752335315161,0.916752335315161,0.979365480002771
"5-F-Arabinose",0.240132318344246,0.916752335315161,0.809361978435471,0.916752335315161,0.916752335315161,0.841971188286239
"2,3-F-Arabinose",0.0410358063873133,0.970109495081623,0.809361978435471,0.809361978435471,0.916752335315161,0.841971188286239
"T-P-Xylose",0.809361978435471,0.916752335315161,0.916752335315161,0.841971188286239,0.916752335315161,0.809361978435471
"2-Xylose",0.809361978435471,0.841971188286239,0.916752335315161,0.841971188286239,0.809361978435471,0.809361978435471
"T-GlcA",0.841971188286239,0.973037196858702,1,0.916752335315161,0.841971188286239,0.809361978435471
"T-GalA",0.240132318344246,0.841971188286239,0.970109495081623,0.916752335315161,0.841971188286239,0.916752335315161
"6-Galactose",0.970109495081623,0.365759858920999,0.929840343207946,0.809361978435471,0.970109495081623,0.841971188286239
"2,4,6-Glucose",0.0291130917047298,0.841971188286239,0.916752335315161,0.809361978435471,0.841971188286239,0.970109495081623
"3-Mannose",0.970109495081623,0.841971188286239,0.916752335315161,0.841971188286239,0.365759858920999,0.841971188286239
"4-Mannose",0.809361978435471,0.809361978435471,0.929840343207946,0.841971188286239,0.841971188286239,0.841971188286239
"4,6-Mannose",0.916752335315161,0.503925699109754,0.871676045700754,0.916752335315161,0.929840343207946,0.809361978435471
"3,4,6-Mannose",0.503925699109754,0.809361978435471,0.970109495081623,0.841971188286239,0.809361978435471,0.970109495081623
