"","FFQ101","FFQ102","FFQ103","FFQ104","FFQ105","FFQ106","FFQ107a","FFQ109a","FFQ110","FFQ110a","FFQ111","FFQ111a","FFQ112","FFQ112a","FFQ114a","FFQ115","FFQ115a","FFQ116","FFQ116a","FFQ117","FFQ117a","FFQ118","FFQ118a","FFQ119","FFQ119a","FFQ120","FFQ120a","FFQ121","FFQ121a","FFQ122","FFQ122a","FFQ123","FFQ123a","FFQ124","FFQ124a","FFQ125","FFQ125a","FFQ126","FFQ126a","FFQ127","FFQ127a","FFQ128","FFQ128a","FFQ129","FFQ131","FFQ131a","FFQ132","fg2","fg3","fg4","fg5","fg6","fg7","mdd","mad","grains_roots_srv","dairy_srv","fruits_veg_srv","grains_roots_bi","dairy_bi","fruits_veg_bi"
"T-F-Arabinose",0.919554014311728,0.381159122284354,0.46329574047728,0.430839049500918,0.113322380322045,0.589625237859198,0.847222932733813,0.0388517312008814,0.931708629482799,0.861216778059605,0.693312145593407,0.693312145593407,0.253312024471301,0.253312024471301,0.613416073046994,0.761728025644015,0.748166614990345,0.151899828422586,0.151899828422586,0.0302535011039584,0.0288582673332289,0.0149657189745356,0.0282982097074285,0.517549493616674,0.483894735777659,0.745796826085298,0.507351315808507,0.626354387766473,0.626354387766473,0.983885980594712,0.469234306749742,0.679668768010645,0.65947073515079,0.830302477002594,0.771511966719973,0.764055197679005,0.930840690529573,0.514298763871631,0.512257635684215,0.698211867562026,0.925061827921293,0.24324218526573,0.201768225550949,0.853628707941254,0.877379232557474,0.871456166600492,0.472125085016265,0.0149657189745356,0.341702923426929,0.931708629482799,0.679668768010645,0.341930849093947,0.745796826085298,0.412001667774328,0.43558179736316,0.996226902694449,0.695091101792654,0.929732531594251,0.590262707748978,0.313777054526358,0.519436738401706
"2-F-Arabinose",0.959728539756007,0.484957008716048,0.903951071590515,0.20961952774513,0.160225206559916,0.274945024098721,0.844356838528811,0.0926920119627324,0.606285418285532,0.473656168432228,0.334791407923697,0.334791407923697,0.72116348464154,0.72116348464154,0.934158961011437,0.556824962265048,0.302283966503524,0.151899828422586,0.151899828422586,0.0647930976986355,0.0557158540162046,0.0599911546559231,0.065803103127251,0.942894176282825,0.929474410846722,0.967706367145595,0.892289801232243,0.251301586868926,0.251301586868926,0.381822423879524,0.160647303445184,0.741288796723115,0.644201001383498,0.897710782458544,0.908913249847687,0.667801320809226,0.978076170378949,0.461062465982262,0.427503639031568,0.886542291654598,0.415796864536306,0.179607197398067,0.217260646748007,0.33668431189955,0.707579143889176,0.645372797732319,0.942078020665506,0.0599911546559231,0.226091964375002,0.438081065031146,0.741288796723115,0.606285418285532,0.967706367145595,0.842728982583271,0.753046561151739,0.500889314458618,0.197932154881566,0.962426989190424,0.757146280577543,0.108695301513302,0.671920217113451
"5-F-Arabinose",1,0.387197978391397,0.70202651608686,0.62000850062114,0.282483024896076,0.794644581434621,0.83481744583749,0.212974665816481,0.667801320809226,0.496881736217121,0.955135014336779,0.955135014336779,0.676997825886006,0.676997825886006,0.823703733789722,0.919554014311728,0.759708855905176,0.0942691470365129,0.0942691470365129,0.198954813350597,0.198056988030047,0.0114348723021069,0.0229167739667517,0.980951047072724,0.89437444815908,0.463993537818867,0.214193642617471,0.745796826085298,0.745796826085298,0.612779249043481,0.266436874000753,0.62000850062114,0.557495225745805,0.364676998959137,0.25282943727,0.863889547199674,0.66804068190402,0.461062465982262,0.506786270261024,0.918831619019752,0.505369573524993,0.0733862108915859,0.0732369335023737,0.45338572800177,0.947287402197663,0.899985933242466,0.838736188196177,0.0114348723021069,0.69008284996117,0.241475091022527,0.62000850062114,0.731503466478319,0.463993537818867,0.550552502768305,0.69008284996117,0.665562117315061,0.701205416876694,0.344682338262858,0.700190240444441,0.690930731581796,0.927801213098393
"2,3-F-Arabinose",0.149686964941144,0.0269558849274112,0.307828893921435,0.868982887313104,0.738157289990305,0.528621771458384,0.318488121185835,0.0448888848636275,0.636747470567595,0.507791261091627,0.534589972793293,0.534589972793293,0.812049686605234,0.812049686605234,0.166789691517408,0.612779249043481,0.955687833201453,0.0942691470365129,0.0942691470365129,0.649463588916383,0.579114713950534,0.000977043009221745,0.000875546825826579,0.517549493616674,0.410114612885251,0.369610283297817,0.596919866099213,1,1,0.824104043686034,0.311207307956829,0.20961952774513,0.214222312025853,0.320064460894286,0.213112911890222,0.764055197679005,0.940044241182429,0.363935875173675,0.259503872145514,0.759643697123508,0.515151673255492,0.140285222972323,0.127536880837607,0.718927041976532,0.46492351135368,0.360723612894225,0.176034600352417,0.000977043009221745,0.883352018608537,0.207474632501079,0.20961952774513,0.636747470567595,0.369610283297817,0.550552502768305,0.69008284996117,0.440452505460115,0.157143404092149,0.987471770756547,0.439354355969309,0.81620682132061,0.699798438196513
"T-P-Xylose",0.685810241555443,0.222765935620263,0.611825190418796,0.710254924782183,0.300208666185367,0.809411970649879,0.436376319471175,0.100952153720368,0.364676998959137,0.327975058451947,0.334791407923697,0.334791407923697,0.437367253680109,0.437367253680109,0.693252883954687,0.855716272983915,0.724293487966285,0.151899828422586,0.151899828422586,0.236035483857215,0.207454385375092,0.251301586868926,0.259361814366036,0.867230109946039,0.756545140070834,0.21818751460751,0.307789364392968,0.251301586868926,0.251301586868926,0.855716272983915,0.438804541670456,0.430839049500918,0.253987196256623,0.863889547199674,0.792983841941113,0.830302477002594,0.842871841915878,0.487309574505109,0.263205997368125,0.128741409448362,0.0964173142568989,0.107629964402256,0.18610094685706,0.430005585184089,0.255470957196678,0.246269186414634,0.215364470218931,0.251301586868926,0.753046561151739,0.699402360503024,0.430839049500918,0.699402360503024,0.21818751460751,0.186529035993743,0.363935875173675,0.918071432552307,0.0510418909966972,0.323601112255431,0.672763689596262,0.437655507098605,0.211944040947258
"2-Xylose",0.612779249043481,0.310077519205862,0.192870955377997,0.772725708349973,0.502444082664135,0.994566832468169,0.833864745952588,0.28463877831929,0.667801320809226,0.713680710969953,0.611796275234177,0.611796275234177,0.812049686605234,0.812049686605234,0.505447015735511,0.428242381410321,0.647854089547038,0.120552760811572,0.120552760811572,0.581854668190163,0.65548012173727,0.126015648764727,0.164435587639052,0.373565919774448,0.293557750475344,0.161159647486429,0.196994976504709,0.745796826085298,0.745796826085298,0.855716272983915,0.457402013083963,0.318054279550836,0.131456670907064,0.897710782458544,0.897859535175958,0.364676998959137,0.122486439038739,0.599430340930264,0.221583055114901,0.355374936729908,0.321831247429537,0.209776675174614,0.207871106003495,0.344617366925994,0.089826824577989,0.0739508691839565,0.06972052397947,0.126015648764727,0.320311937875642,0.731503466478319,0.318054279550836,0.259791032202476,0.161159647486429,0.255470957196678,0.280076585700839,0.38354407665913,0.0232902133084063,0.629117986237993,0.303851623227109,0.158785581745603,0.716713653526922
"T-GlcA",0.648895803768303,0.192441863568857,0.632863488609064,0.934280970882119,0.369672844651366,0.946791905523294,0.277712921636009,0.137912739577079,0.364676998959137,0.327975058451947,0.462365063496384,0.462365063496384,0.551124497007783,0.551124497007783,0.494660664189253,0.983885980594712,0.62249108977988,0.151899828422586,0.151899828422586,0.124363527668836,0.117506903773493,0.463993537818867,0.461386611994757,0.867230109946039,0.94707726323528,0.126015648764727,0.144757684899308,0.515530193753012,0.515530193753012,0.824104043686034,0.680038039814001,0.679668768010645,0.49664890444152,1,0.895650972664501,0.667801320809226,0.670157827573716,0.320311937875642,0.158312828900909,0.25678556836899,0.248593866780636,0.320311937875642,0.510498050617905,0.805949709379237,0.386865542544659,0.319524135365604,0.110776679038503,0.463993537818867,0.949869644552543,1,0.679668768010645,0.491149859833639,0.126015648764727,0.120147965087876,0.226091964375002,0.84806787828607,0.0930330557672248,0.102673608613717,0.788676185912715,0.715654310268391,0.0836528758490593
"T-GalA",0.839879638597631,0.450555467578899,0.451663098528872,0.406692089670628,0.111136192420735,0.616397550677946,0.756644355309682,0.111467059545956,0.731503466478319,0.961777079992686,0.955135014336779,0.955135014336779,0.30789729991364,0.30789729991364,0.641616792800723,0.855716272983915,0.642385282927577,0.151899828422586,0.151899828422586,0.090916837534387,0.084384275284465,0.0114348723021069,0.0224723958002313,0.581854668190163,0.586770508981359,0.685145227263979,0.417505383170377,0.745796826085298,0.745796826085298,0.824104043686034,0.601177526056261,0.62000850062114,0.623435798454852,0.636747470567595,0.539786269588635,0.731503466478319,0.951559197024185,0.514298763871631,0.546628539493102,0.918831619019752,0.630298388788197,0.299768837634087,0.252960290497617,0.904611042800655,0.80836424617037,0.827276412739742,0.472882116239897,0.0114348723021069,0.320311937875642,0.863889547199674,0.62000850062114,0.46421646740237,0.685145227263979,0.43802813065221,0.410888861050902,0.8675779947586,0.923210273443027,0.630845230192798,0.672763689596262,0.383575230728725,0.74519626418377
"6-Galactose",0.543214205914668,0.537367004161277,0.422580156677999,0.934280970882119,0.227931663596324,0.809411970649879,0.685253050666894,0.73849540561825,0.341930849093947,0.275090316035656,0.231353704255252,0.231353704255252,0.402519297639374,0.402519297639374,0.850857629744218,0.919554014311728,0.752969558890243,0.611796275234177,0.611796275234177,0.649463588916383,0.657783681370428,0.90331885961649,0.815602067665578,0.756053618629519,0.602210241182113,0.369610283297817,0.416013012016487,0.935462727400136,0.935462727400136,0.824104043686034,0.464482295810992,0.260152064497116,0.185269245465063,0.104483467663741,0.0929311353990325,0.162882548304143,0.194714604351136,0.817603373205315,0.75403103288062,0.951247996439247,0.947006757194214,0.659316173608683,0.533789455337361,0.654721207746737,0.0731116379869121,0.0486635715753163,0.834948209169684,0.90331885961649,0.0304799882434166,0.797006008463953,0.260152064497116,0.897710782458544,0.369610283297817,0.80836424617037,0.410888861050902,0.898387110435522,0.624108454319571,0.839135201955663,0.994710010651969,0.111039577992322,0.873988130189633
"2,4,6-Glucose",0.416356102543366,0.136915361716323,0.264334945109388,0.534873498525977,0.491826600303473,0.929455420714484,0.848178723963742,0.366217492874201,0.731503466478319,0.558310641073691,0.280011461128847,0.280011461128847,0.337752408025337,0.337752408025337,0.421831352379861,0.359754082693271,0.851694406386323,0.611796275234177,0.611796275234177,0.549263309605638,0.591197289824209,0.000346584425056307,0.000708967342609945,0.61527310871746,0.469996008180566,0.935462727400136,0.559937825735091,0.871324115537981,0.871324115537981,0.951682785257602,0.453493423472156,0.20961952774513,0.171869216793417,0.137239606242289,0.0730895565294429,0.412766762316799,0.620062572247443,0.850354725237691,0.849641650502184,0.448461225133674,0.149092350836852,0.785150317955266,0.890509562646247,0.333060667878631,0.611422691815827,0.713377509639578,0.172400960089456,0.000346584425056307,0.387001855214823,0.699402360503024,0.20961952774513,0.412766762316799,0.935462727400136,0.521216480026772,0.43558179736316,0.866647117708135,0.127074031434842,0.159860089158134,0.335643351051574,0.389769195293887,0.499817367188171
