"","FFQ101","FFQ102","FFQ103","FFQ104","FFQ105","FFQ106","FFQ107a","FFQ109a","FFQ110","FFQ110a","FFQ111","FFQ111a","FFQ112","FFQ112a","FFQ114a","FFQ115","FFQ115a","FFQ116","FFQ116a","FFQ117","FFQ117a","FFQ118","FFQ118a","FFQ119","FFQ119a","FFQ120","FFQ120a","FFQ121","FFQ121a","FFQ122","FFQ122a","FFQ123","FFQ123a","FFQ124","FFQ124a","FFQ125","FFQ125a","FFQ126","FFQ126a","FFQ127","FFQ127a","FFQ128","FFQ128a","FFQ129","FFQ131","FFQ131a","FFQ132","fg2","fg3","fg4","fg5","fg6","fg7","mdd","mad"
"Glucose",0.707828064626147,0.535502273993673,0.502167525776954,0.580277255644959,0.0948324937942191,0.56036880447712,0.741557515248435,0.214495605706952,0.311555365955741,0.358522061856146,0.861944179743706,0.861944179743706,0.723391322575032,0.68346976905381,0.469190017332777,0.126735923003585,0.303248103016669,0.546843651559711,0.532082407599549,0.75484841141732,0.833603106800199,0.189040698505091,0.254745933165978,0.658342969301587,0.680322787168088,0.383266808455468,0.377558423915633,0.403244569262202,0.403244569262202,0.249486931988133,0.412449938251735,0.400538088576937,0.298700004744679,0.547479003224617,0.751738892764662,0.0985092601054955,0.120132662536372,0.96394151970598,0.803605101327739,0.252098656012564,0.22494624329976,0.249486931988133,0.2498415414745,0.521756903628501,0.43642485450428,0.387862938479306,0.126668182814325,0.189040698505091,0.680696346774628,0.0638180013460268,0.400538088576937,0.630636226154121,0.383266808455468,0.06881381558976,0.432769083317265
"Galactose",0.0227374193469922,0.0269910255386492,0.0709559430175981,0.294552910675445,0.0437498270477645,0.704825537739587,0.317424803253359,0.745517140519187,0.820013872062235,0.957086202380065,0.485800351797661,0.485800351797661,0.49138942407844,0.485082260439324,0.515604159835486,1,0.696440697644134,0.728425126738562,0.786185308416645,0.0961062881965336,0.0917518964568558,0.940284279233973,0.708484887620021,0.758477077779419,0.828520436826249,0.0780883138260826,0.281434017316914,0.255395960457784,0.255395960457784,0.555991666563769,0.680002629939045,0.070818311941566,0.0799055445677546,0.974783425648259,0.852298116754603,0.839935673485543,0.913760589183941,0.683885175109314,0.733932403277371,0.108208499200784,0.10456969453617,0.545610883000883,0.453719620875868,0.866758014897622,0.415272169188666,0.378169677770308,0.36558664225681,0.940284279233973,0.0706454487947896,0.174786310445688,0.070818311941566,0.246174545070578,0.0780883138260826,0.252874636466276,0.747238138513395
"Fructose",0.504666546555778,0.357043677672544,0.805840761647612,0.397348491930947,0.0893411897638088,0.581838093338137,0.237777117549458,0.228697962719535,0.483807760788683,0.40418494151034,0.485800351797661,0.485800351797661,0.851425521465801,0.849289584666097,0.483888938106244,0.115613517270168,0.344651653134188,0.676851380152358,0.675768023600378,0.545574378384088,0.605335360031828,0.22769880060539,0.377543139614207,0.512877537335565,0.483029400170254,0.558419740768568,0.51403375929846,0.0609503476238515,0.0609503476238515,0.312412507734059,0.569495765221011,0.246388747457496,0.0671059802699192,0.601541105991131,0.648118275102758,0.0164386685908915,0.0260602316816794,0.58699175877908,0.744688983350041,0.252098656012564,0.29346282221636,0.721814009200198,0.825532214726594,0.0973151296088051,0.223483966728219,0.180161432475355,0.242234531289284,0.22769880060539,0.636505011695272,0.106982536306596,0.246388747457496,0.351215318599301,0.558419740768568,0.665258828938135,0.841909163874535
"Xylose",0.818915823775204,0.348824896528008,0.424104773862284,0.50868499048042,0.552331359763556,0.587638268685093,0.249448261360246,0.405422454353852,0.987036358696397,0.996096928091263,0.0886733438512304,0.0886733438512304,0.588019646078892,0.62393190414479,0.440929939988617,0.52893627968378,0.698906614317311,0.274331650807328,0.270130257819607,0.95022465311881,0.981754840803958,0.252098656012564,0.371089288057934,0.832616770321613,0.840928967485949,0.508940148803516,0.993609612347431,0.11069978193525,0.11069978193525,0.962980454798266,0.811078129179422,0.306624622527169,0.232838620099509,0.635061750520623,0.811778073762009,0.774736858330365,0.91949016936401,0.607986201383935,0.587909131456451,0.343316239221036,0.571240268776613,0.535324603463253,0.609605242787519,0.957648098581245,0.150129391160928,0.123748656275269,0.126083090908301,0.252098656012564,0.819257716480078,0.121639103486024,0.306624622527169,0.885409602258983,0.508940148803516,0.797753521725413,0.590867553695463
"Arabinose",0.677060887113021,0.566459055336817,0.697029863715875,0.518629358375152,0.509401384861081,0.579040939524977,0.21158985366135,0.462912431033082,0.672449845219102,0.627823857027606,0.861944179743706,0.861944179743706,0.267503385983276,0.300128435287283,0.112756672211906,0.409055466848033,0.752272870755276,0.244531536972301,0.233587593473635,0.835136393965535,0.765345695055244,0.108208499200784,0.235981413660483,0.418433449824232,0.421017611770262,0.752941541892815,0.418425618854642,0.420350396521464,0.420350396521464,0.962980454798266,0.666937623276115,0.0615874174814266,0.0439444910872924,0.657826125629485,0.500217509722912,0.866344255745481,0.97005362544097,0.951934419017864,0.943284961340756,0.258465903284777,0.341476020898916,0.262663216061199,0.198342633297693,0.3491831463951,0.172265665299156,0.145368694296193,0.341004985335791,0.108208499200784,0.531639993404464,0.975315511820226,0.0615874174814266,0.585683685152573,0.752941541892815,0.923463545487667,0.770619062564833
"Fucose",0.802770345469893,0.173691762295449,0.281674647120397,0.817974898395539,0.509029217164695,0.150548051779888,0.0534373541242692,0.851036958718328,0.344078814663016,0.193212776352386,0.953780722339483,0.953780722339483,0.95022465311881,0.949501625181969,0.157290029608848,0.351650215628608,0.248184557373864,0.264141420163233,0.270821848089486,0.465392907258737,0.456124215823207,0.518654029463409,0.356375117876879,0.862723205170787,0.875561986306202,0.741576833651589,0.788394973450404,0.338992768518099,0.338992768518099,0.962980454798266,0.953425527441358,0.845724529990752,0.491752547980375,0.0246948364113697,0.0251236051800385,0.813701341616157,0.980417115380697,0.78613414226733,0.732803042091544,0.719013435047648,0.983592460344677,0.169801051543666,0.113309052937656,0.581247616560162,0.731497936438915,0.772880444075502,0.131845608643728,0.518654029463409,0.343124294870985,0.780570402083821,0.845724529990752,0.46033214840912,0.741576833651589,0.835082929624972,0.865986482898756
"Rhamnose",0.851425521465801,0.874881702663374,0.708113376211407,0.926664659224027,0.326899835519002,0.264147158129787,0.492535379379294,0.545684608366363,0.0724245547322537,0.0517947571190289,0.383036176779689,0.383036176779689,0.186486244687439,0.151349438826829,0.496965098928107,0.57926674640085,0.191291519544534,0.31767808313832,0.293394538663349,0.0961062881965336,0.0934525454437272,0.480365301978151,0.552138877624718,0.46435501390623,0.394161555632377,0.752941541892815,0.877549480998026,0.952538342487859,0.952538342487859,0.598426625197521,0.512356128380133,0.17942486101551,0.0954692866945486,0.727922780148947,0.802430086996407,0.555259090873743,0.95509327085718,0.650918842811037,0.814639456248835,0.707819133191817,0.913681248884767,0.410833512880176,0.549001090382507,0.808410164538818,0.155454435690667,0.116942874008275,0.458293499622628,0.480365301978151,0.531639993404464,0.698730628863249,0.17942486101551,0.246174545070578,0.752941541892815,0.885409602258983,0.951072457756181
"GlcA",0.867776589215345,0.454137260424084,0.980466565637856,0.634067196490252,0.354545729376333,0.848781348955773,0.0275270971457977,0.0290310826642071,0.62557767306283,0.495644583962495,0.861944179743706,0.861944179743706,0.49138942407844,0.477144974998636,0.321500229778778,0.174508010356207,0.638075327575785,0.711087013570094,0.718687222730348,0.835136393965535,0.842129791409695,0.764358607221177,0.823268709153142,0.954043797697004,0.950368295343897,0.150907290420767,0.178717746892454,0.474087045342929,0.474087045342929,0.721814009200198,0.822377922019719,0.115613517270168,0.19738048748924,0.924448256660324,0.842846420919726,0.661453779247481,0.505738959249196,0.317810148999242,0.229438559187402,0.964149694650334,0.880748805825339,0.733450375537878,0.542659240883409,0.80479419872385,0.230562175078987,0.236992936941007,0.880946577505195,0.764358607221177,0.0897549057348574,0.0389104210505771,0.115613517270168,0.847611246236502,0.150907290420767,0.542238487176082,0.460461833114912
"GalA",0.504666546555778,0.165278325913603,0.675704900146885,0.678516129849848,0.122248067717712,0.895566925815993,0.238805321695658,0.731344112279847,0.232628515498564,0.161101579557336,0.953780722339483,0.953780722339483,0.166049915215077,0.169746945088495,0.0563951052792413,0.138650775377801,0.231827114349431,0.0707163231209371,0.0675584184835207,0.983398893885717,0.985684100543024,0.0275223387915275,0.0763948186593242,0.817649903718966,0.823719975649008,0.652806097890363,0.482909869278697,0.743283955304302,0.743283955304302,1,0.786041939549954,0.169689820506263,0.128556518791205,0.924448256660324,0.920631359553047,0.959735596174325,0.878345574700595,0.372274723359338,0.428961801522117,0.940284279233973,0.969506416115262,0.0389104210505771,0.0393615808278103,0.382510916286855,0.60021289525,0.525117106061665,0.130341769283192,0.0275223387915275,0.76057846119627,0.768709178216486,0.169689820506263,0.872777632487475,0.652806097890363,0.403626035447169,0.2285132456684
"GlcNAc",0.249666832815419,0.223912974708239,0.144979754329668,0.559360670412557,0.306428938911931,0.936020157763974,0.447196743889357,0.685422801018952,0.832677747026899,0.638303484094997,0.485800351797661,0.485800351797661,0.305679763151605,0.32053712873966,0.79531040323925,0.599993243750235,0.303474494243943,0.763502164248879,0.786486561338229,0.739066733528496,0.70116864838951,0.461799363228848,0.710788059946246,0.325168898340259,0.348611945730735,0.892730370440649,0.861226025355783,0.149409672907619,0.149409672907619,0.804440011790976,0.666193967115914,0.904699504904992,0.625359661322253,0.579635682638838,0.529310894722249,0.698528542209095,0.83413379632021,0.880206751305061,0.699008498225594,0.940284279233973,0.974136631934144,0.155468793681204,0.176061173005095,0.640775915602922,0.503377614556937,0.522733474128328,0.460949631400714,0.461799363228848,0.30529158136499,0.456611706560476,0.904699504904992,0.128383408793116,0.892730370440649,0.835082929624972,0.479446381903686
