,FFQ101,FFQ102,FFQ103,FFQ104,FFQ105,FFQ106,FFQ107a,FFQ109a,FFQ110,FFQ110a,FFQ111,FFQ111a,FFQ112,FFQ112a,FFQ114a,FFQ115,FFQ115a,FFQ116,FFQ116a,FFQ117,FFQ117a,FFQ118,FFQ118a,FFQ119,FFQ119a,FFQ120,FFQ120a,FFQ121,FFQ121a,FFQ122,FFQ122a,FFQ123,FFQ123a,FFQ124,FFQ124a,FFQ125,FFQ125a,FFQ126,FFQ126a,FFQ127,FFQ127a,FFQ128,FFQ128a,FFQ129,FFQ131,FFQ131a,FFQ132,fg2,fg3,fg4,fg5,fg6,fg7,mdd,mad
Glucose,0.612779249,0.477366064,0.776330168,1,0.355879043,0.901354436,0.704243232,0.169825833,0.412766762,0.425612595,0.611796275,0.611796275,0.952620019,0.952620019,0.792122522,0.317951625,0.594897587,0.534589973,0.534589973,0.347899152,0.413349915,0.369610283,0.366649959,0.486758889,0.57911628,0.054157489,0.072679531,0.218187515,0.218187515,0.05197199,0.211647059,0.43083905,0.197459515,0.830302477,0.821118407,0.086162871,0.119156052,0.410888861,0.215016385,0.355374937,0.173610619,0.299768838,0.292320581,0.199912563,0.412001668,0.385269914,0.032022094,0.369610283,0.341702923,0.137239606,0.43083905,0.830302477,0.054157489,0.492662609,0.785150318
Galactose,0.002109401,0.120793977,0.017342412,0.278629494,0.011542885,0.133685764,0.967912382,0.772077637,0.699402361,0.808344461,0.534589973,0.534589973,0.066122771,0.066122771,0.665061637,0.670953414,0.870563143,0.693312146,0.693312146,0.072751932,0.060823469,0.715258594,0.933945764,0.37356592,0.429581541,0.28756943,0.417505383,0.745796826,0.745796826,0.27929884,0.576373218,0.166253957,0.113121583,0.863889547,0.962167839,0.464216467,0.768879483,0.753046561,0.557050801,0.553253818,0.555186635,0.280076586,0.254134646,0.682222401,0.774345521,0.671641161,0.653531739,0.715258594,0.026994406,0.028380669,0.166253957,0.040700539,0.28756943,0.877379233,0.341702923
Fructose,0.543214206,0.076823328,0.962260642,1,0.630599468,0.601037082,0.048465188,0.096755472,0.606285418,0.585382167,0.534589973,0.534589973,0.721163485,0.721163485,0.119255941,0.227235477,0.688493262,0.693312146,0.693312146,0.486758889,0.514190367,0.202796634,0.250403972,0.904960166,0.92068469,0.369610283,0.367069568,0.569726852,0.569726852,0.182144858,0.486064548,0.741288797,0.384358592,0.464216467,0.50854908,0.149665384,0.196282798,0.753046561,0.474578797,0.854430062,0.668404652,0.785150318,0.847578043,0.100616756,0.52121648,0.508442723,0.112529768,0.202796634,0.435581797,0.547301513,0.741288797,0.897710782,0.369610283,0.52121648,0.983280632
Xylose,0.543214206,0.199848704,0.640507684,0.45575179,0.597608716,0.763239416,0.961110569,0.231775079,0.364676999,0.454454035,0.094269147,0.094269147,0.676997826,0.676997826,0.470450262,0.584507677,0.743372892,0.151899828,0.151899828,0.719919125,0.751039771,0.027905983,0.040269441,0.980951047,0.964704572,0.935462727,0.572147919,0.41530503,0.41530503,0.855716273,0.462903937,0.741288797,0.644201001,0.764055198,0.72487215,0.931708629,0.747912677,0.949869645,0.72216116,0.473612604,0.958993773,0.69008285,0.691275593,0.967203163,0.877379233,0.927490381,0.185564915,0.027905983,0.363935875,0.699402361,0.741288797,0.518854789,0.935462727,0.674942699,0.69008285
Arabinose,0.800567885,0.490307198,0.669706999,0.679668768,0.334612301,0.826367604,0.80256263,0.104188527,0.731503466,0.839101538,0.611796275,0.611796275,0.511739101,0.511739101,0.740823813,0.40465614,0.77905769,0.094269147,0.094269147,0.37356592,0.407840459,0.00995002,0.030834262,0.980951047,0.982348203,0.202796634,0.087764166,0.807976014,0.807976014,0.477607663,0.911677157,0.836621407,0.853674735,0.547301513,0.499535509,0.667801321,0.58054044,0.753046561,0.689701668,0.377487718,0.61957417,0.179607197,0.125373407,0.829715104,0.774345521,0.747148231,0.211182901,0.00995002,0.983280632,1,0.836621407,0.731503466,0.202796634,0.808364246,0.916541777
Fucose,0.387459555,0.860554493,0.023566178,1,0.412897796,0.651536673,0.369386672,0.845073445,0.96582469,0.84130795,0.865940005,0.865940005,0.812049687,0.812049687,0.627879494,0.168617397,0.066837645,0.280011461,0.280011461,0.151216804,0.126909337,0.655497531,0.600859785,0.792699704,0.799041852,0.807976014,0.827040538,0.369610283,0.369610283,0.792759314,0.473213642,0.901553207,0.680686474,0.125583258,0.134977341,0.49114986,0.695752875,0.883352019,0.869506383,0.759643697,0.954997,0.081026946,0.09608181,0.821470825,0.707579144,0.742763333,0.251885583,0.655497531,0.152624466,0.830302477,0.901553207,0.114672832,0.807976014,0.774345521,0.599430341
Rhamnose,0.477607663,0.729643694,0.238498908,0.620008501,0.285273061,0.884117285,0.265085217,0.841341658,0.606285418,0.430627503,0.462365063,0.462365063,0.591863741,0.591863741,0.817177903,0.529762099,0.27278229,0.280011461,0.280011461,0.030253501,0.025340444,0.597752619,0.65446265,0.54926331,0.403737616,0.967706367,0.892289801,1,1,0.824104044,0.534102346,0.804519238,0.698225153,0.636747471,0.8167749,0.764055198,0.682912272,0.179607197,0.376121759,0.448461225,0.46407521,0.261235268,0.343842134,0.653016543,0.808364246,0.666355828,0.137237825,0.597752619,0.280076586,0.830302477,0.804519238,0.104483468,0.967706367,0.808364246,0.850354725
GlcA,0.477607663,0.512004201,0.668841161,0.901553207,0.250369389,0.803074918,0.080226383,0.596803119,0.96582469,0.952792434,0.955135014,0.955135014,0.511739101,0.511739101,0.39895087,0.584507677,0.907498995,0.955135014,0.955135014,0.236035484,0.207454385,1,0.893876491,0.486758889,0.490922247,0.202796634,0.229801259,0.935462727,0.935462727,0.887548931,0.665081197,0.562623947,0.835102383,0.863889547,1,0.518854789,0.378984473,0.983280632,0.739105528,0.854430062,0.775740158,0.363935875,0.224760021,0.810507525,0.236852846,0.216430609,0.514682865,1,0.140285223,0.104483468,0.562623947,0.320064461,0.202796634,0.073111638,0.048244194
GalA,0.879572713,0.501872102,0.996224746,0.153330963,0.115913215,0.218608625,0.799731016,0.120633124,0.320064461,0.276373197,0.865940005,0.865940005,0.85848993,0.85848993,0.837725993,0.227235477,0.455479052,0.094269147,0.094269147,0.347899152,0.345849851,0.002444067,0.009080284,0.684366734,0.665616822,0.28756943,0.203565937,1,1,0.983885981,0.663220277,0.649573075,0.582755624,0.96582469,0.895650973,1,0.794474486,0.983280632,0.95857488,0.668156026,0.869480872,0.107629964,0.101480011,0.699618275,0.580634467,0.580062364,0.232160355,0.002444067,0.363935875,0.797006008,0.649573075,0.606285418,0.28756943,0.774345521,0.850354725
GlcNAc,0.239589588,0.961623957,0.054049948,0.868982887,0.357485716,0.998913359,0.776234133,0.431296943,0.438081065,0.548783818,0.534589973,0.534589973,0.952620019,0.952620019,0.651996734,0.477607663,0.271073614,0.534589973,0.534589973,0.400307887,0.330280521,0.41530503,0.432310626,0.299845353,0.391153396,0.776717356,0.794313663,0.745796826,0.745796826,0.983885981,0.814450964,0.679668768,0.897292898,0.104483468,0.1288851,0.547301513,0.442616462,0.599430341,0.849641651,0.609567054,0.502129557,0.107629964,0.179521218,0.634379733,0.707579144,0.742763333,0.636055654,0.41530503,0.16572561,0.667801321,0.679668768,0.045648446,0.776717356,0.464923511,0.226091964
