"","FFQ101","FFQ102","FFQ103","FFQ104","FFQ105","FFQ106","FFQ107a","FFQ109a","FFQ110","FFQ110a","FFQ111","FFQ111a","FFQ112","FFQ112a","FFQ114a","FFQ115","FFQ115a","FFQ116","FFQ116a","FFQ117","FFQ117a","FFQ118","FFQ118a","FFQ119","FFQ119a","FFQ120","FFQ120a","FFQ121","FFQ121a","FFQ122","FFQ122a","FFQ123","FFQ123a","FFQ124","FFQ124a","FFQ125","FFQ125a","FFQ126","FFQ126a","FFQ127","FFQ127a","FFQ128","FFQ128a","FFQ129","FFQ131","FFQ131a","FFQ132","fg2","fg3","fg4","fg5","fg6","fg7","mdd","mad","grains_roots_srv","dairy_srv","fruits_veg_srv","grains_roots_bi","dairy_bi","fruits_veg_bi"
"Glucose",0.775228291930301,0.605035658011787,0.715508168395455,0.657731250399776,0.658264311646898,0.671979564833035,0.810561178286232,0.198424716759683,0.246007537848936,0.297030812977077,0.783302406688616,0.783302406688616,0.679455608359984,0.679455608359984,0.718229394276931,0.197477805043508,0.222201593370192,0.745117099968327,0.745117099968327,0.169409382286955,0.657728388214019,0.750131127025159,0.772000888278137,0.709688556792141,0.102302498628168,0.0656442576233764,0.126966088601238,0.548958639169814,0.548958639169814,0.043365319190029,0.0513821500335676,0.956985081058708,0.511947490814971,0.37420734246971,0.151208337567049,0.0491274532718897,0.0904213409608887,0.441717706971296,0.368922308903705,0.3110972619399,0.119362824601755,0.159573758219861,0.145477697837196,0.0441752400563167,0.385047500138306,0.32064317200291,0.0314153783418321,0.750131127025159,0.257776469214516,0.15309441244109,0.956985081058708,0.700396479593496,0.0656442576233764,0.349237793644644,0.831853183108715,0.423496430959413,0.999776880841929,0.923203370515579,0.210788324599917,0.516348211049668,0.849319493939471
"Galactose",0.0233282036478912,0.223506913848961,0.029365917850166,0.788633704128697,0.0928211188811274,0.230713353646409,0.62376109024613,0.571217218215628,0.970014309949142,0.73393325036582,0.482890050043135,0.482890050043135,0.0140699213899063,0.0140699213899063,0.764601912437676,0.526689916680383,0.615819282281889,0.844697718627544,0.844697718627544,0.221127766276657,0.131297537915232,0.431073597727322,0.694756211160596,0.70762417122919,0.906915384562069,0.240510141041534,0.543817709820277,0.956116145109956,0.956116145109956,0.260417807301784,0.960606612768533,0.589975225420028,0.391512093897464,0.884419260410121,0.628358368676039,0.320692981313552,0.578220499049678,0.988547791473057,0.958013922650424,0.313064487323647,0.225074740333739,0.27592356254904,0.292885842269843,0.712684322537465,0.335691482298607,0.111505252957834,0.854148778678351,0.431073597727322,0.162619453541406,0.0671202631283108,0.589975225420028,0.219621660517444,0.240510141041534,0.717283563750495,0.352226597055504,0.697446087186836,0.288334800712508,0.837728396469696,0.531158653282497,0.28675482724289,0.915417426345421
"Fructose",0.861092344778973,0.392925157067421,0.727661951460281,0.542788445950424,0.820408887497869,0.985699066572567,0.739054217934911,0.186900015891037,0.458187525276089,0.433917632177094,0.914624396883909,0.914624396883909,0.726987583053321,0.726987583053321,0.886923652959255,0.139270987734259,0.953122291596675,0.93457309075599,0.93457309075599,0.973217822873409,0.860131093885403,0.12089918535005,0.704922298574466,0.76707231232172,0.760815174922716,0.230686143685817,0.282464429408234,0.990682616865294,0.990682616865294,0.995882426080305,0.584904139132048,0.3937561625675,0.204833521325035,0.26240279921186,0.369047013737261,0.177126994605998,0.0456970765984159,0.598008876678414,0.592325182636549,0.564186043170755,0.709928371538177,0.404623014189696,0.853358774992386,0.885175284580818,0.487374058079311,0.479720465104269,0.860942054118225,0.12089918535005,0.539776265629431,0.477337868685995,0.3937561625675,0.64151115039261,0.230686143685817,0.459949021965159,0.388967577250276,0.938754723582327,0.685687419399806,0.347018881567231,0.199495356932823,0.312195720485348,0.38959438360623
"Xylose",0.368637068581833,0.238112603285979,0.202716306454789,0.807359212987705,0.0420152382323618,0.295659971230421,0.00404769440596686,0.490998890667104,0.0298678705822037,0.162104142030236,0.000101902793356201,0.000101902793356201,0.529427461262046,0.529427461262046,0.00144047702262018,0.111550864916683,0.102326002670551,0.0174517365779856,0.0174517365779856,0.627322286870909,0.886587562886981,0.15169666461843,0.000195062986444228,0.796488852267648,0.897560148725096,0.93311228417746,0.40191746638739,0.0225908981522616,0.0225908981522616,0.212214386109598,0.969410895884891,0.783434898026902,0.772364604710191,0.778040456965115,0.551041651016099,0.810963605373896,0.672683865376789,0.839566781355577,0.615382187804101,0.14182668162143,0.865126079326845,0.499596561672567,0.534611803497874,0.045046258753789,0.378576977456373,0.398411505797616,0.0382173894328091,0.15169666461843,0.838086688629952,0.316913621982934,0.783434898026902,0.826313400596179,0.93311228417746,0.830549774617493,0.694183909005476,0.000142988993082849,0.550520206087671,0.565811572247028,0.0278097220071136,0.725415585431223,0.749770300266754
"Arabinose",0.831501611708577,0.770653074170332,0.943340956623343,0.369327664521876,0.468315106310684,0.482123624718773,0.832722707204693,0.0524336116245334,0.292456907122386,0.622847515371219,0.955234142068604,0.955234142068604,0.141902744130124,0.141902744130124,0.725528665533182,0.175830303659826,0.713422519629883,0.00102209139284293,0.00102209139284293,0.230633959666448,0.592871982328495,0.0278995106123454,0.683910761802683,0.392996959520249,0.837735726763816,0.221763918642662,0.083998445271634,0.786758642055958,0.786758642055958,0.47597001049514,0.796017839600685,0.838437078029287,0.981783966726783,0.697317431542485,0.42106758391841,0.933355088427531,0.991130209578548,0.905389341244951,0.880938944609353,0.171242331459959,0.759865157575011,0.171570584585673,0.0600940036323587,0.66625231515773,0.722883078505766,0.837139033235702,0.255156785012893,0.0278995106123454,0.705059684833522,0.859338808637264,0.838437078029287,0.822350460289655,0.221763918642662,0.998315996869688,0.834245183567671,0.32274308243036,0.529710685195922,0.395445977676215,0.0252375691759417,0.442395449319188,0.762341166193737
"Fucose",0.172973008136252,0.826837433500725,0.0210682769365897,0.808856902969591,0.281606153426716,0.584456893156813,0.787433937149873,0.597325370964867,0.994353999628818,0.74601477556587,0.644656712577632,0.644656712577632,0.00621335149027358,0.00621335149027358,0.940258311543494,0.686489908616345,0.252166215122289,0.578112187903581,0.578112187903581,0.0686893774561206,0.0351395511056183,0.650909638201505,0.884259409822115,0.523252554831618,0.17894145199242,0.957477269753932,0.872034011454016,0.931588674887259,0.931588674887259,0.813491531220741,0.584092218841296,0.905757516380266,0.806856099039868,0.995207431803465,0.857036016968531,0.295693418813183,0.609564091159083,0.71502221116696,0.946485099290203,0.764916614645327,0.488287833470491,0.128457966824856,0.159977427233889,0.806383737707463,0.235342491550307,0.146507632959119,0.893160855588958,0.650909638201505,0.291238877576977,0.187124845161012,0.905757516380266,0.12288803954724,0.957477269753932,0.22890090210053,0.126144699414888,0.642769702464987,0.294603334785413,0.125405822388276,0.591022912169082,0.570073377645169,0.240478005580033
"Rhamnose",0.440190110367721,0.783601732915057,0.183512227694341,0.749453001952377,0.587393133271492,0.632942140319332,0.764421639352664,0.581891584358413,0.545796622908208,0.257686054016049,0.487259281344423,0.487259281344423,0.51072575981302,0.51072575981302,0.537211389218397,0.416055433577574,0.119269615744301,0.206409744720472,0.206409744720473,0.0653270630716869,0.0581196721244948,0.692792906356859,0.523651127891227,0.733629156763493,0.227267612916485,0.984043213281154,0.938915829543848,0.979770595587493,0.979770595587493,0.746852912649687,0.415830989524492,0.901127377640166,0.782227496063257,0.499817494948857,0.859266804958614,0.75928628598096,0.404455057946796,0.129497946711448,0.387796185167005,0.362076971588386,0.716176449812559,0.235448859026114,0.475536763096201,0.888024404953537,0.961269361088028,0.710513928305776,0.0991427684823896,0.692792906356859,0.321537840700344,0.632653194649265,0.901127377640166,0.188714465709498,0.984043213281154,0.681981852798133,0.640530306183634,0.189516058406422,0.320364017060824,0.183354629004165,0.258247832014829,0.458062937043996,0.281540096862209
"GlcA",0.324267848669546,0.82958874677273,0.446547679027165,0.259738358116603,0.323726946531185,0.389041408448471,0.994246934077926,0.85932655245949,0.326760565789721,0.606405099840941,0.719131142379587,0.719131142379587,0.0878832620302492,0.0878832620302492,0.887931153045088,0.845327630610907,0.603788970107498,0.766720486316681,0.766720486316681,0.0983494405468472,0.13780556333927,0.675694410807884,0.678355928973455,0.222586553975197,0.0291058534875526,0.401426708352603,0.473235421539884,0.641549281066258,0.641549281066258,0.792924852286933,0.415584754999567,0.326262905027628,0.427128106651044,0.61932542780411,0.468291082562765,0.186230836863403,0.235859343451379,0.87073079689663,0.94323700520262,0.563105904871564,0.895442969634388,0.50360610723862,0.302787480820276,0.995534205516953,0.775102666087334,0.886214747961914,0.638705330152815,0.675694410807884,0.0132620190507746,0.190549356878226,0.326262905027628,0.274591169221842,0.401426708352603,0.423353019847165,0.292274398174954,0.893133258459086,0.81471117186365,0.0353813882520049,0.937143130810246,0.0949530295173981,0.0514574758150186
"GalA",0.533014256575553,0.950052970532713,0.92415387420679,0.134002859729259,0.208935847496891,0.178273344570586,0.758126703557498,0.0792607899903564,0.860436339898941,0.640625792831364,0.831773932659753,0.831773932659753,0.35992287558207,0.35992287558207,0.698408306592268,0.140596023188029,0.572082527436908,0.000970570784226688,0.000970570784226688,0.179155355740292,0.4339629728436,0.0115117712705599,0.776682544092411,0.557356272850744,0.988226985182421,0.198818849725533,0.131105248013076,0.701351745708086,0.701351745708086,0.943514379268336,0.516659357127353,0.486539870764474,0.639890155709528,0.695346822268179,0.818108572600381,0.645456928093029,0.592888529994418,0.583121407474871,0.973997231284707,0.428816312123303,0.956734815398119,0.0834506031011319,0.0890169614192953,0.921843590509012,0.747153814405657,0.811145079647775,0.194326231548349,0.0115117712705599,0.536972380649729,0.866934971634239,0.486539870764474,0.850170122133604,0.198818849725533,0.598321763944653,0.781730305500143,0.642650749371749,0.388169960633509,0.480149384145965,0.0183479199293779,0.299688157153182,0.837662424003237
"GlcNAc",0.28377117114995,0.786122921862849,0.109082877663823,0.86189142639103,0.461695567486355,0.703550239649747,0.617571789424534,0.684660508607363,0.818972845936876,0.939206484183887,0.914157979251266,0.914157979251266,0.977613874425266,0.977613874425266,0.852432589108418,0.2572408550219,0.204508385076756,0.674847578321029,0.674847578321029,0.229444148889565,0.0011898128962331,0.411437443043954,0.519974568207482,0.506974670442332,0.996928061426623,0.3366319520798,0.291553887100263,0.747101263181607,0.747101263181607,0.967751643549682,0.618333187574297,0.184505369184876,0.472722710144293,0.956608925960704,0.909998771116928,0.835590166002384,0.815794903740886,0.601408365911034,0.840919635812013,0.196089593620037,0.3134064490585,0.64656222806461,0.696845483343825,0.799728519476436,0.273985722085334,0.249081548667908,0.951183773274595,0.411437443043954,0.411838612736209,0.355910034718558,0.184505369184876,0.031915546312866,0.3366319520798,0.308889599310554,0.189566054214793,0.694481803046412,0.523801654351131,0.0584618104141952,0.252589992226798,0.98812895681643,0.13304877398321
