"","FFQ101","FFQ102","FFQ103","FFQ104","FFQ105","FFQ106","FFQ107a","FFQ109a","FFQ110","FFQ110a","FFQ111","FFQ111a","FFQ112","FFQ112a","FFQ114a","FFQ115","FFQ115a","FFQ116","FFQ116a","FFQ117","FFQ117a","FFQ118","FFQ118a","FFQ119","FFQ119a","FFQ120","FFQ120a","FFQ121","FFQ121a","FFQ122","FFQ122a","FFQ123","FFQ123a","FFQ124","FFQ124a","FFQ125","FFQ125a","FFQ126","FFQ126a","FFQ127","FFQ127a","FFQ128","FFQ128a","FFQ129","FFQ131","FFQ131a","FFQ132","fg2","fg3","fg4","fg5","fg6","fg7","mdd","mad","grains_roots_srv","dairy_srv","fruits_veg_srv","grains_roots_bi","dairy_bi","fruits_veg_bi"
"Glucose",0.612779249043481,0.477366063547969,0.776330168220688,1,0.355879042623628,0.90135443595801,0.704243231537602,0.169825832924919,0.412766762316799,0.425612595378601,0.611796275234177,0.611796275234177,0.952620019268046,0.952620019268046,0.792122522214595,0.317951624621397,0.594897587015684,0.534589972793293,0.534589972793293,0.347899152416379,0.413349914752599,0.369610283297817,0.366649959389016,0.486758889128013,0.579116280452301,0.0541574887474128,0.0726795309677768,0.21818751460751,0.21818751460751,0.051971990435226,0.211647058628837,0.430839049500918,0.197459515472429,0.830302477002594,0.821118406579711,0.0861628709208631,0.119156052455339,0.410888861050902,0.215016385466446,0.355374936729908,0.173610619150898,0.299768837634087,0.292320581379594,0.19991256308905,0.412001667774328,0.385269914451017,0.0320220940422029,0.369610283297817,0.341702923426929,0.137239606242289,0.430839049500918,0.830302477002594,0.0541574887474128,0.492662608976512,0.785150317955266,0.781907925711649,0.813141598694257,0.319965202085784,0.288069615975604,0.29239472914808,0.30706899171664
"Galactose",0.00210940090109846,0.120793976811165,0.0173424122472392,0.278629494384927,0.0115428850392389,0.133685763969728,0.967912381690724,0.772077637104449,0.699402360503024,0.808344461173579,0.534589972793293,0.534589972793293,0.0661227714896202,0.0661227714896202,0.665061637343518,0.670953413506905,0.870563142662767,0.693312145593407,0.693312145593407,0.0727519323498305,0.0608234692746841,0.715258593632399,0.933945764368451,0.373565919774448,0.429581540994916,0.287569430172415,0.417505383170377,0.745796826085298,0.745796826085298,0.279298839563797,0.576373217624383,0.166253956943451,0.11312158315381,0.863889547199674,0.962167839009025,0.46421646740237,0.768879482854184,0.753046561151739,0.557050801184178,0.553253818279663,0.555186634897425,0.280076585700839,0.254134645595637,0.682222400737723,0.774345521242303,0.671641161219364,0.653531738599515,0.715258593632399,0.026994405873455,0.0283806685717201,0.166253956943451,0.0407005394636579,0.287569430172415,0.877379232557474,0.341702923426929,0.58227448791186,0.215586467361739,0.839135201955663,0.635244604069247,0.090744811026279,0.83249910871487
"Fructose",0.543214205914668,0.0768233281611683,0.962260641987494,1,0.630599467635232,0.60103708171796,0.0484651880491689,0.0967554719154005,0.606285418285532,0.585382167237811,0.534589972793293,0.534589972793293,0.72116348464154,0.72116348464154,0.119255941071418,0.227235477362793,0.688493261565684,0.693312145593407,0.693312145593407,0.486758889128013,0.514190366965617,0.202796634026562,0.25040397211168,0.904960166015997,0.92068468972195,0.369610283297817,0.367069567840824,0.569726852389901,0.569726852389901,0.182144857519269,0.486064548179986,0.741288796723115,0.384358592014207,0.46421646740237,0.508549080019632,0.149665384227696,0.196282798077278,0.753046561151739,0.474578797179469,0.854430062254352,0.668404652439562,0.785150317955266,0.847578042895488,0.10061675557256,0.521216480026772,0.508442723353751,0.112529767948519,0.202796634026562,0.43558179736316,0.547301513354431,0.741288796723115,0.897710782458544,0.369610283297817,0.521216480026772,0.983280631817222,0.286109460941681,0.933486993798443,0.673739679864779,0.222311677682367,0.12364946796497,0.728064476562675
"Xylose",0.543214205914668,0.199848703832487,0.640507684300811,0.455751790338969,0.597608716071594,0.763239415677246,0.961110568712232,0.231775078542877,0.364676998959137,0.454454034583742,0.0942691470365129,0.0942691470365129,0.676997825886006,0.676997825886006,0.470450261816323,0.584507676913751,0.743372891970857,0.151899828422586,0.151899828422586,0.719919125100964,0.75103977139253,0.0279059829873241,0.0402694410059128,0.980951047072724,0.964704572227274,0.935462727400136,0.572147918545638,0.415305030324753,0.415305030324753,0.855716272983915,0.46290393734323,0.741288796723115,0.644201001383498,0.764055197679005,0.724872149906167,0.931708629482799,0.747912676662788,0.949869644552543,0.722161160032988,0.473612603697257,0.958993772936159,0.69008284996117,0.691275592595015,0.967203162803694,0.877379232557474,0.927490380601598,0.185564914945583,0.0279059829873241,0.363935875173675,0.699402360503024,0.741288796723115,0.518854789107592,0.935462727400136,0.674942699047522,0.69008284996117,0.531020818850136,0.456008277112727,0.379820366073456,0.44015227972906,0.44432237715652,0.768223945144325
"Arabinose",0.800567884780963,0.490307198067099,0.66970699853688,0.679668768010645,0.334612301280329,0.826367603668053,0.802562630135763,0.104188526856875,0.731503466478319,0.839101537704921,0.611796275234177,0.611796275234177,0.511739100517462,0.511739100517462,0.740823812747092,0.404656139868549,0.779057690435318,0.0942691470365129,0.0942691470365129,0.373565919774448,0.407840459224935,0.00995002025904768,0.0308342615649306,0.980951047072724,0.982348203042601,0.202796634026562,0.0877641662229069,0.807976013723656,0.807976013723656,0.47760766334828,0.911677157299376,0.836621407125996,0.853674734775997,0.547301513354431,0.499535509221708,0.667801320809226,0.580540440056844,0.753046561151739,0.689701667971404,0.377487717620944,0.619574170367409,0.179607197398067,0.125373406861237,0.829715104294593,0.774345521242303,0.747148231444998,0.21118290128393,0.00995002025904768,0.983280631817222,1,0.836621407125996,0.731503466478319,0.202796634026562,0.80836424617037,0.916541777102077,0.829568103739143,0.885954295562503,0.171118873997844,0.276431502872962,0.975485371691911,0.471101933685945
"Fucose",0.387459555229068,0.860554493200307,0.0235661783604293,1,0.412897796080665,0.651536673087313,0.369386672105838,0.845073444630852,0.965824690223072,0.841307949962713,0.865940005197866,0.865940005197866,0.812049686605234,0.812049686605234,0.627879494452643,0.168617396915072,0.066837645212666,0.280011461128847,0.280011461128847,0.151216803591387,0.126909336778506,0.655497530774832,0.600859785134876,0.792699704448063,0.799041851821511,0.807976013723656,0.827040537932963,0.369610283297817,0.369610283297817,0.792759313961935,0.473213642060582,0.901553206610766,0.680686473955075,0.12558325778535,0.134977340871038,0.491149859833639,0.69575287474673,0.883352018608537,0.869506383368297,0.759643697123508,0.954996999996491,0.0810269456798327,0.0960818104831036,0.821470824729706,0.707579143889176,0.742763332915546,0.25188558254974,0.655497530774832,0.152624465718041,0.830302477002594,0.901553206610766,0.11467283215014,0.807976013723656,0.774345521242303,0.599430340930264,0.33782115012634,0.0824028133847463,0.878056461090904,0.131579891205927,0.718419399061457,0.814845641286718
"Rhamnose",0.47760766334828,0.729643693556711,0.238498907873559,0.62000850062114,0.285273060991611,0.884117284675088,0.26508521704886,0.841341658103875,0.606285418285532,0.430627502581835,0.462365063496384,0.462365063496384,0.591863740726575,0.591863740726575,0.817177902633066,0.529762098548136,0.272782290032049,0.280011461128847,0.280011461128847,0.0302535011039584,0.0253404443688789,0.597752618940334,0.65446264983663,0.549263309605638,0.403737616338098,0.967706367145595,0.892289801232243,1,1,0.824104043686034,0.534102346245533,0.804519237511616,0.698225152939614,0.636747470567595,0.816774900036197,0.764055197679005,0.682912271811236,0.179607197398067,0.37612175904335,0.448461225133674,0.464075209686057,0.261235267634494,0.343842133653576,0.653016542510436,0.80836424617037,0.666355828318194,0.137237824614708,0.597752618940334,0.280076585700839,0.830302477002594,0.804519237511616,0.104483467663741,0.967706367145595,0.80836424617037,0.850354725237691,0.2588926636654,0.433242471610399,0.337149344575284,0.429840739349218,0.851744971159447,0.296155022192863
"GlcA",0.47760766334828,0.512004201134885,0.66884116139689,0.901553206610766,0.250369389337547,0.803074917869424,0.0802263829882097,0.596803119032776,0.965824690223072,0.952792433628037,0.955135014336779,0.955135014336779,0.511739100517462,0.511739100517462,0.3989508700005,0.584507676913751,0.907498995289072,0.955135014336779,0.955135014336779,0.236035483857215,0.207454385375092,1,0.893876491070845,0.486758889128013,0.490922247170632,0.202796634026562,0.229801258948797,0.935462727400136,0.935462727400136,0.887548931278553,0.665081197488315,0.562623947340864,0.83510238342099,0.863889547199674,1,0.518854789107592,0.378984472987338,0.983280631817222,0.7391055275207,0.854430062254352,0.775740157625009,0.363935875173675,0.224760021098054,0.810507525122102,0.236852845958832,0.216430609296849,0.514682864823251,1,0.140285222972323,0.104483467663741,0.562623947340864,0.320064460894286,0.202796634026562,0.0731116379869121,0.0482441937698881,0.503939768312829,0.693347572448947,0.295799517595435,0.595809063094702,0.414397185150569,0.200618839016203
"GalA",0.879572712634282,0.50187210206538,0.996224746284204,0.153330962594973,0.115913214545163,0.218608624989532,0.799731016164664,0.120633123726367,0.320064460894286,0.276373197115459,0.865940005197866,0.865940005197866,0.858489930481186,0.858489930481186,0.837725993444795,0.227235477362793,0.455479051938513,0.0942691470365129,0.0942691470365129,0.347899152416379,0.345849851140933,0.00244406749699699,0.0090802837122006,0.684366734298251,0.665616822361862,0.287569430172415,0.203565936685792,1,1,0.983885980594712,0.663220277316073,0.649573075108222,0.582755623853364,0.965824690223072,0.895650972664501,1,0.794474485821685,0.983280631817222,0.958574879896833,0.668156025987608,0.869480872288402,0.107629964402256,0.101480011136556,0.699618275052016,0.58063446740333,0.58006236435851,0.232160354590693,0.00244406749699699,0.363935875173675,0.797006008463953,0.649573075108222,0.606285418285532,0.287569430172415,0.774345521242303,0.850354725237691,0.84436126248298,0.411112587772748,0.340275845768048,0.147009807928438,0.283196013687339,0.529385244894562
"GlcNAc",0.239589588042491,0.961623957240967,0.0540499478230856,0.868982887313104,0.357485715758194,0.998913358872759,0.77623413336035,0.431296942542092,0.438081065031146,0.548783818120323,0.534589972793293,0.534589972793293,0.952620019268046,0.952620019268046,0.651996733899173,0.47760766334828,0.271073614319385,0.534589972793293,0.534589972793293,0.400307886916724,0.330280521155621,0.415305030324753,0.432310625816369,0.299845353443267,0.391153395540369,0.776717355526654,0.794313663469557,0.745796826085298,0.745796826085298,0.983885980594712,0.814450964102626,0.679668768010645,0.897292898280409,0.104483467663741,0.128885099562428,0.547301513354431,0.442616462262779,0.599430340930264,0.849641650502184,0.609567053895033,0.502129557115645,0.107629964402256,0.179521218469213,0.634379733069916,0.707579143889176,0.742763332915546,0.636055654146302,0.415305030324753,0.165725609781837,0.667801320809226,0.679668768010645,0.0456484455635211,0.776717355526654,0.46492351135368,0.226091964375002,0.642402181313306,0.194948640657778,0.629117986237993,0.431418438667817,0.409403276840577,0.349206872437266
