"","FFQ101","FFQ102","FFQ103","FFQ104","FFQ105","FFQ106","FFQ107a","FFQ109a","FFQ110","FFQ110a","FFQ111","FFQ111a","FFQ112","FFQ112a","FFQ114a","FFQ115","FFQ115a","FFQ116","FFQ116a","FFQ117","FFQ117a","FFQ118","FFQ118a","FFQ119","FFQ119a","FFQ120","FFQ120a","FFQ121","FFQ121a","FFQ122","FFQ122a","FFQ123","FFQ123a","FFQ124","FFQ124a","FFQ125","FFQ125a","FFQ126","FFQ126a","FFQ127","FFQ127a","FFQ128","FFQ128a","FFQ129","FFQ131","FFQ131a","FFQ132","fg2","fg3","fg4","fg5","fg6","fg7","mdd","mad","grains_roots_srv","dairy_srv","fruits_veg_srv","grains_roots_bi","dairy_bi","fruits_veg_bi"
"T-F-Arabinose",0.0192557095626233,-0.165826756683105,0.139165177327638,-0.149361099701583,-0.295152987256366,-0.102574897064794,0.0367239229707902,0.379054589703494,0.0163390113699475,-0.0333258686969541,-0.0750896054804791,-0.0750896054804791,0.215252254309608,0.215252254309608,0.0961068117956096,0.05776712868787,-0.0611607734564809,0.268177162430282,0.268177162430282,0.396083814739934,0.399208084360659,0.440009064812797,0.400496818231577,0.122922563195152,0.132889509751531,-0.0617556582193399,-0.125907663004057,-0.0926334873290099,-0.0926334873290099,-0.00385114191252467,-0.137341285970733,0.0786111051060964,0.0838720639777236,-0.0408475284248688,-0.0553295602137895,-0.0571865397948164,0.0165471600335735,-0.123870911193179,-0.124467882897812,0.0738309141256667,-0.0179335306741405,0.219770971471769,0.239833112424034,0.0351671326822952,0.0294135822102688,0.0308458784680551,0.136457823651247,0.440009064812797,-0.179812613022356,-0.0163390113699475,0.0786111051060964,0.179729125069423,-0.0617556582193399,0.155471791682849,0.147845926262826,0.000901690023722167,-0.0746322518005431,-0.0168129452611634,0.102400140661462,-0.190310902854044,0.122373327479357
"2-F-Arabinose",-0.00962785478131167,-0.132569661636009,0.0230062367705334,-0.235833315318289,-0.263027492044788,-0.205928843980712,-0.0374212126474508,0.312509955321754,-0.0980340682196852,-0.135991044844023,-0.182360470452592,-0.182360470452592,0.0679743960977711,0.0679743960977711,-0.0157514727170952,-0.111683115463215,-0.194799471363358,0.268177162430282,0.268177162430282,0.341451564430977,0.352971266111468,0.347375577483787,0.340249454699823,-0.0136580625772391,-0.0168748583811468,-0.00771945727741749,-0.0258147239428048,-0.21614480376769,-0.21614480376769,-0.165599102238561,-0.262771557759934,0.0628888840848771,0.0878898874018061,0.0245085170549213,-0.0218126150842824,-0.0816950568497377,-0.00523993401063161,-0.139854254572944,-0.150432150943162,-0.0272008630989298,-0.154228363797608,0.251737658231299,0.232037886668107,-0.181659519779245,0.0714329853677957,0.0875802620789421,0.013853586157487,0.347375577483787,-0.227762643161652,-0.147051102329528,0.0628888840848771,0.0980340682196852,-0.00771945727741749,-0.0378174628417742,-0.0599375376741188,-0.127814560862617,-0.241826425503862,0.00898225842719689,-0.0589116858620264,-0.298825617166141,0.0806224275158119
"5-F-Arabinose",0,-0.163762523197423,0.072853083106689,-0.0943333261273156,-0.202792188523081,-0.0495995071882926,-0.0397455115696527,0.234155351698204,-0.0816950568497377,-0.129003362697887,-0.0107270864972113,-0.0107270864972113,0.0793034621140663,0.0793034621140663,-0.0424604916721696,0.0192557095626233,-0.0582712880963322,0.311085508419128,0.311085508419128,0.241292438864557,0.241761141172239,0.455447979367632,0.414077166568652,-0.00455268752574636,-0.0253122875717202,-0.138950230993515,-0.233550191142923,-0.0617556582193399,-0.0617556582193399,-0.0962785478131167,-0.209536616826145,0.0943333261273156,0.111494600018291,-0.171559619384449,-0.215466075832546,-0.0326780227398951,0.0816326561656293,-0.139854254572944,-0.126073920096494,-0.019429187927807,-0.126491169688271,0.331654375130124,0.331816776343978,-0.142236492058965,0.0126058209472581,0.0239606377385785,0.0387900412409636,0.455447979367632,-0.0759208810538838,-0.220576653494292,0.0943333261273156,0.0653560454797901,-0.138950230993515,-0.113452388525323,-0.0759208810538838,-0.0822792146646477,-0.0730634056665977,-0.178723911269354,0.0733235575106766,-0.075702489682089,-0.017276234467674
"2,3-F-Arabinose",-0.269579933876727,-0.403672326088885,-0.192620845117995,0.0314444420424385,-0.0636773208658048,0.119713993789544,0.188500642590575,0.368834424013465,-0.0898645625347114,-0.12577827863044,0.117997951469324,0.117997951469324,0.0453162640651807,0.0453162640651807,0.259100312085551,0.0962785478131167,-0.0105947796538786,0.311085508419128,0.311085508419128,0.0865010629891809,0.105468297836389,0.571239838528894,0.575559854067697,-0.122922563195152,-0.156092440025608,0.169828060103185,0.100580009324324,0,0,-0.0423625610377713,-0.191305472670738,0.235833315318289,0.233535986524799,-0.187898630754397,-0.234086600904494,-0.0571865397948164,0.014340872029097,-0.171820941332474,-0.212532255958845,-0.0582875637834211,-0.123621804780408,0.275712673300947,0.284525740091351,0.0685423095591231,0.138664030419839,0.172957247124452,0.253751519784637,0.571239838528894,0.0279708509145888,-0.236915664864239,0.235833315318289,-0.0898645625347114,0.169828060103185,0.113452388525323,0.0759208810538838,0.146299206348922,-0.264910875760486,0.00299408614239896,0.146647115021353,0.0442965032505103,0.0734239964876144
"T-P-Xylose",-0.0770228382504933,-0.229359276186867,-0.0965359738998851,-0.0707499945954867,-0.195621319056211,-0.0459639412163759,0.147592981559821,0.305242281942178,-0.171559619384449,-0.184904819866971,-0.182360470452592,-0.182360470452592,-0.147277858211837,-0.147277858211837,0.0751048481728161,0.034660277212722,-0.0671805346234573,0.268177162430282,0.268177162430282,0.223081688761572,0.236925918348794,0.21614480376769,0.212594180331312,-0.0318688126802245,-0.0590620043340137,0.231583718322525,0.192636289044892,-0.21614480376769,-0.21614480376769,-0.034660277212722,-0.146821480931545,0.149361099701583,0.214953553188417,-0.0326780227398951,-0.0500094101932328,0.0408475284248688,0.0377826820766595,-0.131862582883061,-0.210926218760163,-0.283666143745983,-0.309174068822182,0.299687688370594,0.248148019897023,-0.149628309756517,0.214298956103387,0.218399835938997,0.232971140548406,0.21614480376769,-0.0599375376741188,-0.0735255511647639,0.149361099701583,0.0735255511647639,0.231583718322525,0.247914478629409,0.171820941332474,0.0196117580159571,-0.359489885549763,0.18655459810332,0.0804030734082592,-0.147186264768891,0.234668851519238
"2-Xylose",-0.0962785478131167,-0.191744354892221,-0.244497653522139,-0.0550277735742675,-0.12735464173161,0.00129841641854169,-0.0399779414618729,0.201905051076337,0.0816950568497377,0.0698768214613555,0.0965437784749017,0.0965437784749017,-0.0453162640651807,-0.0453162640651807,0.126468346163344,0.150194534588462,0.0869253512511401,0.289631335424705,0.289631335424705,-0.104711813092166,-0.0849186008367488,0.285619919264447,0.260495772647542,-0.168449438452615,-0.198279585978475,0.262461547432195,0.242317455878215,-0.0617556582193399,-0.0617556582193399,-0.034660277212722,-0.140987514801814,0.188666652254631,0.28174986761379,-0.0245085170549213,-0.0244726900945608,-0.171559619384449,-0.288196370584738,-0.0998958961235314,-0.229930992277894,-0.174862691350263,-0.187226060238026,0.235754314851534,0.236715022121663,-0.17874759159536,0.315145523681452,0.331042374273234,0.335718571216435,0.285619919264447,-0.187804284712239,0.0653560454797901,0.188666652254631,-0.212407147809318,0.262461547432195,0.214298956103387,0.203787628092004,0.165009274341157,-0.413054774980183,0.0918954131397836,0.194181007476551,-0.26390403523849,0.0691049378706959
"T-GlcA",-0.086650693031805,-0.244726347691387,-0.0908971903776955,-0.0157222210212193,-0.16980618897548,0.0127244809017086,0.204770735045988,0.277307162389434,-0.171559619384449,-0.184904819866971,-0.139452124463747,-0.139452124463747,-0.113290660162952,-0.113290660162952,0.129664297149421,0.00385114191252467,-0.0936674837581538,0.268177162430282,0.268177162430282,0.286819314122021,0.291926577965478,0.138950230993515,0.139754130159724,0.0318688126802245,0.0126561437858601,0.285619919264447,0.272759347320202,-0.12351131643868,-0.12351131643868,0.0423625610377713,-0.0785154608292863,0.0786111051060964,0.129072577498652,0,-0.0250047050966164,0.0816950568497377,0.0810810841645101,-0.187804284712239,-0.264193119183098,-0.213721067205877,-0.217354391770582,0.187804284712239,0.12498345295337,-0.0468148454178324,0.163875672314355,0.1881047767293,0.297159423078096,0.138950230993515,-0.0119875075348238,0,0.0786111051060964,0.13071209095958,0.285619919264447,0.289933881786935,0.227762643161652,0.0365184459607477,-0.312200380655125,0.303784586294172,0.0510736504039886,-0.069374417789159,0.321050023857608
"T-GalA",0.0385114191252467,-0.143120188340605,0.142773998781839,-0.157222210212193,-0.296873995928414,-0.0953037651209602,0.0590371926239285,0.296611919803932,0.0653560454797901,0.00913773819110033,0.0107270864972113,0.0107270864972113,0.192594122277018,0.192594122277018,0.0885734987569989,0.034660277212722,-0.0883700939312145,0.268177162430282,0.268177162430282,0.314135439276499,0.320333512053216,0.455447979367632,0.415311743690205,0.104711813092166,0.103358507584524,-0.0771945727741749,-0.153670667999149,-0.0617556582193399,-0.0617556582193399,0.0423625610377713,-0.0994205061274864,0.0943333261273156,0.0934143946099197,-0.0898645625347114,-0.116511285450191,-0.0653560454797901,0.0115830120235014,-0.123870911193179,-0.114563986839277,0.019429187927807,-0.0915805633092773,0.195795956402121,0.215408071722128,-0.0228474365197077,0.0462213434732796,0.0415868540060385,0.136226930548622,0.455447979367632,-0.187804284712239,0.0326780227398951,0.0943333261273156,0.138881596644554,-0.0771945727741749,0.147067911051344,0.155837597952709,-0.0317845733362064,-0.0183779118547884,-0.0914347845024915,0.0804030734082592,-0.164998615282324,0.0619065068424984
"6-Galactose",0.11553425737574,-0.117202590131489,0.15202160375823,-0.0157222210212193,-0.226886309931764,0.0459639412163759,0.0771667242171034,0.0635921420712871,-0.179729125069423,-0.205867866305378,-0.225268816441437,-0.225268816441437,-0.158606924228133,-0.158606924228133,0.0358403074867238,0.0192557095626233,-0.0599568212230856,-0.0965437784749017,-0.0965437784749017,-0.0865010629891809,-0.0843141979838182,0.0231583718322525,-0.044444776375884,-0.0591849378347027,-0.0991397929892373,0.169828060103185,0.154157738262221,-0.015438914554835,-0.015438914554835,-0.0423625610377713,-0.138799777503166,0.21224998378646,0.248602824365109,-0.302271710344029,-0.312292806206677,-0.261424181919161,-0.24351903849409,-0.0439541942943538,-0.0596910492176604,-0.0116575127566842,0.0126730283430593,-0.0839125527437663,-0.118227590631566,-0.0851179007596954,0.331953284944462,0.362989891258005,-0.0397136136514627,0.0231583718322525,-0.395587748649184,-0.0490170341098426,0.21224998378646,-0.0245085170549213,0.169828060103185,0.0462213434732796,0.155837597952709,0.0243456306404985,-0.0932342845316094,0.0386928055325405,0.00126419926742546,-0.296950632901569,0.0302334103184295
"2,4,6-Glucose",-0.154045676500987,-0.277983442738483,-0.210439401048114,-0.117916657659145,-0.130509824297032,-0.016879413441042,0.03649149307857,0.17101743921314,-0.0653560454797901,-0.111265400326928,0.203814643447015,0.203814643447015,-0.181265056260723,-0.181265056260723,0.152264236265253,0.17330138606361,0.0356369861085007,0.0965437784749017,0.0965437784749017,-0.113817188143659,-0.102144082145271,0.609837124915982,0.583708063069943,-0.0956064380406736,-0.137108224346818,0.015438914554835,-0.110808484848832,0.03087782910967,0.03087782910967,-0.011553425737574,-0.142202924412175,0.235833315318289,0.256136243285264,-0.277763193289108,-0.331977361282737,-0.155220608014502,-0.0943188121913689,0.0359625226044713,0.0361358369703325,-0.143775990665772,-0.269959415081394,0.0519458659842363,0.0262439267116223,-0.183003486633345,0.0966446272623118,0.069954045811482,0.25582955770826,0.609837124915982,-0.163829269642591,-0.0735255511647639,0.235833315318289,-0.155220608014502,0.015438914554835,0.121856269156828,0.147845926262826,0.0320099958421369,-0.28485763374922,-0.263249266212463,0.182044694509266,-0.162889257984681,-0.128132072301915
