"","fg2","fg3","fg4","fg5","fg6","fg7"
"T-F-Arabinose",0.440009064812797,-0.179812613022356,-0.0163390113699475,0.0786111051060964,0.179729125069423,-0.0617556582193399
"2-F-Arabinose",0.347375577483787,-0.227762643161652,-0.147051102329528,0.0628888840848771,0.0980340682196852,-0.00771945727741749
"5-F-Arabinose",0.455447979367632,-0.0759208810538838,-0.220576653494292,0.0943333261273156,0.0653560454797901,-0.138950230993515
"2,3-F-Arabinose",0.571239838528894,0.0279708509145888,-0.236915664864239,0.235833315318289,-0.0898645625347114,0.169828060103185
"T-P-Xylose",0.21614480376769,-0.0599375376741188,-0.0735255511647639,0.149361099701583,0.0735255511647639,0.231583718322525
"2-Xylose",0.285619919264447,-0.187804284712239,0.0653560454797901,0.188666652254631,-0.212407147809318,0.262461547432195
"T-GlcA",0.138950230993515,-0.0119875075348238,0,0.0786111051060964,0.13071209095958,0.285619919264447
"T-GalA",0.455447979367632,-0.187804284712239,0.0326780227398951,0.0943333261273156,0.138881596644554,-0.0771945727741749
"6-Galactose",0.0231583718322525,-0.395587748649184,-0.0490170341098426,0.21224998378646,-0.0245085170549213,0.169828060103185
"2,4,6-Glucose",0.609837124915982,-0.163829269642591,-0.0735255511647639,0.235833315318289,-0.155220608014502,0.015438914554835
"3-Mannose",-0.0231583718322525,-0.163829269642591,0.0735255511647639,0.133638878680364,-0.400305778563715,0.15438914554835
"4-Mannose",0.27790046198703,-0.219770971471769,-0.0490170341098426,0.141499989190973,-0.19606813643937,0.131230773716097
"4,6-Mannose",0.0617556582193399,-0.355629390199772,0.122542585274606,0.0628888840848771,0.0490170341098426,0.285619919264447
"3,4,6-Mannose",0.347375577483787,-0.251737658231299,0.0245085170549213,0.165083320722802,0.228746159179265,0.015438914554835
