"","FFQ101","FFQ102","FFQ103","FFQ104","FFQ105","FFQ106","FFQ107a","FFQ109a","FFQ110","FFQ110a","FFQ111","FFQ111a","FFQ112","FFQ112a","FFQ114a","FFQ115","FFQ115a","FFQ116","FFQ116a","FFQ117","FFQ117a","FFQ118","FFQ118a","FFQ119","FFQ119a","FFQ120","FFQ120a","FFQ121","FFQ121a","FFQ122","FFQ122a","FFQ123","FFQ123a","FFQ124","FFQ124a","FFQ125","FFQ125a","FFQ126","FFQ126a","FFQ127","FFQ127a","FFQ128","FFQ128a","FFQ129","FFQ131","FFQ131a","FFQ132","fg2","fg3","fg4","fg5","fg6","fg7","mdd","mad"
"Glucose",-0.049827287912244,-0.0822925186705695,-0.0890999702104847,-0.0734663279967451,-0.219508018823652,-0.0773494556435259,-0.0438528127111536,0.164015545123791,-0.134018424964898,-0.121696211516247,0.0231317376982737,0.0231317376982737,-0.0470591052504526,-0.054202984515752,-0.096067616534137,0.201077162717766,0.136318327782941,0.0800246267513914,0.0829809708935407,0.04152273992687,0.0279429782205176,0.173404510967746,0.150647027662267,-0.0587776036221732,-0.0547724041513663,-0.115603007311831,-0.116987109338535,0.110853061545085,0.110853061545085,0.152307229516558,0.10871074581837,-0.111488327843514,-0.137594773914276,0.0798982553709242,0.0420667426810698,0.217159341569997,0.20457238781526,0.0060142103243816,-0.0330747369507906,0.151479802684468,0.160388208077513,0.152307229516558,0.152194540475023,0.0850729866120264,-0.103256848218197,-0.114497501564426,0.201112308935246,0.173404510967746,0.0547047606469348,0.242868284904781,-0.111488327843514,0.0639021484263458,-0.115603007311831,0.238568020791691,0.104077297995389
"Galactose",0.296195544811673,0.287964226267579,0.236800419333083,-0.138769730660519,-0.263501675575483,-0.0503637313798331,0.132417094606127,0.0431572957379333,0.0302622249920737,0.00715860067742632,-0.0925269507930948,-0.0925269507930948,0.091350027839114,0.0926786781875552,0.0863294190869577,0,-0.0518660737054963,-0.0461680538950335,-0.0360764195917338,0.218686430281515,0.221531182441725,-0.00996577649239919,-0.0497100429017717,0.040888767737164,0.028809422026073,-0.231206014623661,-0.142559432194213,0.15044344066833,0.15044344066833,0.0782118205625567,0.0548303886524614,-0.236912696667467,-0.229845815515893,0.0042051713353118,-0.0247656611140627,-0.0268650731839172,0.0144065061841732,-0.0541278929194344,-0.0451954989859699,0.211274461638863,0.213432512093516,-0.0802700263668345,-0.0994264849526224,-0.0223176181000973,0.108059492321369,0.116838303499829,-0.119931311877144,-0.00996577649239919,-0.237053962803384,0.179063904972169,-0.236912696667467,0.15336515622323,-0.231206014623661,-0.151235084609018,-0.0428553579981013
"Fructose",-0.0885818451773226,-0.122068229179335,-0.032690716886798,-0.112240223328361,-0.223151782896384,0.073164503752365,0.156091480209631,0.159114682221685,-0.092948262475655,-0.110632919560225,0.0925269507930948,0.0925269507930948,-0.024913643956122,-0.0252760031420605,0.0929310805465486,0.207049751709383,0.125224487520522,0.0554016646740402,0.0555982916651828,0.0802772971919486,0.0686639012554428,0.159452423878387,0.116990832054901,0.0868886314414734,0.0931130870573226,-0.0777330566407137,-0.0866513145783685,0.245460350564118,0.245460350564118,0.133783377278058,0.0755614328768759,-0.153296450784832,-0.240009065861834,0.0693853270326447,0.0606584291230352,0.311187097713707,0.289666817676443,0.0721705238925792,0.0433026676544487,0.151479802684468,0.139080362653609,0.0473387334983896,0.0293193788445941,0.217914543885983,-0.16088857745626,-0.176891980739119,0.154636264160132,0.159452423878387,0.0628091696316659,0.211995197840614,-0.153296450784832,0.123544153624268,-0.0777330566407137,0.0575119335837112,-0.026529507332158
"Xylose",-0.0304500092797047,-0.124153846958821,-0.106037551785891,-0.0877514473294456,-0.0789354364387692,-0.0720461114366237,-0.15231952499042,0.110343670795886,0.00216158749943384,0.000650781879766029,0.223606797749979,0.223606797749979,0.0719727492065746,0.0651559192106449,-0.102251073195383,0.0836162458826355,0.0514235843503002,0.144659902204438,0.14591948645834,0.008304547985374,-0.00304236781295418,0.151479802684468,0.118570935135059,-0.0281110278193002,-0.0266961560391305,0.0876988331331129,-0.0010655134523199,0.209829009353197,0.209829009353197,0.00617461741283342,-0.0317921251035621,-0.135378683809981,-0.157725827484121,0.063077570029677,0.0316721412557309,0.038058853677216,0.0134460724385617,0.0681610503429915,0.071994005732243,0.12556878380423,0.0752212005372565,0.0823282321711123,0.0678543948114704,-0.00706478241844138,-0.189704442075292,-0.202640802028546,0.201416471531942,0.151479802684468,-0.0303915336927415,0.203762374623503,-0.135378683809981,-0.0191706445279037,0.0876988331331129,0.0340811458273844,0.0714255966635022
"Arabinose",-0.0553636532358266,-0.0761548434909397,-0.0517603017374301,0.0857107159962027,-0.0876037593907428,0.0737056613244979,-0.165046040567433,0.097423214053972,-0.0562012749852797,-0.0644274060968369,0.0231317376982737,0.0231317376982737,0.146713681074941,0.137192528165517,-0.208654322602906,0.109497464846308,0.0419732759786101,0.153893512983445,0.157476434725822,-0.0276818266179133,-0.0396911985443868,0.211274461638863,0.156683021428471,-0.107333015310055,-0.106741496279237,-0.0418562612680766,-0.107334811005755,0.106894023632761,0.106894023632761,-0.00617461741283342,-0.0572054673688428,-0.24487614865629,-0.263267273384276,-0.0588723986943652,-0.0895051921389927,-0.0223875609865976,-0.00499425547718005,-0.00801894709917547,-0.00946415665760574,0.149486647385988,0.126044596193366,0.148190817908002,0.169874910954069,-0.124062308829282,-0.180099153868948,-0.191905400048942,0.126166645109407,0.211274461638863,0.0830701920934935,-0.00411641160855562,-0.24487614865629,-0.0724224348831918,-0.0418562612680766,-0.0127804296852691,-0.0387738953316155
"Fucose",0.033218191941496,0.179512101734316,0.142488885560935,0.0306109699986438,-0.0876804702133267,0.189513381760934,0.25275166598974,0.0249795497010337,-0.125372074967163,-0.171806416258232,0.0077105792327579,0.0077105792327579,-0.008304547985374,-0.00842533438068684,0.186489468290615,-0.123433505826748,-0.152722040307714,-0.147737772464107,-0.145711253156224,0.0968863931626966,0.0989003567503412,0.0857056778346331,0.122236774281025,0.0229999318521547,0.020830764728433,-0.0438494165665565,-0.0356947006527167,0.126689213194383,0.126689213194383,0.00617461741283342,0.00776990037216192,-0.0258812189636729,-0.0912738059914304,-0.29225940780417,-0.291432533250695,-0.0313425853812367,-0.00326547473507926,-0.0360852619462896,-0.0453947443892879,0.0478357271635161,-0.00273590160276714,-0.181122110776447,-0.208341662942261,0.0732786427419087,0.0456251189801334,0.0383810800097884,-0.198466094343993,0.0857056778346331,-0.125618339263332,-0.0370477044770005,-0.0258812189636729,0.0979832942537301,-0.0438494165665565,-0.0276909309847498,-0.0224480446656721
"Rhamnose",-0.024913643956122,-0.0209455614139791,0.049776354245206,0.0122443879994575,0.129871422634438,-0.147736017192275,-0.0911095850103758,0.0802553427969001,0.235613037438288,0.254455714988517,0.115658688491368,0.115658688491368,0.174395507692854,0.18914875684642,0.0901828775859949,0.0736619308966074,0.172539242144,0.132348421165763,0.139099845814016,-0.218686430281515,-0.220407846633865,0.0936782990285524,0.0789735519462985,-0.0971108233757644,-0.112995038485496,-0.0418562612680766,-0.0204954646416828,0.00791807582464896,0.00791807582464896,0.0699789973454455,0.0869957404114548,0.177186806751299,0.21909622380384,0.0462568846884298,0.0332766770462194,0.0783564634530917,0.00749138321577007,0.060142103243816,0.0311819056192695,-0.049828882461996,-0.0144198108004668,-0.109084907626724,-0.0795957991450448,-0.0322496971486174,0.187303120023706,0.206313439547884,0.0984270162907526,0.0936782990285524,0.0830701920934935,-0.0514551451069452,0.177186806751299,-0.15336515622323,-0.0418562612680766,-0.0191706445279037,0.00816292533297168
"GlcA",0.0221454612943307,-0.0993349953829394,0.00325722722603965,-0.0632626713305305,-0.122698960722849,-0.0253622515472942,0.287005925988592,0.284398559319141,-0.0648476249830151,-0.090458681287478,-0.0231317376982737,-0.0231317376982737,0.091350027839114,0.0943637450636926,0.131316306680369,0.179177669748505,0.0625174246127189,-0.0492459241547024,-0.0478936594868616,-0.0276818266179133,-0.0264920028020318,0.0398631059695968,0.029705937906971,0.00766664395071824,0.00828055243863175,0.189349753355585,0.177470667073165,0.0950169098957875,0.0950169098957875,0.0473387334983896,0.0298581324345087,-0.207049751709383,-0.170234443294509,0.0126155140059354,0.0263701969045512,-0.0582076585651539,-0.0883599045962623,-0.132312627136395,-0.158865001578898,-0.00597946589543952,0.0199559881613603,-0.0452805276941118,-0.0808586827506908,0.0328704520891499,0.158487255404674,0.15634942582326,-0.0199226500835732,0.0398631059695968,-0.222871247080105,0.269624960360393,-0.207049751709383,0.0255608593705383,0.189349753355585,0.080942721340038,0.0979551039956602
"GalA",-0.0885818451773226,-0.183027857419735,-0.055609752095477,-0.0550997459975588,-0.203437101492338,0.0174613509941542,-0.155754150881083,0.045652280488096,-0.15779588745867,-0.184822053853552,-0.0077105792327579,-0.0077105792327579,0.182700055678228,0.181144689184767,-0.24978775169728,0.195104573726149,0.158063518952582,0.236996009994505,0.239624472410896,0.00276818266179133,-0.00238708859170251,0.287014362981097,0.232496367214453,-0.030666575802873,-0.0296288516944792,-0.0597946589543952,-0.0931384111851397,0.0435494170355693,0.0435494170355693,0,-0.0361011964889969,-0.18116853274571,-0.20013785296622,-0.0126155140059354,-0.013254860877949,-0.00671626829597929,0.0203611954069648,0.118279469712838,0.104935912414155,0.00996577649239919,0.00508555827337892,0.269624960360393,0.269028339991957,-0.115785576288849,-0.0696383394959931,-0.084389945636664,0.199226500835732,0.287014362981097,-0.0405220449236554,-0.0391059102812783,-0.18116853274571,0.0213007161421153,-0.0597946589543952,-0.110763723938999,-0.159177043992948
"GlcNAc",0.152250046398523,0.160741541718944,0.192087572866538,-0.077547790663231,-0.135432957271766,0.0106788427567554,0.100861469235653,-0.0538500875243449,-0.0281006374926399,-0.0624750604575388,0.0925269507930948,0.0925269507930948,-0.135640950427775,-0.131575638578393,0.0345018958634727,-0.0696802049021962,-0.136255115017913,0.0400123133756957,0.0360243612662046,0.0442909225886613,0.0510181679403085,0.0976646096255121,0.0492992161009306,0.13033294716221,0.124208286579476,0.0179383976863185,0.0232532641653343,0.190033819791575,0.190033819791575,-0.0329312928684449,-0.057341186152636,-0.0159269039776448,-0.0648884445163916,-0.0735904983679565,-0.0835405047439157,0.0514913902691746,0.0278525786227349,-0.0200473677479387,-0.051405314056048,0.00996577649239919,-0.00431306840906819,-0.187296728189281,-0.178544436246882,-0.0620163745351047,0.0888489159086809,0.084874249485368,-0.0978491073570306,0.0976646096255121,-0.135748850494246,0.0987938786053348,-0.0159269039776448,0.200226731735883,0.0179383976863185,0.0276909309847498,0.0938736413291743
