"","FFQ101","FFQ102","FFQ103","FFQ104","FFQ105","FFQ106","FFQ107a","FFQ109a","FFQ110","FFQ110a","FFQ111","FFQ111a","FFQ112","FFQ112a","FFQ114a","FFQ115","FFQ115a","FFQ116","FFQ116a","FFQ117","FFQ117a","FFQ118","FFQ118a","FFQ119","FFQ119a","FFQ120","FFQ120a","FFQ121","FFQ121a","FFQ122","FFQ122a","FFQ123","FFQ123a","FFQ124","FFQ124a","FFQ125","FFQ125a","FFQ126","FFQ126a","FFQ127","FFQ127a","FFQ128","FFQ128a","FFQ129","FFQ131","FFQ131a","FFQ132","fg2","fg3","fg4","fg5","fg6","fg7","mdd","mad","grains_roots_srv","dairy_srv","fruits_veg_srv","grains_roots_bi","dairy_bi","fruits_veg_bi"
"Glucose",-0.0544059386889823,-0.0983728317380577,0.0694116042572705,-0.084327945717031,-0.0841881931082798,-0.0806069901844439,0.0456816980402208,0.241568994239879,-0.218517911722468,-0.196886762463064,0.0524034058322695,0.0524034058322695,-0.0786663236820112,-0.0786663236820112,0.068719585482041,0.242064278745478,0.229631780110472,0.0619263939832381,0.0619263939832381,0.257563768580569,0.0843286962123119,0.0606680528709442,0.0552079782170277,0.0708944873210599,0.304097272052741,-0.340437555730153,-0.284935163705403,0.113903458209239,0.113903458209239,0.371304736543103,0.358999768807801,-0.0102843264998998,-0.124558693880678,0.168226696253676,0.268613919991928,0.362296748413033,0.314593454044603,-0.145898955667936,-0.170068716052599,0.191348177855416,0.290522856947904,0.263423438467388,0.272290102100358,0.369983064979514,-0.16449546264733,-0.187678078259649,0.393570150681258,0.0606680528709442,0.21328675983449,0.267426001135133,-0.0102843264998998,0.0732706956255872,-0.340437555730153,0.177070222342373,0.0404688870441824,0.151725030177087,-5.33205471026592e-05,-0.0183795687627973,0.235246709672418,0.123272676904309,-0.0362141470838933
"Galactose",0.412951521390254,0.229002188249886,0.398057403608233,-0.0510841533225324,-0.312392660011452,-0.225570261482774,-0.0933272846887116,0.107657711198628,-0.00716751236777725,-0.0647424727974089,-0.133192349920111,-0.133192349920111,0.443611206428025,0.443611206428025,-0.0570502170838699,0.120271453218711,-0.0954593925029017,0.037338255559591,0.037338255559591,0.2301515956229,0.281861369878144,0.149285954277381,-0.0747183179210562,0.0714214849950278,0.022293089681268,-0.221018265439237,-0.11536254828724,-0.0104922745376905,-0.0104922745376905,0.212134392176652,0.00941776719656273,-0.102478941069974,-0.162299197615251,-0.0277132195040497,-0.0920981529527522,-0.187659106939928,-0.105715528442873,-0.00273691350921713,0.0100381258273659,0.190586178272239,0.228249259624045,-0.205518561092479,-0.198550248952137,-0.0701306391908898,0.182026869048612,0.296581704600503,0.0350408389664833,0.149285954277381,-0.261582084433175,0.33870317194382,-0.102478941069974,0.230883557180773,-0.221018265439237,0.0689600161119525,0.175992275017349,-0.0740274328852795,0.200394000918884,0.0390356727047078,0.11898343324392,-0.201038421789914,0.0202492914525274
"Fructose",0.0333560385908395,-0.161821908848956,-0.0663274257821039,-0.115655448728116,-0.0432669385994027,-0.00341777994482221,0.063451391296895,0.247712395472425,-0.140743919928699,-0.148376548053167,0.0204398306652904,0.0204398306652904,-0.0664981172619936,-0.0664981172619936,0.0271088480102353,0.276391896432582,-0.0112088356989526,-0.0156521871102899,-0.0156521871102899,-0.00640148485959091,-0.0335891286333306,0.289373012161814,0.0721120055164877,-0.0564345692615297,-0.0579950075412948,-0.225583083010566,-0.202799859781052,-0.00222669643725048,-0.00222669643725048,0.000984013271383924,-0.103871720278245,-0.161541680164542,-0.238259006771177,-0.211273398573286,-0.170025074285788,0.253132711654635,0.36755104476676,-0.10028309877292,-0.101835294094714,-0.109618436021828,-0.0708333006749975,0.157907810379389,0.0352326888170226,0.027530744791297,-0.131843226515968,-0.134149879018239,0.033392478877452,0.289373012161814,0.116514141053917,-0.134871808344374,-0.161541680164542,-0.0886014678122193,-0.225583083010566,-0.140198466345543,-0.163161155754004,0.014649881258488,-0.0770545515947169,-0.177874084487411,0.241010956880762,0.190922323998713,-0.162948524259615
"Xylose",-0.170168571521553,-0.222120638505418,-0.239344501511382,-0.0464683324421601,0.373552349961631,0.197435281651042,0.509288923169566,0.130757232471873,0.396935427271828,0.261891889309414,0.649795639301306,0.649795639301306,0.119481792450964,0.119481792450964,0.555458888596295,0.296545630618227,0.304077443000909,0.430875992535697,0.430875992535697,0.0923748404767202,0.0271899397152478,0.268305335465654,0.629289348168534,0.0491445593796332,-0.024544797890353,-0.0160024264940916,-0.158807307243296,0.414980572856186,0.414980572856186,0.234533989762131,-0.00731181328387301,-0.0523705917007374,-0.0551175452649093,-0.0537078335443551,-0.113314079595805,-0.0455828851645011,-0.0804238282155961,-0.0385876446214669,-0.095577066499664,0.274687176088933,0.0323784239151525,0.128197517435752,0.117991691338177,0.368583085084318,-0.166715182943244,-0.159978036877248,0.380200875889621,0.268305335465654,-0.038948338301966,0.189103795602197,-0.0523705917007374,-0.0418222600924309,-0.0160024264940916,0.0407871347077025,0.0748654317686909,0.639281960110392,-0.11346152257241,-0.10916415919793,0.401637929108652,0.0668962072379054,0.0607585231700668
"Arabinose",0.0405547181783021,-0.0555431960056129,0.0135510347184473,-0.169926889292654,-0.137622801878444,-0.133423589351989,0.0402566384670752,0.357501265221372,0.198723241824278,0.0935719782384602,0.0107033617732989,0.0107033617732989,0.274636783438209,0.274636783438209,0.0668675618031955,0.253867547737954,0.0699425812309917,0.569447151051111,0.569447151051112,0.225607675336034,0.101685686213756,0.401426964353578,0.0775135214789982,0.161797682497378,0.0390338858537969,-0.229843442778263,-0.320710893803436,-0.0515478782391275,-0.0515478782391275,0.135287112873306,-0.0492607242677451,-0.0388629376933793,-0.00435358681145136,-0.0740604565314079,-0.152511963599332,0.0159442088382611,-0.00211972510453301,0.0226601839818107,-0.0285535441060631,0.256498665678842,0.0582322479230973,0.256308775238531,0.347244873059022,0.082099079450678,-0.0675381185459763,-0.0391793480015089,0.214437351810793,0.401426964353578,-0.0720768719403865,-0.0337812825474197,-0.0388629376933793,0.0427916312191219,-0.229843442778263,0.000402439803548145,0.039885119489026,0.186879839218774,-0.119400207138711,-0.160972888518354,0.407931271012839,-0.145684804868603,0.0576141117150606
"Fucose",0.255500371900908,0.0416941539987429,0.419349213857188,0.0461002989055838,-0.203154280038362,-0.103994810313499,-0.0513808366542201,0.100469424291194,-0.00134927992118242,-0.0617009229296942,-0.0877694480285598,-0.0877694480285598,0.488088237215138,0.488088237215138,0.0142895774624005,-0.0768473811384945,-0.215760370851565,-0.105745485605984,-0.105745485605984,0.336891612209269,0.385990291989159,0.0861202102651447,-0.0277518042638588,0.121265792132919,0.25211078689171,-0.0101665442825454,0.0307060746511418,0.0163677777163448,0.0163677777163448,0.044962436470591,-0.104095205819635,0.0225716111258911,-0.0465920014514379,-0.00114532436351179,0.0343399664997024,-0.197421879039218,-0.0971467405526854,-0.0695352763411556,-0.0127979562072591,0.0569717589856981,0.131569074151545,-0.283867885580382,-0.263177955035104,0.0467081281489248,0.223403582306953,0.271621787565429,-0.0256047641758655,0.0861202102651447,-0.19921536253943,0.247590060907185,0.0225716111258911,0.287900448432324,-0.0101665442825454,0.226426532245757,0.285526720700808,-0.0882683812911668,0.197859176165382,0.286061280344407,-0.102191845091481,-0.107975938507399,0.221032992596815
"Rhamnose",-0.146382293865661,0.052329273792756,-0.249568339994265,0.0608380902821423,0.103187458124869,-0.0908762542496724,-0.0570951649158321,0.104701631535541,0.114800134657833,0.213326342968753,0.131877680547965,0.131877680547965,0.124916683282285,0.124916683282285,0.117247107563466,0.154143879549464,0.290592968098963,0.237455875813679,0.237455875813679,-0.340814233419033,-0.349785186439275,0.0752231745838149,0.121150333585973,-0.06481922801693,-0.227202076135679,-0.00381355960128331,-0.0146112731983267,-0.00483487016898124,-0.00483487016898124,0.0614904801706356,0.154217212199075,0.0236858371202882,0.0526696834401671,0.128132034438786,0.0337987472947443,0.0583768468985034,-0.157963550480863,0.283129266494802,0.163559056238072,0.172477782533689,0.069241577454395,-0.223354133679581,-0.135418782879436,-0.0268432913154802,0.00925920532798855,0.0706839300583375,0.30679475151307,0.0752231745838149,0.187337594555162,0.0909531732015599,0.0236858371202882,-0.246728025761149,-0.00381355960128331,0.078012307113977,0.0888612352622602,0.246295249028754,-0.187784436219417,-0.249655259220634,0.213080547793743,-0.140782541146937,-0.203181586412796
"GlcA",0.186302234417001,0.0410218536342606,0.144376647252207,-0.212430089754918,-0.186506944589724,-0.163136099764566,0.00137486683814594,0.0337842553078106,0.185361543360583,0.098001642509513,-0.0684904572249202,-0.0684904572249202,0.316969950164949,0.316969950164949,0.0268657864454975,0.0371849768331427,-0.0987110580078851,-0.0565222135390827,-0.0565222135390827,0.307482176796804,0.277379662878155,-0.0796416920416211,-0.0789512932349854,0.229445843503259,0.398644847521985,0.158970833798949,0.136119238928058,-0.0885913724247451,-0.0885913724247451,-0.0500239740122029,-0.15429768987106,-0.18554899519808,-0.150553027521084,0.0945167218426088,0.13763016330749,-0.248077119624273,-0.223163445661159,-0.0310213966770121,-0.0135759362986117,0.109920625165145,-0.0250548198444792,-0.127011365341766,-0.194600608206901,0.00106723142676755,0.0544371407154738,0.0272798978243738,-0.089344982117465,-0.0796416920416211,-0.447027812828541,0.24573925210153,-0.18554899519808,0.206077440629147,0.158970833798949,0.151771425079429,0.198796897938467,-0.0256114157624678,-0.0446632520611341,0.385520918720691,0.0150361211316089,-0.310473444107243,0.358891615117424
"GalA",0.118450123574856,0.0119436150524858,-0.0181514318897304,-0.279979083415389,-0.236177484671324,-0.25248622169851,-0.0586666001804624,0.325456705996223,-0.033515105566706,-0.0888359396152027,-0.0404882342305628,-0.0404882342305628,0.17324143276359,0.17324143276359,-0.0737805148832652,0.275505248434395,0.107417164396111,0.571503309404136,0.571503309404136,0.251990794581795,0.148362076398912,0.45507163243801,0.0540448424933913,0.111533672739911,0.00281358679798388,-0.241363323517829,-0.28199623692179,-0.0730259177135443,-0.0730259177135443,0.0135094917810846,-0.123181955161335,-0.132093729867603,-0.089030857909632,0.0745665419597178,-0.0438303979196589,0.0875580406719283,0.10168115959935,0.104362606546645,0.006215127086391,0.150010085470457,0.01034421723629,0.321249025094425,0.315902055219248,-0.0187059821743253,-0.0614149459203464,-0.0455383293474,0.243724651874712,0.45507163243801,-0.117315493698742,-0.0319402842197124,-0.132093729867603,0.0360073880873166,-0.241363323517829,-0.100197835363063,-0.052792880743612,0.0882998522458976,-0.163432016459239,-0.134020112767973,0.427847737672125,-0.195828008740919,0.0390517544649388
"GlcNAc",0.202261570622868,-0.0517051648117684,0.2985135577757,0.0331623082686598,-0.139658732466705,-0.0724630079095428,0.094987932419406,0.0773197849420981,0.0436186529593944,-0.0145416210198362,-0.0205519046714635,-0.0205519046714635,0.00535045280358375,0.00535045280358375,0.0354576530865799,-0.213521380873001,-0.238425200819943,-0.0798615687524041,-0.0798615687524041,0.226169404945542,0.563328330255019,0.155657196527682,0.122216983912726,0.126018475637984,0.000734127124410119,0.181678876567402,0.199087964039234,-0.0614281369995579,-0.0614281369995579,-0.00770862884401954,-0.0947832734765196,0.249021798750128,0.136275533109096,-0.0103743440314855,0.0215516088355315,-0.0395570323481497,0.0443974941864467,0.0993577412889405,0.0382580728239613,-0.242793364672065,-0.190454024724915,-0.0872662021171684,-0.0741816154420383,-0.0483460326645312,0.206331977068235,0.217135895175573,0.0116728878496441,0.155657196527682,-0.155525357105793,0.174671299774111,0.249021798750128,0.392511219986914,0.181678876567402,0.192206896729606,0.246268298770622,-0.0747888509614005,0.121106740203928,0.3493401674999,-0.215572267309317,0.00283701584154898,0.280639708335147
