"","FFQ101","FFQ102","FFQ103","FFQ104","FFQ105","FFQ106","FFQ107a","FFQ109a","FFQ110","FFQ110a","FFQ111","FFQ111a","FFQ112","FFQ112a","FFQ114a","FFQ115","FFQ115a","FFQ116","FFQ116a","FFQ117","FFQ117a","FFQ118","FFQ118a","FFQ119","FFQ119a","FFQ120","FFQ120a","FFQ121","FFQ121a","FFQ122","FFQ122a","FFQ123","FFQ123a","FFQ124","FFQ124a","FFQ125","FFQ125a","FFQ126","FFQ126a","FFQ127","FFQ127a","FFQ128","FFQ128a","FFQ129","FFQ131","FFQ131a","FFQ132","fg2","fg3","fg4","fg5","fg6","fg7","mdd","mad","grains_roots_srv","dairy_srv","fruits_veg_srv","grains_roots_bi","dairy_bi","fruits_veg_bi"
"Glucose",-0.0962785478131167,-0.134863254397878,0.0541323218130197,0,-0.174682380212951,0.0236311788174588,0.0722856964804794,0.257321060595601,-0.155220608014502,-0.151041437158776,0.0965437784749017,0.0965437784749017,-0.0113290660162952,-0.0113290660162952,0.0502220869240715,0.188705953713709,0.101131987605205,0.117997951469324,0.117997951469324,0.177554813504108,0.155029331776698,0.169828060103185,0.170865473622843,-0.132027938246645,-0.105467864882167,-0.355095034761204,-0.332425454546496,0.231583718322525,0.231583718322525,0.358156197864794,0.234817136721643,-0.149361099701583,-0.242073861300975,0.0408475284248688,0.0430932151665092,0.318610721713977,0.290678444589774,-0.155837597952709,-0.233143066675257,0.174862691350263,0.255134363057438,0.195795956402121,0.198778256776149,0.240794061359664,-0.155471791682849,-0.164419548619901,0.392287381359506,0.169828060103185,0.179812613022356,0.277763193289108,-0.149361099701583,-0.0408475284248688,-0.355095034761204,0.130260149788333,-0.0519458659842363,0.0527488663877467,0.0450482961318593,-0.187936484015197,0.200502003813678,0.198748332044618,-0.192917951555693
"Galactose",0.539159867753453,0.289451406547826,0.431254163777057,-0.204388873275851,-0.454919958978227,-0.280198263121297,-0.00767018644326631,-0.0551888947261528,0.0735255511647639,0.0462262049667428,-0.117997951469324,-0.117997951469324,0.339871980488855,0.339871980488855,-0.0824098789981356,0.080873980163018,-0.0310619676215985,0.0750896054804791,0.0750896054804791,0.332346189379485,0.346322834729232,0.0694751154967574,0.0158025871558699,0.168449438452615,0.149764368132678,-0.200705889212855,-0.153670667999149,0.0617556582193399,0.0617556582193399,0.204110521363807,0.106226799945505,-0.259416646850118,-0.295310021670069,0.0326780227398951,-0.00904425503494636,-0.138881596644554,-0.0559845581135903,0.0599375376741188,0.111619585308361,0.112689289981281,0.112144345148958,-0.203787628092004,-0.214888390005066,-0.0779500775378263,0.0546252241047849,0.0806950213494655,-0.0854304479711697,0.0694751154967574,-0.403579420339067,0.400305778563715,-0.259416646850118,0.375797261508793,-0.200705889212855,0.0294135822102688,0.179812613022356,-0.104596042751771,0.232861590452746,-0.0386928055325405,0.0902638276941778,-0.314294237348859,0.0403112137579059
"Fructose",-0.11553425737574,-0.327983764947219,-0.00902205363550328,0,-0.0915002943972601,0.0994586976602936,0.363287921540159,0.308876118631966,-0.0980340682196852,-0.103740204169551,0.117997951469324,0.117997951469324,-0.0679743960977711,-0.0679743960977711,0.290603257519741,0.227217372838955,0.0763305715972615,0.0750896054804791,0.0750896054804791,0.132027938246645,0.123902584850772,0.239303175599942,0.216544827120279,0.0227634376287318,0.0189842156787901,-0.169828060103185,-0.170718127206662,0.108072401883845,0.108072401883845,0.250324224314103,0.132236565607219,-0.0628888840848771,-0.164730760387385,-0.138881596644554,-0.125555540485138,0.269593687604134,0.242691680492411,-0.0599375376741188,-0.135710143288582,0.0349725382700527,0.0815377861317586,0.0519458659842363,0.0366375610528589,0.30552846483217,-0.121856269156828,-0.125586790905653,0.295774064462347,0.239303175599942,0.147845926262826,0.114373079589633,-0.0628888840848771,0.0245085170549213,-0.169828060103185,0.121856269156828,-0.00399583584494125,0.201302297795974,0.0159125822157314,-0.0801493828888338,0.229578586964463,0.287341338545638,-0.0662255654594169
"Xylose",-0.11553425737574,-0.24082723999621,-0.0888672283097073,-0.141499989190973,-0.100392172536179,-0.0573900056995428,0.00929719568880764,0.225070759973734,0.171559619384449,0.141903698967676,0.311085508419128,0.311085508419128,0.0793034621140663,0.0793034621140663,0.136969327974741,0.103980831638166,0.0623647256898762,0.268177162430282,0.268177162430282,0.0682903128861955,0.0604402852930596,0.401411778425709,0.376546022073461,-0.00455268752574636,-0.00843742919057339,-0.015438914554835,-0.107398993007329,0.15438914554835,0.15438914554835,-0.034660277212722,-0.13928594134731,0.0628888840848771,0.0878898874018061,-0.0571865397948164,-0.0670338902590142,-0.0163390113699475,-0.0612244921242219,0.0119875075348238,-0.0677212352110677,0.136004315494649,0.00980366343519678,0.0759208810538838,0.0756136898324961,0.00783980664891931,0.0294135822102688,0.017350806638281,0.248440978424267,0.401411778425709,-0.171820941332474,0.0735255511647639,0.0628888840848771,-0.122542585274606,-0.015438914554835,0.0798368659993011,0.0759208810538838,0.119023083131326,-0.141420272931359,-0.166286938062466,0.146394275167868,-0.145076907471248,-0.0561477620199404
"Arabinose",-0.0481392739065583,-0.130964146702701,0.0811984827195295,-0.0786111051060964,-0.182426919237171,-0.0418090086770425,0.0476481279051392,0.302516904424837,0.0653560454797901,0.0387010088093661,0.0965437784749017,0.0965437784749017,0.124619726179247,0.124619726179247,0.0630058908683807,0.157896818413511,0.053455479162751,0.311085508419128,0.311085508419128,0.168449438452615,0.15684254033549,0.463167436645049,0.394817763472436,0.00455268752574636,0.0042187145952867,-0.239303175599942,-0.317082741259734,0.0463167436645049,0.0463167436645049,0.134789966938363,0.0211481272202722,0.0393055525530482,0.0351559549607225,-0.114373079589633,-0.128215615495416,0.0816950568497377,0.105074466213192,-0.0599375376741188,-0.0760190940709218,0.16709101617914,0.0944499282171398,0.251737658231299,0.286084785242537,0.0409909890500638,-0.0546252241047849,-0.0614163473069311,0.235049178472029,0.463167436645049,0.00399583584494125,0,0.0393055525530482,-0.0653560454797901,-0.239303175599942,0.0462213434732796,0.0199791792247063,0.0410268960793586,0.0273427469059047,-0.256570150971727,0.205305961029895,-0.00585932582678708,-0.136770189535752
"Fucose",0.163673531282298,-0.0334864543232825,0.4123078511425,0,-0.155177615263065,0.08595516690746,0.16990625121296,-0.0372468260703253,0.00816950568497377,-0.0381634947981249,0.0321812594916339,0.0321812594916339,0.0453162640651807,0.0453162640651807,0.0922260141696587,-0.258026508139153,-0.339032948924114,-0.203814643447015,-0.203814643447015,0.268608564019035,0.284975945156776,0.0849140300515924,0.099506915997118,0.05007956278321,0.048515217845797,-0.0463167436645049,-0.0416445074926379,0.169828060103185,0.169828060103185,-0.0500648448628207,-0.136125876360373,0.0235833315318289,-0.0783475567696101,-0.285932698974082,-0.279307876079226,-0.13071209095958,-0.0744622201510807,0.0279708509145888,0.0313177253742882,0.0582875637834211,0.0107601184044843,-0.323662703440242,-0.309470462510319,0.0430069393312145,0.0714329853677957,0.0625179858236473,-0.215885050954172,0.0849140300515924,-0.267721001611064,0.0408475284248688,0.0235833315318289,0.294102204659056,-0.0463167436645049,0.0546252241047849,0.0998958961235314,-0.181239694768155,0.32228582008763,-0.0292499184680514,-0.281663596782392,-0.0686712986899445,0.0446302723748244
"Rhamnose",-0.134789966938363,0.0658261122656308,-0.221942519433381,0.0943333261273156,0.201644849408382,-0.0277861113567922,-0.210116622567053,-0.0381552852427723,0.0980340682196852,0.149428895125052,0.139452124463747,0.139452124463747,0.101961594146657,0.101961594146657,0.0440584671652082,0.119385399288265,0.206838993697311,0.203814643447015,0.203814643447015,-0.396083814739934,-0.407669724301687,0.100352944606427,0.0851858213871109,-0.113817188143659,-0.158201797323251,-0.00771945727741749,-0.0258147239428048,0,0,0.0423625610377713,0.118137814127038,0.0471666630636578,0.0738275054175172,0.0898645625347114,0.0441572451706205,0.0571865397948164,-0.0777716521577954,0.251737658231299,0.167563214395764,0.143775990665772,0.138925084289008,-0.211779299781886,-0.1790303515278,-0.0855658897110622,0.0462213434732796,0.0820720694953608,0.277764402457614,0.100352944606427,0.203787628092004,0.0408475284248688,0.0471666630636578,-0.302271710344029,-0.00771945727741749,0.0462213434732796,0.0359625226044713,0.212798845598431,-0.148592140972252,-0.181487683093107,0.149681193263174,-0.0356247010268654,-0.197237010172611
"GlcA",0.134789966938363,-0.124542086969469,0.0814240340604171,-0.0235833315318289,-0.216560257899471,0.0475220409186259,0.324472129539387,0.100611853348501,0.00816950568497377,-0.0112877942360651,-0.0107270864972113,-0.0107270864972113,0.124619726179247,0.124619726179247,0.159797549303864,0.103980831638166,0.0221527210944734,0.0107270864972113,0.0107270864972113,0.223081688761572,0.236925918348794,0,-0.0254322887039781,0.132027938246645,0.130780152453888,0.239303175599942,0.22600060206531,0.015438914554835,0.015438914554835,0.0269579933876727,-0.0824047715824398,-0.110055547148535,-0.0396760063128153,-0.0326780227398951,0,-0.122542585274606,-0.166574744337973,0.00399583584494125,-0.0634384693479171,-0.0349725382700527,-0.0542788195070651,-0.171820941332474,-0.228400114648674,0.0456948730394154,0.222702836734892,0.232445727027129,0.123758703006884,0,-0.275712673300947,0.302271710344029,-0.110055547148535,0.187898630754397,0.239303175599942,0.331953284944462,0.363621061889654,0.126912870838895,-0.0750804935530989,0.197379371079686,0.100883101540552,-0.154686201827179,0.240427596341796
"GalA",0.028883564343935,-0.127523757559898,0.000902205363550328,-0.267277757360728,-0.293145143805642,-0.23137780578413,-0.0483454175817997,0.289571361217468,-0.187898630754397,-0.205330352294137,0.0321812594916339,0.0321812594916339,0.0339871980488856,0.0339871980488856,-0.0390362584728011,0.227217372838955,0.141584782647286,0.311085508419128,0.311085508419128,0.177554813504108,0.178298841614526,0.532642552141807,0.468151644492645,-0.0773956879376882,-0.0822649346080906,-0.200705889212855,-0.238907964036712,0,0,0.00385114191252467,-0.082890935426584,0.086472215616706,0.104463409026147,0.00816950568497377,-0.0250047050966164,0,0.0496414801007205,-0.00399583584494125,-0.00990389605853559,0.0816025892967895,0.0313239002441653,0.299687688370594,0.304793327056763,-0.0734701880241581,0.105048507893817,0.105206478346402,0.224889881956539,0.532642552141807,-0.171820941332474,-0.0490170341098426,0.086472215616706,-0.0980340682196852,-0.200705889212855,-0.0546252241047849,-0.0359625226044713,0.0374201359844699,-0.155764009013145,-0.180336111499876,0.271297162789504,-0.202498300573761,-0.119493955068078
"GlcNAc",0.221440659970168,0.00917437104747467,0.355243361897942,-0.0314444420424385,-0.174108710655601,-0.000259683283708338,0.0541561648873045,-0.149214419074413,0.147051102329528,0.113952970383134,0.117997951469324,0.117997951469324,0.0113290660162952,0.0113290660162952,0.0858341121975041,-0.134789966938363,-0.207561365037348,-0.117997951469324,-0.117997951469324,0.159344063401123,0.184040668717367,0.15438914554835,0.148890000859211,0.195765563607094,0.162420511918538,0.0540362009419224,0.0496811668333224,0.0617556582193399,0.0617556582193399,-0.00385114191252467,-0.0447270736612653,0.0786111051060964,-0.0246091684725057,-0.302271710344029,-0.283563996095671,-0.114373079589633,-0.145615008295447,0.0998958961235314,0.0361358369703325,-0.0971459396390351,-0.127447624657558,-0.299687688370594,-0.251785791916456,-0.0904937681760972,0.0714329853677957,0.0625179858236473,-0.0900483100236654,0.15438914554835,-0.259729329921182,0.0816950568497377,0.0786111051060964,0.367627755823819,0.0540362009419224,0.138664030419839,0.227762643161652,-0.0883656223247723,0.243395271637807,0.0918954131397836,-0.149175513556204,-0.156326813058679,0.177081403293658
