,glycan,mean_Chickpea,mean_Green_banana,mean_Lentil,mean_MDCF_2,mean_Milk_powder,mean_Peanut,mean_Rice,mean_RUSF,mean_Soybean,SD_Chickpea,SD_Green_banana,SD_Lentil,SD_MDCF_2,SD_Milk_powder,SD_Peanut,SD_Rice,SD_RUSF,SD_Soybean,log2MDCF2_RUSF,p,p.adj,p.format,p.signif,method,order,
6,2-Xylose,18041.14057,5947.848061,18808.36394,38502.27106,2270.016427,18573.18954,1885.281805,8905.130877,121961.1324,9340.048679,5264.228061,14890.31137,8245.800181,583.9967237,3274.135826,1070.444763,7702.097284,10870.07878,2.112234826,0.001954558,0.055,0.002,**,T-test,1,
26,4-Galactose,216245.1233,49913.09938,216629.1946,514753.0721,124183.8414,59997.61777,8725.576929,85195.46757,1762854.595,49542.8054,46312.18524,137457.2358,110615.4637,49289.2985,25469.83431,4762.284196,41341.41889,461809.3155,2.595031949,0.002256616,0.055,0.0023,**,T-test,2,
47,T-P-Xylose,188257.5894,68272.71742,104513.7076,261565.3142,20593.2467,137354.0147,23306.27252,79898.5624,223720.7519,50981.87224,42184.594,61556.23153,45983.4175,14689.08501,95409.10606,16596.64116,63082.75781,94650.01885,1.710929789,0.004392998,0.072,0.0044,**,T-test,3,
33,"4,6-Mannose",3767.782378,2372.869561,2664.13294,6613.269271,3821.169357,2878.492098,1502.668499,2072.639187,23422.89561,543.0559067,2220.337047,1456.248838,1522.73063,1107.580113,526.5822228,713.5716522,471.6741416,3045.594607,1.673894656,0.006573259,0.08,0.0066,**,T-test,4,
15,"2,X,X-Hexose(II)",21822.85943,23770.68414,12269.50023,12555.98778,11498.57219,15384.78257,27871.44365,19421.70587,18400.22368,13366.45209,33073.7649,13650.8311,4642.06699,18230.07431,21389.92246,42876.12459,5476.739446,29188.36744,-0.629294393,0.105630576,0.25,0.1056,ns,T-test,5,
5,2-Rhamnose,11702.48274,16010.24649,14635.14001,14282.63024,8091.776936,7643.427692,6816.773397,7472.984363,28341.07302,5173.349546,12047.33643,24299.17558,8652.950816,13774.66693,4775.50349,11496.37111,8776.528222,21373.34136,0.934505277,0.311485376,0.49,0.3115,ns,T-test,6,
43,T-GlcA,2567.262783,533.9768932,1575.219989,3501.799187,323.3182228,1922.885734,372.0229311,1437.436855,3165.538868,736.3079767,242.095437,432.8952578,962.3713417,132.4153345,2013.265282,194.6793505,315.1121297,1435.768475,1.284597773,0.018323738,0.12,0.0183,*,T-test,7,
18,3-Mannose,5135.329044,2642.377982,3962.15098,10443.41844,11726.78874,3915.355903,3166.150548,6169.998454,6961.96313,2631.256871,1512.201214,3553.724605,4264.528021,4083.992376,1333.699651,2340.837714,3349.159631,3696.923227,0.759251993,0.168809017,0.36,0.1688,ns,T-test,8,
3,2-Glucose,53724.66512,7630.777271,31942.37597,106225.6611,8375.714851,105295.7178,7100.98547,41566.32183,41751.68807,16896.83218,7143.906921,21512.8549,24349.14275,2630.854317,56969.49124,4730.60499,9727.801893,4616.31514,1.353645327,0.008205556,0.08,0.0082,**,T-test,9,
34,5-F-Arabinose,184083.729,22362.51226,114326.6771,136587.3102,8185.540867,145778.3054,9365.328389,47382.13381,179593.6673,147365.0417,22074.82352,28157.47558,57081.96684,4997.559232,22701.26192,2573.823914,12008.83879,31435.64767,1.527408379,0.049273877,0.17,0.0493,*,T-test,10,
