,monosaccharide,mean_Chickpea,mean_Green_banana,mean_Lentil,mean_MDCF_2,mean_Milk_powder,mean_Peanut,mean_Rice,mean_RUSF,mean_Soybean,SD_Chickpea,SD_Green_banana,SD_Lentil,SD_MDCF_2,SD_Milk_powder,SD_Peanut,SD_Rice,SD_RUSF,SD_Soybean,log2MDCF2_RUSF,p,p.adj,p.format,p.signif,method,LOD,order
10,Glucose,409.809267,652.4613428,470.6173939,243.8010617,198.8387293,59.00503291,769.3545926,364.2080454,25.93627325,28.67910446,63.83578728,51.51630169,31.51418084,NA,7.497212402,98.90509212,36.65014973,1.671458844,-0.579058384,0.002659991,0.011,0.00266,**,T-test,210.6124711,3
6,Galactose,38.16507612,10.28083199,41.71297281,14.28722061,218.665535,7.900995977,5.131126431,36.85021716,51.22964978,4.489632148,1.589640492,4.643847251,2.402676737,NA,1.014902686,2.950994134,4.042049167,11.42192176,-1.366947834,0.000236347,0.0033,0.00024,***,T-test,220.5666474,1
3,Fructose,2.795642685,4.580662137,5.601735263,21.44093092,1.945973698,2.30492174,4.544678815,14.45615077,1.693120342,0.301973748,0.774774477,1.138363026,14.90231348,NA,0.285035141,0.936503186,6.382313221,0.325363176,0.568684088,0.43671923,0.52,0.43672,ns,T-test,1.650346305,11
2,Arabinose,24.55400736,7.003321596,18.60274157,8.224032905,0.401335841,11.17354241,2.16693986,4.45382221,16.20610781,4.885355676,1.138663572,2.36252309,2.249721291,NA,0.718788891,0.305243129,0.484742889,6.366740401,0.884802068,0.040948809,0.082,0.04095,*,T-test,0.642026108,5
14,Xylose,1.778161358,4.272978284,2.010271919,1.583559516,0.065946049,4.044143727,0.570950129,0.561594781,6.511766894,0.458992868,0.813872332,0.272702244,0.53023562,NA,0.46146735,0.10117619,0.081967485,4.41476928,1.495569658,0.029290336,0.068,0.02929,*,T-test,0.167999207,7
13,Ribose,0.853797626,0.388359475,1.232261747,0.376637759,1.001964744,0.386186767,0.308106056,0.518049286,1.374214252,0.145957346,0.059656527,0.132193788,0.069563852,NA,0.050588902,0.062597883,0.090149803,0.143015683,-0.459911719,0.050118033,0.088,0.05012,ns,T-test,1.39466584,8
4,Fucose,0.728826726,0.488336439,0.477251417,1.235656686,0.147279679,1.035453169,0.23598055,0.463106739,2.584561318,0.112865645,0.090758065,0.071245182,0.368611643,NA,0.270673734,0.093787122,0.250006506,0.963901853,1.415861305,0.016372572,0.046,0.01637,*,T-test,0.233850306,6
11,Mannose,0.920026197,7.308275844,1.08663039,1.387963546,0.720877241,0.868009156,0.427759731,0.410221634,7.437678947,0.11782055,0.255457083,0.065108449,0.239636484,NA,0.074705627,0.042227615,0.043732008,3.064325134,1.758494195,0.003180286,0.011,0.00318,**,T-test,0.89911549,2
12,Rhamnose,1.203487335,0.379880085,1.294392983,0.579623153,0.014247229,1.142730044,0.049069465,0.359626414,2.603863851,0.097957245,0.093250279,0.164866842,0.185749543,NA,0.107645737,0.02258073,0.061846427,0.750753212,0.688616237,0.094180874,0.15,0.09418,ns,T-test,0.003432133,9
5,GalA,1.003152814,2.292760205,0.656119039,0.635536224,0.00179578,1.673879183,0.046395896,0.225704884,3.140163546,0.113012693,1.011766674,0.268972773,0.122195883,NA,0.315281611,0.008066856,0.072230216,0.962660918,1.493536719,0.002391409,0.011,0.00239,**,T-test,0.000181614,4
8,GlcA,0.299999285,0.106802205,0.424675763,0.144456142,0.092725576,0.063291082,0.042512865,0.115684226,0.590459607,0.015592627,0.064726603,0.282898721,0.054571786,NA,0.039277196,0.036292049,0.045847372,0.051902086,0.320439384,0.451152425,0.52,0.45115,ns,T-test,0.024636218,13
9,GlcNAc,0.035093968,0.029267294,0.077603818,0.024993336,0.101915058,0.031953168,0.031413229,0.080542146,0.075589307,0.035135887,0.016362537,0.059361988,0.017713875,NA,0.019426821,0.022294227,0.08576182,0.035948722,-1.68820045,0.287687364,0.4,0.28769,ns,T-test,0.073353553,14
7,GalNAc,0.022743277,0.01626275,0.028214073,0.019487967,0.011342871,0.005179754,0.019261327,0.033163038,0.01117904,0.01943179,0.018530355,0.02439502,0.020350205,NA,0.003749994,0.01236048,0.038801519,0.01048896,-0.766992571,0.562525121,0.56,0.56253,ns,T-test,0.005831927,12
1,Allose,0.002597115,0.010078269,0.009761481,0.008207266,0.013757291,0.000825073,0.002299551,0.003892183,0.006996898,0.002103654,0.007216018,0.014353132,0.010536333,NA,0.000654643,0.00136549,0.002672266,0.005268722,1.076322043,0.479146974,0.52,0.47915,ns,T-test,0.002962009,10
