genome_ID	OTU	NCBI_ID	novelty_category
1108453.0	46205	1855343	new_strain
197644.1	171551	29524	new_strain
197644.0	171551	837	new_strain
196122.0	186803	46206	new_strain
3946926.0	1578	1423759	new_strain
denovo9503.0	195950	1307833	new_strain
denovo6551.1	838	1739520	new_strain
denovo2183.0	1578	1423735	new_strain
272953.0	459786	1226322	new_strain
166664.1	186803	1410649	new_strain
172640.0	186803	1855375	new_strain
172640.1	186803	1121114	new_strain
denovo5848.0	171551	837	new_strain
4476780.0	239759	1780376	new_strain
denovo5982.0	186803	411490	new_strain
4424327.0	241189	1121950	new_strain
3600504.0	816	671267	new_strain
4443094.0	541000	1121303	new_strain
denovo2199.0	838	575615	new_strain
denovo12305.0	838	1122988	new_strain
4464113.0	186803	999403	new_strain
4464113.1	186803	1408431	new_strain
313069.1	1730	42322	new_strain
denovo10247.0	1471398	655355	new_strain
denovo10247.1	1471398	1168034	new_strain
303652.0	1301	1313	new_strain
denovo5741.0	61170	1211819	new_strain
261373.0	166484	1121266	new_strain
denovo6551.0	838	1408309	new_strain
denovo11208.0	838	28131	new_strain
denovo10394.0	838	915438	new_strain
2875735.0	816	997889	new_strain
172161.0	186803	1806509	new_strain
172161.1	186803	1410625	new_strain
4474255.0	577310	762966	new_strain
4378740.0	838	999422	new_strain
4378740.1	838	873513	new_strain
1141335.0	209	1163743	new_strain
denovo10243.0	816	1917883	new_strain
1992.0	816	1379690	new_strain
192598.0	1392389	1297617	new_strain
192598.1	1392389	1673721	new_strain
260201.0	186803	585501	new_strain
184470.0	186803	1410661	new_strain
14094.0	841	536231	new_strain
denovo1277.0	82373	1120997	new_strain
denovo12694.0	1263	1410670	new_strain
denovo10559.0	186828	137733	new_strain
179927.0	1263	411473	new_strain
316381.0	1392389	1297617	new_strain
4421276.0	1185408	1473580	new_strain
denovo9909.0	838	1410666	new_strain
denovo12065.0	41295	528244	new_strain
110016.0	541000	748224	new_strain
denovo9569.0	171551	1686296	new_strain
146564.0	541000	572545	new_strain
146564.1	541000	1796620	new_strain
1109178.0	189330	1280698	new_strain
191948.1	186803	610130	new_strain
denovo11165.0	838	28128	new_strain
161277.0	186803	397290	new_strain
1033413.0	1350	1157393	new_strain
denovo8373.1	171551	997829	new_strain
174573.0	171551	1739394	new_strain
3588390.0	816	1235786	new_strain
317389.0	1432051	1432052	new_strain
denovo3492.0	186803	1408323	new_strain
197696.0	1017280	1871015	new_strain
denovo3498.0	171551	837	new_strain
661259.1	1301	1313	new_strain
661259.0	1301	197614	new_strain
denovo6811.0	46123	1581061	new_strain
262095.0	128827	1574263	new_strain
denovo5713.0	816	246787	new_strain
335965.0	186803	1408312	new_strain
304080.0	541000	853	new_strain
denovo10506.0	1485	1415775	new_strain
175485.0	816	1121094	new_strain
denovo12921.0	816	763034	new_strain
1135084.1	816	1073388	new_strain
denovo1235.0	140625	140626	new_strain
832848.0	186803	28052	new_strain
denovo8389.0	816	93974	new_strain
denovo13122.0	1578	1590	new_strain
denovo5454.0	838	28132	new_strain
676211.1	544	1686376	new_strain
676211.0	544	57706	new_strain
denovo4399.0	816	457424	new_strain
4094866.0	186803	991789	new_strain
denovo9776.0	186803	1520807	new_strain
denovo9776.1	186803	511680	new_strain
319702.0	186803	1123012	new_strain
denovo2609.0	195950	712710	new_strain
296045.0	816	1739517	new_strain
296045.1	816	997880	new_strain
4460109.1	186804	1215078	new_strain
4460109.0	186804	39498	new_strain
denovo6432.0	397864	880074	new_strain
291090.0	375288	999418	new_strain
268099.0	171551	1227270	new_strain
191616.0	580596	1121128	new_strain
195123.1	375288	411477	new_strain
denovo1779.0	189330	1235798	new_strain
denovo8002.0	171551	242619	new_strain
denovo4581.0	28138	880526	new_strain
denovo13353.0	2129	273119	new_strain
194490.0	239759	1203611	new_strain
denovo5426.0	186803	1526	new_strain
denovo5712.0	283168	709991	new_strain
3016478.0	541000	665956	new_strain
556126.0	816	556260	new_strain
179513.0	195950	28112	new_strain
827592.0	541000	720554	new_strain
denovo10697.0	838	1761883	new_strain
denovo1402.0	171551	111105	new_strain
denovo1402.1	171551	837	new_strain
271880.0	946234	411475	new_strain
267451.0	541000	1673717	new_strain
275984.0	186803	575593	new_strain
160140.0	186803	1520826	new_strain
160140.1	186803	1235800	new_strain
3327894.1	816	246787	new_strain
denovo9225.0	186803	658081	new_strain
3141094.0	816	28116	new_strain
4390319.0	816	1739319	new_strain
183958.0	171551	837	new_strain
339549.0	171551	837	new_strain
169845.0	186803	397288	new_strain
denovo5886.0	171551	837	new_strain
denovo5886.1	171551	837	new_strain
827522.0	541000	1265	new_strain
denovo4573.0	171551	1720195	new_strain
denovo10472.0	816	1841855	new_strain
995147.0	171551	837	new_strain
437137.0	40544	1852381	new_strain
263171.0	1432051	1432052	new_strain
4365130.0	375288	658662	new_strain
4444771.0	128827	457422	new_strain
133719.0	541000	1121336	new_strain
denovo1065.0	186803	1280681	new_strain
136604.0	830	1280700	new_strain
4440624.0	186803	1280688	new_strain
273954.0	186803	1855344	new_strain
273954.1	186803	1392836	new_strain
1571092.0	69657	1123059	new_strain
264359.1	186803	877406	new_strain
264359.0	186803	1805476	new_strain
denovo3780.1	838	857291	new_strain
denovo3780.0	838	1739496	new_strain
denovo902.1	541000	1264	new_strain
174959.0	186803	1792306	new_strain
263992.1	186803	1408311	new_strain
263992.0	186803	999408	new_strain
denovo2950.0	84107	742742	new_strain
313069.0	1730	42322	new_strain
185483.0	186803	658085	new_strain
575041.0	239759	445970	new_strain
271230.0	1213720	796942	new_strain
denovo2874.0	239934	239935	new_strain
132338.0	186803	1297793	new_strain
162639.0	171551	1588749	new_strain
