target_id	length	eff_length	est_counts	tpm
GCF_000006625.1_ASM662v1	751719	751451	0	0
GCF_000007585.1_ASM758v1	2343476	2.34321e+06	271.082	19.5167
GCF_000009925.1_ASM992v1	5311000	5.31073e+06	54510.7	1731.59
GCF_000010505.1_ASM1050v1	2354886	2.35462e+06	111.444	7.98459
GCF_000011045.1_ASM1104v1	3005051	3.00478e+06	24886	1397.2
GCF_000011065.1_ASM1106v1	6293409	6.29314e+06	6.64686	0.178183
GCF_000012845.1_ASM1284v1	4811379	4.81111e+06	0	0
GCF_000015325.1_ASM1532v1	5352772	5.3525e+06	12304.5	387.814
GCF_000018685.1_ASM1868v1	4847594	4.84733e+06	0	0
GCF_000020225.1_ASM2022v1	2664102	2.66383e+06	2.01725	0.127753
GCF_000020605.1_ASM2060v1	3449685	3.44942e+06	0	0
GCF_000022065.1_ASM2206v1	4068724	4.06846e+06	8783.88	364.228
GCF_000026525.1_ASM2652v1	3033116	3.03285e+06	73.9196	4.11174
GCF_000055945.1_ASM5594v1	1719044	1.71878e+06	0	0
GCF_000091345.1_ASM9134v1	1576758	1.57649e+06	0	0
GCF_000091405.1_ASM9140v1	1785136	1.78487e+06	6.32209	0.597545
GCF_000142965.1_ASM14296v1	3323183	3.32291e+06	22119.4	1122.97
GCF_000144405.1_ASM14440v1	3168292	3.16802e+06	0.681327	0.0362814
GCF_000144625.1_ASM14462v1	4662871	4.6626e+06	0	0
GCF_000145035.1_ASM14503v1	4404997	4.40473e+06	0	0
GCF_000153905.1_ASM15390v1	3625318	3.62505e+06	2.00908	0.0934972
GCF_000153925.1_ASM15392v1	2740036	2.73977e+06	0	0
GCF_000154065.1_ASM15406v1	2914343	2.91407e+06	1.00555	0.0582127
GCF_000154105.1_ASM15410v1	4433047	4.43278e+06	2.02453	0.0770487
GCF_000154125.1_ASM15412v1	6463699	6.46343e+06	104.426	2.72561
GCF_000154205.1_ASM15420v1	4717977	4.71771e+06	1.64704	0.0588966
GCF_000154305.1_ASM15430v1	3606016	3.60575e+06	13.5034	0.631778
GCF_000154345.1_ASM15434v1	3270319	3.27005e+06	14983.6	772.995
GCF_000154365.1_ASM15436v1	6557758	6.55749e+06	4.47351	0.115087
GCF_000154385.1_ASM15438v1	3127263	3.12699e+06	13518.1	729.296
GCF_000154425.1_ASM15442v1	3102397	3.10213e+06	0	0
GCF_000154465.1_ASM15446v1	2550068	2.5498e+06	0	0
GCF_000154505.1_ASM15450v1	3620575	3.62031e+06	8177.6	381.063
GCF_000154565.1_ASM15456v1	3719238	3.71897e+06	0	0
GCF_000154825.1_ASM15482v1	2284653	2.28438e+06	5255	388.079
GCF_000155205.1_ASM15520v1	2730345	2.73008e+06	1.00154	0.0618887
GCF_000155815.1_ASM15581v1	4158670	4.1584e+06	1.4763	0.0598915
GCF_000155875.1_ASM15587v1	3239365	3.2391e+06	0	0
GCF_000155915.2_Lacto_jensenii_1153_V2	1737966	1.7377e+06	4255.3	413.116
GCF_000156015.1_ASM15601v1	2483291	2.48302e+06	0	0
GCF_000156035.2_ASM15603v2	3864166	3.8639e+06	5.12144	0.223606
GCF_000156075.1_ASM15607v1	5489043	5.48877e+06	0	0
GCF_000156175.1_ASM15617v1	1804837	1.80457e+06	0	0
GCF_000156495.1_ASM15649v1	4617498	4.61723e+06	0	0
GCF_000156515.1_ASM15651v1	3887119	3.88685e+06	0	0
GCF_000156535.1_ASM15653v1	4384755	4.38449e+06	5.04552	0.194135
GCF_000156655.1_ASM15665v1	2417520	2.41725e+06	0	0
GCF_000156675.1_ASM15667v1	3053841	3.05357e+06	1.01551	0.0561037
GCF_000157015.1_ASM15701v1	5487279	5.48701e+06	5.4955	0.168962
GCF_000157035.2_Bacteroides_sp_2_1_7_V2	5163602	5.16333e+06	0	0
GCF_000157075.2_Bact_sp_9_1_42FAA_V2	5614858	5.61459e+06	25.9295	0.7791
GCF_000157095.2_Bacteroides_sp_D1_V2	5965949	5.96568e+06	4.84652	0.137052
GCF_000157915.1_ASM15791v1	3858283	3.85801e+06	0	0
GCF_000157935.1_ASM15793v1	3508593	3.50832e+06	8027.99	386.032
GCF_000157955.1_ASM15795v1	3238371	3.2381e+06	7362.67	383.584
GCF_000157975.1_ASM15797v1	3567748	3.56748e+06	317216	15000.6
GCF_000157995.1_ASM15799v1	3806625	3.80636e+06	7.06725	0.313226
GCF_000158075.1_ASM15807v1	6230781	6.23051e+06	69715.8	1887.66
GCF_000158335.2_Bact_dorei_5_1_36_D4_V2	5535188	5.53492e+06	1.006	0.0306622
