Genome	sample_6_nodup RPKM
GCF_000273785.1_Bact_unif_CL03T00C23_V1	0
GCF_000467995.1_ASM46799v1	0.115038075
GCF_000160635.1_ASM16063v1	0
GCF_000091405.1_ASM9140v1	0
GCF_001688705.2_ASM168870v2	0.090258844
GCF_000371725.1_Clos_bolt_90A5_V1	0
GCF_000760655.1_Clos_orbi_1_3_50AFAA_V1	0
GCF_900111595.1_IMG-taxon_2606217760_annotated_assembly	0
GCF_002763845.1_ASM276384v1	0
GCF_001050435.1_ASM105043v1	0
GCF_000519985.1_ASM51998v1	0
GCF_900129165.1_IMG-taxon_2582581271_annotated_assembly	0
GCF_000224595.1_Prevotella_sp_C561_V1	0
GCF_000403275.1_Lach_bact_28-4_V1	1.8054584
GCF_000224615.1_Prev_oulo_F0390_V1	0.28231022
GCF_000701645.1_ASM70164v1	0.11807579
GCF_900104155.1_IMG-taxon_2593339137_annotated_assembly	0
GCF_000382385.1_ASM38238v1	1.3243445
GCF_001547875.1_ASM154787v1	0
GCF_900100685.1_IMG-taxon_2654588145_annotated_assembly	0.09290335
GCF_001436945.1_ASM143694v1	0.62844115
GCF_000262545.1_ASM26254v1	0
GCF_900111525.1_IMG-taxon_2606217815_annotated_assembly	0
GCF_900234395.1_JOUY54_assembly_v1	0.4216205
GCF_000466565.1_ASM46656v1	0
GCF_000410995.1_ASM41099v1	0
GCF_000503975.1_SJD2	0.076948926
GCF_900167225.1_IMG-taxon_2585428092_annotated_assembly	0
GCF_900157225.1_7BTORR	0.11773828
GCF_900103315.1_IMG-taxon_2623620459_annotated_assembly	0
GCF_900155865.1_PRJEB18812	0.043055773
GCF_002753935.1_ASM275393v1	0.057015978
GCF_000185825.1_ASM18582v1	0
GCF_000701665.1_ASM70166v1	0
GCF_000439065.1_ASM43906v1	0
GCF_002234575.2_ASM223457v2	0
GCF_900120195.1_PRJEB18016	0
GCF_000055945.1_ASM5594v1	0
GCF_000531655.1_E7	0
GCF_002549975.1_ASM254997v1	0
GCF_001073445.1_ASM107344v1	0.04163348
GCF_001553165.1_ASM155316v1	0.30175054
GCF_900157215.1_Strain_3-3	0.052642692
GCF_001717125.1_ASM171712v1	0
GCF_900103005.1_IMG-taxon_2599185234_annotated_assembly	0
GCF_900115795.1_IMG-taxon_2593339157_annotated_assembly	0
GCF_000379965.1_ASM37996v1	0.048528522
