sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa_pooled	111	185222.0	1.0	1.0	4150294	4150294	4150294	1.0	1.0	2	2	2
gsa_pooled	338	1992.0	0.37254435377852135	1.0	17381270	6475294	6475294	0.000784313725490196	1.0	1275	1	1
gsa_pooled	243	133892.0	0.276743472969737	1.0	6819449	1887238	1887238	0.005405405405405406	1.0	185	1	1
gsa_pooled	159	4440624.0	0.5313219645198012	1.0	6155377	3270487	3270487	0.14049586776859505	1.0	121	17	17
gsa_pooled	264	133719.0	0.336088501367804	1.0	9031996	3035550	3035550	0.02040816326530612	1.0	49	1	1
gsa_pooled	113	1107652.0	1.0	1.0	3488169	3488169	3488169	1.0	1.0	22	22	22
gsa_pooled	18	190114.0	0.5396651301486896	1.0	6017502	3247436	3247436	0.7368421052631579	1.0	76	56	56
gsa_pooled	142	827592.0	0.511635146638982	1.0	9572591	4897674	4897674	0.006944444444444444	1.0	144	1	1
gsa_pooled	253	4402042.0	0.9936152497638137	1.0	6670582	6627992	6627992	0.9921259842519685	1.0	127	126	126
gsa_pooled	168	263518.0	0.5293301209476172	1.0	8030584	4250830	4250830	0.36496350364963503	1.0	137	50	50
gsa_pooled	236	denovo12370.0	0.317326504028999	1.0	8625964	2737247	2737247	0.0015987210231814548	1.0	1251	2	2
gsa_pooled	143	190026.0	0.4090497526343355	1.0	12339829	5047604	5047604	0.40350877192982454	1.0	114	46	46
gsa_pooled	181	denovo7143.0	1.0	1.0	4623705	4623705	4623705	1.0	1.0	22	22	22
gsa_pooled	42	187233.0	0.26500022289721803	1.0	11844024	3138669	3138669	0.01953125	1.0	256	5	5
gsa_pooled	30	4471135.0	0.6017040996697662	1.0	7834753	4714203	4714203	0.006578947368421052	1.0	152	1	1
gsa_pooled	239	denovo389.0	0.24487730740265226	1.0	8078564	1978257	1978257	0.005928853754940711	1.0	506	3	3
gsa_pooled	196	276629.0	0.18138014034466848	1.0	13461573	2441662	2441662	0.0013623978201634877	1.0	734	1	1
gsa_pooled	214	351309.0	0.6047429940406139	1.0	6975383	4218314	4218314	0.7333333333333333	1.0	75	55	55
gsa_pooled	194	2645488.0	1.0	1.0	3138470	3138470	3138470	1.0	1.0	139	139	139
gsa_pooled	324	191948.0	0.6555501080011172	1.0	4228197	2771795	2771795	0.41025641025641024	1.0	39	16	16
gsa_pooled	124	174805.0	0.5514614675038452	1.0	7088731	3909162	3909162	0.08814589665653495	1.0	987	87	87
gsa_pooled	310	192598.0	1.0	1.0	3376141	3376141	3376141	1.0	1.0	10	10	10
gsa_pooled	152	4449518.0	0.921902523071393	1.0	4050579	3734239	3734239	0.01020408163265306	1.0	98	1	1
gsa_pooled	305	267042.0	0.5357009481006983	1.0	5612484	3006613	3006613	0.21379310344827587	1.0	290	62	62
gsa_pooled	70	184966.0	0.2939690992166473	1.0	17446548	5128746	5128746	0.016129032258064516	1.0	62	1	1
gsa_pooled	217	381666.0	0.14971268686878517	1.0	25075951	3754188	3754188	0.04240282685512368	1.0	566	24	24
gsa_pooled	47	573135.0	0.3644136265517307	1.0	21706005	7909964	7909964	0.0016722408026755853	1.0	598	1	1
gsa_pooled	76	denovo4615.0	0.3475184595976965	1.0	8112582	2819272	2819272	0.17216117216117216	1.0	273	47	47
gsa_pooled	261	259846.0	1.0	1.0	3061211	3061211	3061211	1.0	1.0	37	37	37
gsa_pooled	32	273737.0	1.0	1.0	2912982	2912982	2912982	1.0	1.0	75	75	75
gsa_pooled	125	405780.0	0.7331117360541015	1.0	4103841	3008574	3008574	0.012345679012345678	1.0	81	1	1
gsa_pooled	147	463794.0	0.20165973882796778	1.0	11486988	2316463	2316463	0.0026690391459074734	1.0	1124	3	3
gsa_pooled	166	229455.0	1.0	1.0	4068710	4068710	4068710	1.0	1.0	1	1	1
gsa_pooled	178	637934.0	1.0	1.0	5817203	5817203	5817203	1.0	1.0	2	2	2
gsa_pooled	336	192673.0	0.7360459580940956	1.0	9816421	7225337	7225337	0.038461538461538464	1.0	26	1	1
gsa_pooled	205	10512.0	0.5000091625568478	1.0	3437905	1718984	1718984	0.36363636363636365	1.0	11	4	4
gsa_pooled	170	192316.1	0.05371602437042847	1.0	46097343	2476166	2476166	0.0005243838489774515	1.0	1907	1	1
gsa_pooled	7	197875.0	1.0	1.0	2218221	2218221	2218221	1.0	1.0	9	9	9
gsa_pooled	92	181719.1	0.716101632582853	1.0	6865869	4916660	4916660	0.22245762711864406	1.0	472	105	105
gsa_pooled	184	319219.0	0.3601305576142954	1.0	16779412	6042779	6042779	0.013300492610837438	1.0	2030	27	27
gsa_pooled	218	132929.0	1.0	1.0	3500613	3500613	3500613	1.0	1.0	10	10	10
gsa_pooled	201	184470.0	0.5000682241969391	1.0	5152131	2576417	2576417	0.20333333333333334	1.0	300	61	61
gsa_pooled	28	1571092.0	0.5284636748193041	1.0	5239327	2768794	2768794	0.6	1.0	10	6	6
gsa_pooled	138	730939.1	0.935448066801228	1.0	3465086	3241408	3241408	0.8529411764705882	1.0	34	29	29
gsa_pooled	276	192222.0	1.0	1.0	3553494	3553494	3553494	1.0	1.0	13	13	13
gsa_pooled	263	727945.0	1.0	1.0	2283941	2283941	2283941	1.0	1.0	25	25	25
gsa_pooled	215	4405128.0	0.5109234892497923	1.0	7404136	3782947	3782947	0.05263157894736842	1.0	19	1	1
gsa_pooled	67	3997242.0	0.4221220153303436	1.0	16783055	7084497	7084497	0.1595744680851064	1.0	94	15	15
gsa_pooled	38	4355314.0	0.5211810001585475	1.0	10268212	5351597	5351597	0.975609756097561	1.0	41	40	40
gsa_pooled	75	1111580.0	1.0	1.0	3177713	3177713	3177713	1.0	1.0	15	15	15
gsa_pooled	173	245324.1	0.5860885556617256	1.0	5135369	3009781	3009781	0.8571428571428571	1.0	35	30	30
gsa_pooled	267	136633.0	0.5057436979068455	1.0	7355453	3719974	3719974	0.5423728813559322	1.0	118	64	64
gsa_pooled	208	4365109.0	0.2656409793810396	1.0	24898297	6614008	6614008	0.0014609203798392988	1.0	1369	2	2
gsa_pooled	323	191318.0	0.28292478510363117	1.0	17133840	4847588	4847588	0.008547008547008548	1.0	117	1	1
gsa_pooled	31	269125.0	0.5065782653001879	1.0	5932035	3005040	3005040	0.024390243902439025	1.0	41	1	1
gsa_pooled	283	2883968.1	0.3384365292785433	1.0	11236488	3802838	3802838	0.015384615384615385	1.0	65	1	1
gsa_pooled	249	260456.0	0.6522025505878138	1.0	6923110	4515270	4515270	0.8939393939393939	1.0	66	59	59
gsa_pooled	308	174824.0	0.5339822342166611	1.0	7659105	4089826	4089826	0.25	1.0	300	75	75
gsa_pooled	8	827522.0	1.0	0.9999173483320809	3556803	3556803	3557097	1.0	0.9814814814814815	53	53	54
gsa_pooled	155	270030.0	0.5462816510959632	0.9999092618617431	6656839	3636509	3636839	0.40601503759398494	0.9818181818181818	133	54	55
gsa_pooled	84	193418.1	0.2330883540600452	0.9997995743554674	21037426	4903579	4904562	0.03669724770642202	0.96	654	24	25
gsa_pooled	100	1684221.0	1.0	0.9997861489946387	4586325	4586325	4587306	1.0	0.9444444444444444	34	34	36
gsa_pooled	340	228140.0	0.4054070909060196	0.9997750498031629	10951915	4439984	4440983	0.11956521739130435	0.9705882352941176	276	33	34
gsa_pooled	273	170926.0	1.0	0.9997642862999098	4194779	4194779	4195768	1.0	0.975	39	39	40
gsa_pooled	333	173916.0	0.9989283236506676	0.9997111819746657	7255922	7248146	7250240	0.9565217391304348	0.9166666666666666	23	22	24
gsa_pooled	326	271602.0	0.5860786157416749	0.9996716573877954	7880610	4618657	4620174	0.6041666666666666	0.9886363636363636	144	87	88
gsa_pooled	315	164237.0	0.22933380042023796	0.9996705471905487	12834157	2943306	2944276	0.1134020618556701	0.9166666666666666	97	11	12
gsa_pooled	224	174959.0	1.0	0.9996480949974592	2840676	2840676	2841676	1.0	0.9895833333333334	95	95	96
gsa_pooled	17	318732.1	0.5231127426390791	0.9996456214167901	13087391	6846181	6848608	0.0273972602739726	0.9032258064516129	1022	28	31
gsa_pooled	227	denovo8803.0	0.5850808014306592	0.9996417646906868	4497507	2631405	2632348	0.14634146341463414	0.8571428571428571	41	6	7
gsa_pooled	24	4443094.0	0.6578091843769549	0.9996268752418818	9302079	6118993	6121277	0.5380116959064327	0.9787234042553191	171	92	94
gsa_pooled	294	193680.1	0.5098294559926465	0.9996261904624838	5108828	2604631	2605605	0.13202247191011235	0.9791666666666666	356	47	48
gsa_pooled	190	129394.0	1.0	0.99959416608008	3923658	3923658	3925251	1.0	0.9830508474576272	58	58	59
gsa_pooled	21	167509.0	0.5919929225054726	0.9995717541015211	7479483	4427801	4429698	0.4819277108433735	0.9302325581395349	83	40	43
gsa_pooled	55	229459.0	1.0	0.9995588508797955	2456135	2456135	2457219	1.0	0.9873417721518988	156	156	158
gsa_pooled	83	340139.0	0.9672593753243804	0.9995557746688319	4364089	4221206	4223082	0.6530612244897959	0.9142857142857143	49	32	35
gsa_pooled	106	4329571.0	0.19831643776505165	0.9995031073613575	32518192	6448892	6452098	0.00628420839245895	0.9393939393939394	4933	31	33
gsa_pooled	229	denovo4689.0	1.0	0.9994662670303528	3439959	3439959	3441796	1.0	0.9705882352941176	165	165	170
gsa_pooled	103	181348.0	1.0	0.9994561370818275	5213551	5213551	5216388	1.0	0.9166666666666666	44	44	48
