sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa_pooled	115.fasta	1571092.0	1.0	1.0	2768794	2768794	2768794	1.0	1.0	6	6	6
gsa_pooled	390.fasta	192598.0	0.9575917459946484	1.0	3525658	3376141	3376141	0.1724137931034483	1.0	58	10	10
gsa_pooled	125.fasta	2883968.1	0.9023770568630918	1.0	4214245	3802838	3802838	0.3333333333333333	1.0	3	1	1
gsa_pooled	571.fasta	344525.0	1.0	1.0	6217309	6217309	6217309	1.0	1.0	20	20	20
gsa_pooled	122.fasta	136604.0	0.99383943704597	1.0	4341811	4315063	4315063	0.8607594936708861	1.0	79	68	68
gsa_pooled	119.fasta	335965.0	0.9969896807321097	1.0	2815316	2806841	2806841	0.7692307692307693	1.0	13	10	10
gsa_pooled	350.fasta	192673.0	0.9820042689709959	1.0	7357745	7225337	7225337	0.029411764705882353	1.0	34	1	1
gsa_pooled	664.fasta	573135.0	1.0	1.0	7909964	7909964	7909964	1.0	1.0	1	1	1
gsa_pooled	726.fasta	denovo10506.0	0.9974968262158603	1.0	3346951	3338573	3338573	0.3333333333333333	1.0	6	2	2
gsa_pooled	358.fasta	166664.0	0.9817493777388455	1.0	3513798	3449669	3449669	0.2	1.0	5	1	1
gsa_pooled	359.fasta	133892.0	1.0	1.0	1887238	1887238	1887238	1.0	1.0	1	1	1
gsa_pooled	367.fasta	4402042.0	0.9936152497638137	1.0	6670582	6627992	6627992	0.9921259842519685	1.0	127	126	126
gsa_pooled	654.fasta	denovo7143.0	0.9891695708261933	1.0	4674330	4623705	4623705	0.7333333333333333	1.0	30	22	22
gsa_pooled	100.fasta	denovo8298.0	0.8220854412435352	1.0	4324188	3554852	3554852	0.0017793594306049821	1.0	562	1	1
gsa_pooled	099.fasta	denovo8255.1	0.7993876675382282	1.0	2232774	1784852	1784852	0.09090909090909091	1.0	110	10	10
gsa_pooled	097.fasta	4378740.0	1.0	1.0	3134147	3134147	3134147	1.0	1.0	54	54	54
gsa_pooled	093.fasta	193680.0	1.0	1.0	5128335	5128335	5128335	1.0	1.0	1	1	1
gsa_pooled	719.fasta	344828.0	1.0	1.0	2115674	2115674	2115674	1.0	1.0	1	1	1
gsa_pooled	092.fasta	47365.0	1.0	1.0	2354088	2354088	2354088	1.0	1.0	3	3	3
gsa_pooled	002.fasta	190114.0	1.0	1.0	3247436	3247436	3247436	1.0	1.0	56	56	56
gsa_pooled	393.fasta	194490.0	0.951645662384712	1.0	4060918	3864555	3864555	0.38095238095238093	1.0	84	32	32
gsa_pooled	083.fasta	174959.0	0.9958824920928357	1.0	2853425	2841676	2841676	0.9696969696969697	1.0	99	96	96
gsa_pooled	082.fasta	136633.0	1.0	1.0	3719974	3719974	3719974	1.0	1.0	64	64	64
gsa_pooled	079.fasta	185222.0	0.9960310374884325	1.0	4166832	4150294	4150294	0.3333333333333333	1.0	6	2	2
gsa_pooled	225.fasta	276629.0	0.8974164647628905	1.0	2720768	2441662	2441662	0.03571428571428571	1.0	28	1	1
gsa_pooled	736.fasta	1871.0	0.9986093334539985	1.0	2320470	2317243	2317243	0.9512195121951219	1.0	41	39	39
gsa_pooled	401.fasta	denovo10014.0	0.9690285760059435	1.0	4544092	4403355	4403355	0.6349206349206349	1.0	63	40	40
gsa_pooled	737.fasta	190026.0	1.0	1.0	5047604	5047604	5047604	1.0	1.0	46	46	46
gsa_pooled	738.fasta	354913.0	1.0	1.0	1789988	1789988	1789988	1.0	1.0	17	17	17
gsa_pooled	402.fasta	175758.0	0.9952519570375736	1.0	3382025	3365967	3365967	0.8297872340425532	1.0	47	39	39
gsa_pooled	072.fasta	3265889.0	1.0	1.0	2782452	2782452	2782452	1.0	1.0	11	11	11
gsa_pooled	451.fasta	168517.0	1.0	1.0	2470533	2470533	2470533	1.0	1.0	4	4	4
gsa_pooled	720.fasta	289315.1	1.0	1.0	2591084	2591084	2591084	1.0	1.0	25	25	25
gsa_pooled	536.fasta	4440624.0	0.9996500217628389	1.0	3271632	3270487	3270487	0.9444444444444444	1.0	18	17	17
gsa_pooled	407.fasta	267042.0	0.9971501117999898	1.0	3015206	3006613	3006613	0.9253731343283582	1.0	67	62	62
gsa_pooled	170.fasta	822112.0	0.9987644984040253	1.0	4922697	4916615	4916615	0.3333333333333333	1.0	3	1	1
gsa_pooled	201.fasta	228730.1	0.983433480237567	1.0	2412456	2372490	2372490	0.058823529411764705	1.0	17	1	1
gsa_pooled	643.fasta	191318.0	0.9997044764293659	1.0	4849021	4847588	4847588	0.5	1.0	2	1	1
gsa_pooled	198.fasta	175613.0	0.9991506466609903	1.0	4737722	4733698	4733698	0.9662921348314607	1.0	89	86	86
gsa_pooled	640.fasta	4094866.0	0.9927275862420019	1.0	3143248	3120389	3120389	0.0625	1.0	16	1	1
gsa_pooled	682.fasta	381666.0	1.0	1.0	3754188	3754188	3754188	1.0	1.0	24	24	24
gsa_pooled	633.fasta	192222.0	1.0	1.0	3553494	3553494	3553494	1.0	1.0	13	13	13
gsa_pooled	688.fasta	351309.0	1.0	1.0	4218314	4218314	4218314	1.0	1.0	55	55	55
gsa_pooled	193.fasta	4449518.0	0.994494941290204	1.0	3754910	3734239	3734239	0.1	1.0	10	1	1
gsa_pooled	192.fasta	190673.0	0.9111326703480828	1.0	2583064	2353514	2353514	0.03571428571428571	1.0	28	1	1
gsa_pooled	181.fasta	192316.1	0.9429941866553941	1.0	2625855	2476166	2476166	0.016129032258064516	1.0	62	1	1
gsa_pooled	526.fasta	187223.0	1.0	1.0	4326323	4326323	4326323	1.0	1.0	129	129	129
gsa_pooled	176.fasta	4355314.0	1.0	1.0	5351597	5351597	5351597	1.0	1.0	40	40	40
gsa_pooled	696.fasta	1141335.0	0.9990733691514585	1.0	1609055	1607564	1607564	0.6666666666666666	1.0	3	2	2
gsa_pooled	698.fasta	342685.0	1.0	1.0	3006990	3006990	3006990	1.0	1.0	1	1	1
gsa_pooled	169.fasta	637934.0	1.0	1.0	5817203	5817203	5817203	1.0	1.0	2	2	2
gsa_pooled	325.fasta	304047.0	0.8280334401521002	1.0	5920308	4902213	4902213	0.008097165991902834	1.0	247	2	2
gsa_pooled	168.fasta	183958.0	0.7827867548258173	1.0	3079582	2410656	2410656	0.01818181818181818	1.0	55	1	1
gsa_pooled	167.fasta	174824.0	1.0	1.0	4089826	4089826	4089826	1.0	1.0	75	75	75
gsa_pooled	659.fasta	denovo9909.0	0.9849973158606895	1.0	3263616	3214653	3214653	0.6410256410256411	1.0	39	25	25
gsa_pooled	211.fasta	181719.0	0.9767945072805458	1.0	5437161	5310989	5310989	0.045454545454545456	1.0	44	2	2
gsa_pooled	289.fasta	166911.0	0.9787248337177793	1.0	2143344	2097744	2097744	0.42857142857142855	1.0	7	3	3
gsa_pooled	518.fasta	denovo3535.0	0.9864773976975104	1.0	2514235	2480236	2480236	0.13636363636363635	1.0	22	3	3
gsa_pooled	706.fasta	1992.0	0.981406859775528	1.0	6597971	6475294	6475294	0.011494252873563218	1.0	87	1	1
gsa_pooled	152.fasta	1995182.0	0.7756025157761656	1.0	2568273	1991959	1991959	0.0125	1.0	80	1	1
gsa_pooled	472.fasta	375106.0	1.0	1.0	2914865	2914865	2914865	1.0	1.0	10	10	10
gsa_pooled	709.fasta	4405128.0	1.0	1.0	3782947	3782947	3782947	1.0	1.0	1	1	1
gsa_pooled	147.fasta	182764.0	0.995879494270061	1.0	2019655	2011333	2011333	0.6	1.0	5	3	3
gsa_pooled	593.fasta	835900.0	1.0	1.0	3753279	3753279	3753279	1.0	1.0	41	41	41
gsa_pooled	498.fasta	3997242.0	0.8831138023721485	1.0	8022179	7084497	7084497	0.05226480836236934	1.0	287	15	15
gsa_pooled	137.fasta	187233.0	0.9348610993624761	1.0	3357364	3138669	3138669	0.11904761904761904	1.0	42	5	5
gsa_pooled	070.fasta	269125.0	0.8315915343171535	1.0	3613601	3005040	3005040	0.0196078431372549	1.0	51	1	1
gsa_pooled	727.fasta	denovo10394.0	0.9915375250344323	1.0	3315933	3287872	3287872	0.18181818181818182	1.0	11	2	2
