sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa_pooled	MaxBin_kallisto.594.fasta	denovo4456.1	1.0	1.0	3331309	3331309	3331309	1.0	1.0	25	25	25
gsa_pooled	MaxBin_kallisto.639.fasta	833816.0	1.0	1.0	4252166	4252166	4252166	1.0	1.0	65	65	65
gsa_pooled	MaxBin_kallisto.150.fasta	3588390.0	0.9912120317003021	1.0	5155913	5110603	5110603	0.631578947368421	1.0	57	36	36
gsa_pooled	MaxBin_kallisto.600.fasta	1678333.1	1.0	1.0	3812082	3812082	3812082	1.0	1.0	51	51	51
gsa_pooled	MaxBin_kallisto.154.fasta	183958.0	0.9890731009220084	1.0	2437288	2410656	2410656	0.09090909090909091	1.0	11	1	1
gsa_pooled	MaxBin_kallisto.443.fasta	176952.0	0.9919299329432345	1.0	3104683	3079628	3079628	0.868421052631579	1.0	38	33	33
gsa_pooled	MaxBin_kallisto.442.fasta	168984.0	1.0	1.0	4438047	4438047	4438047	1.0	1.0	53	53	53
gsa_pooled	MaxBin_kallisto.157.fasta	denovo3498.0	0.7115406178126842	1.0	3326607	2367016	2367016	0.0029940119760479044	1.0	334	1	1
gsa_pooled	MaxBin_kallisto.643.fasta	denovo10394.0	0.9927854180474762	1.0	3311765	3287872	3287872	0.2857142857142857	1.0	7	2	2
gsa_pooled	MaxBin_kallisto.642.fasta	denovo10506.0	1.0	1.0	3338573	3338573	3338573	1.0	1.0	2	2	2
gsa_pooled	MaxBin_kallisto.281.fasta	denovo12694.1	0.999332707042014	1.0	2869804	2867889	2867889	0.9696969696969697	1.0	33	32	32
gsa_pooled	MaxBin_kallisto.162.fasta	344525.0	1.0	1.0	6217309	6217309	6217309	1.0	1.0	20	20	20
