sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa_pooled	MetaBAT.290.fa	276629.0	0.4068488708797517	1.0	6001398	2441662	2441662	0.003194888178913738	1.0	313	1	1
gsa_pooled	MetaBAT.572.fa	4094866.0	1.0	1.0	3120389	3120389	3120389	1.0	1.0	1	1	1
gsa_pooled	MetaBAT.185.fa	166664.0	1.0	1.0	3449669	3449669	3449669	1.0	1.0	1	1	1
gsa_pooled	MetaBAT.353.fa	405780.0	1.0	1.0	3008574	3008574	3008574	1.0	1.0	1	1	1
gsa_pooled	MetaBAT.493.fa	827592.0	0.5220380708119619	1.0	9381833	4897674	4897674	0.007518796992481203	1.0	133	1	1
gsa_pooled	MetaBAT.364.fa	2883968.1	0.5209223691238091	1.0	7300201	3802838	3802838	0.05	1.0	20	1	1
gsa_pooled	MetaBAT.365.fa	denovo5602.0	0.6513730656033418	1.0	6741120	4390984	4390984	0.018518518518518517	1.0	270	5	5
gsa_pooled	MetaBAT.536.fa	822112.0	1.0	1.0	4916615	4916615	4916615	1.0	1.0	1	1	1
gsa_pooled	MetaBAT.444.fa	1871227.0	0.9901139142336024	1.0	1770367	1752865	1752865	0.5	1.0	2	1	1
gsa_pooled	MetaBAT.483.fa	197875.0	1.0	1.0	2218221	2218221	2218221	1.0	1.0	9	9	9
gsa_pooled	MetaBAT.155.fa	denovo8298.0	0.9960936372605528	1.0	3568793	3554852	3554852	0.16666666666666666	1.0	6	1	1
gsa_pooled	MetaBAT.392.fa	637934.0	1.0	1.0	5817203	5817203	5817203	1.0	1.0	2	2	2
gsa_pooled	MetaBAT.151.fa	177917.0	0.6370091289144727	1.0	3673164	2339839	2339839	0.03508771929824561	1.0	57	2	2
gsa_pooled	MetaBAT.149.fa	192673.0	1.0	1.0	7225337	7225337	7225337	1.0	1.0	1	1	1
gsa_pooled	MetaBAT.57.fa	4449518.0	1.0	1.0	3734239	3734239	3734239	1.0	1.0	1	1	1
gsa_pooled	MetaBAT.538.fa	denovo12370.0	0.7699428712874072	1.0	3555130	2737247	2737247	0.03508771929824561	1.0	57	2	2
gsa_pooled	MetaBAT.500.fa	573135.0	1.0	1.0	7909964	7909964	7909964	1.0	1.0	1	1	1
gsa_pooled	MetaBAT.473.fa	190673.0	0.9380787973530671	1.0	2508866	2353514	2353514	0.1111111111111111	1.0	9	1	1
gsa_pooled	MetaBAT.411.fa	4355314.0	1.0	1.0	5351597	5351597	5351597	1.0	1.0	40	40	40
gsa_pooled	MetaBAT.425.fa	133892.0	0.3612800988101849	1.0	5223753	1887238	1887238	0.0125	1.0	80	1	1
gsa_pooled	MetaBAT.426.fa	183958.0	0.8389442619299515	1.0	2873440	2410656	2410656	0.04	1.0	25	1	1
gsa_pooled	MetaBAT.119.fa	denovo10506.0	1.0	1.0	3338573	3338573	3338573	1.0	1.0	2	2	2
gsa_pooled	MetaBAT.429.fa	denovo9703.0	0.6984489891725202	1.0	3527506	2463783	2463783	0.02631578947368421	1.0	38	1	1
gsa_pooled	MetaBAT.85.fa	191318.0	1.0	1.0	4847588	4847588	4847588	1.0	1.0	1	1	1
gsa_pooled	MetaBAT.430.fa	denovo10721.0	1.0	1.0	2186353	2186353	2186353	1.0	1.0	1	1	1
gsa_pooled	MetaBAT.569.fa	342685.0	1.0	1.0	3006990	3006990	3006990	1.0	1.0	1	1	1
gsa_pooled	MetaBAT.89.fa	258485.0	0.17608451619794913	1.0	14023442	2469311	2469311	0.002652519893899204	1.0	377	1	1
gsa_pooled	MetaBAT.431.fa	1992.0	0.9989642098559582	1.0	6482008	6475294	6475294	0.3333333333333333	1.0	3	1	1
gsa_pooled	MetaBAT.109.fa	269125.0	0.513308959026704	1.0	5854252	3005040	3005040	0.02631578947368421	1.0	38	1	1
