sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa_pooled	280	184966.0	0.500020034939765	1.0	10257081	5128746	5128746	0.5	1.0	2	1	1
gsa_pooled	292	181719.0	0.517769998700454	1.0	10257429	5310989	5310989	0.017699115044247787	1.0	113	2	2
gsa_pooled	254	276629.0	0.3312411064984474	1.0	7371253	2441662	2441662	0.0014925373134328358	1.0	670	1	1
gsa_pooled	25	192316.1	0.3444385048086707	1.0	7188993	2476166	2476166	0.0037735849056603774	1.0	265	1	1
gsa_pooled	12	344828.0	0.5157939929021077	1.0	4101781	2115674	2115674	0.018867924528301886	1.0	53	1	1
gsa_pooled	59	269125.0	0.5060133114249045	1.0	5938658	3005040	3005040	0.023809523809523808	1.0	42	1	1
gsa_pooled	308	463794.0	0.3898361618573764	1.0	5942145	2316463	2316463	0.007832898172323759	1.0	383	3	3
gsa_pooled	135	denovo10014.0	0.47977036944787926	1.0	9178047	4403355	4403355	0.4878048780487805	1.0	82	40	40
gsa_pooled	41	260456.0	0.5158720275151856	1.0	8752694	4515270	4515270	0.28502415458937197	1.0	207	59	59
gsa_pooled	354	192673.0	0.24545957486346204	1.0	29435955	7225337	7225337	0.0045045045045045045	1.0	222	1	1
gsa_pooled	31	168984.0	0.6699545619225892	1.0	6624400	4438047	4438047	0.9814814814814815	1.0	54	53	53
gsa_pooled	154	192598.0	0.5892398407932066	1.0	5729655	3376141	3376141	0.9090909090909091	1.0	11	10	10
gsa_pooled	54	573135.0	0.3452402780702683	1.0	22911475	7909964	7909964	0.0016835016835016834	1.0	594	1	1
gsa_pooled	321	denovo4615.0	0.5319874977073343	1.0	5299508	2819272	2819272	0.94	1.0	50	47	47
gsa_pooled	245	263992.1	0.826573093567147	1.0	5039910	4165854	4165854	0.7058823529411765	1.0	102	72	72
gsa_pooled	210	2883968.1	0.5082541015233705	1.0	7482159	3802838	3802838	0.04	1.0	25	1	1
gsa_pooled	224	190026.0	0.4774552589418977	1.0	10571889	5047604	5047604	0.3026315789473684	1.0	152	46	46
gsa_pooled	170	180879.0	0.558801326747503	1.0	5677644	3172675	3172675	0.16560509554140126	1.0	157	26	26
gsa_pooled	352	187223.0	0.3993008971877877	1.0	10834744	4326323	4326323	0.50390625	1.0	256	129	129
gsa_pooled	283	267042.0	0.5144714797758622	1.0	5844081	3006613	3006613	0.20462046204620463	1.0	303	62	62
gsa_pooled	99	133719.0	0.3372225957969126	1.0	9001621	3035550	3035550	0.021739130434782608	1.0	46	1	1
gsa_pooled	124	1107652.0	1.0	1.0	3488169	3488169	3488169	1.0	1.0	22	22	22
gsa_pooled	96	136604.0	0.545310674689209	1.0	7913036	4315063	4315063	0.7391304347826086	1.0	92	68	68
gsa_pooled	42	263518.0	0.5293301209476172	1.0	8030584	4250830	4250830	0.36496350364963503	1.0	137	50	50
gsa_pooled	233	351309.0	0.6047429940406139	1.0	6975383	4218314	4218314	0.7333333333333333	1.0	75	55	55
gsa_pooled	24	381666.0	0.1462444369321869	1.0	25670638	3754188	3754188	0.03614457831325301	1.0	664	24	24
gsa_pooled	265	258485.0	0.6136832386663701	1.0	4023755	2469311	2469311	0.004807692307692308	1.0	208	1	1
gsa_pooled	342	denovo7143.0	1.0	1.0	4623705	4623705	4623705	1.0	1.0	22	22	22
gsa_pooled	51	denovo8847.0	0.3314281928835976	1.0	11517786	3817319	3817319	0.17727272727272728	1.0	220	39	39
gsa_pooled	289	1108599.0	0.6417684298688432	1.0	7211595	4628174	4628174	0.4657534246575342	1.0	438	204	204
gsa_pooled	77	344525.0	0.9869355404540916	1.0	6299610	6217309	6217309	0.8333333333333334	1.0	24	20	20
gsa_pooled	18	228730.1	0.9974882949668358	1.0	2378464	2372490	2372490	0.5	1.0	2	1	1
gsa_pooled	147	4355314.0	1.0	1.0	5351597	5351597	5351597	1.0	1.0	40	40	40
gsa_pooled	190	245324.1	1.0	1.0	3009781	3009781	3009781	1.0	1.0	30	30	30
gsa_pooled	28	185222.0	1.0	1.0	4150294	4150294	4150294	1.0	1.0	2	2	2
gsa_pooled	113	1992.0	1.0	1.0	6475294	6475294	6475294	1.0	1.0	1	1	1
gsa_pooled	327	177917.0	1.0	1.0	2339839	2339839	2339839	1.0	1.0	2	2	2
gsa_pooled	244	4471135.0	1.0	1.0	4714203	4714203	4714203	1.0	1.0	1	1	1
gsa_pooled	17	175333.0	0.5179753821172106	1.0	4288671	2221426	2221426	0.34558823529411764	1.0	136	47	47
gsa_pooled	272	304047.0	1.0	1.0	4902213	4902213	4902213	1.0	1.0	2	2	2
gsa_pooled	80	4402042.0	0.29307012998038534	1.0	22615720	6627992	6627992	0.4666666666666667	1.0	270	126	126
gsa_pooled	160	335965.0	0.3440999694620029	1.0	8157051	2806841	2806841	0.02358490566037736	1.0	424	10	10
gsa_pooled	274	827592.0	1.0	1.0	4897674	4897674	4897674	1.0	1.0	1	1	1
gsa_pooled	196	637934.0	1.0	1.0	5817203	5817203	5817203	1.0	1.0	2	2	2
gsa_pooled	182	denovo4507.0	1.0	1.0	3263577	3263577	3263577	1.0	1.0	4	4	4
gsa_pooled	333	174824.0	0.9996783294248892	1.0	4091142	4089826	4089826	0.9868421052631579	1.0	76	75	75
gsa_pooled	6	197875.0	1.0	1.0	2218221	2218221	2218221	1.0	1.0	9	9	9
gsa_pooled	81	183958.0	0.26256866044733446	1.0	9181050	2410656	2410656	0.008403361344537815	1.0	119	1	1
gsa_pooled	267	166911.0	0.51293309074033	1.0	4089703	2097744	2097744	0.75	1.0	4	3	3
gsa_pooled	334	180944.0	0.5761919135521272	1.0	7937824	4573710	4573710	0.5476190476190477	1.0	84	46	46
gsa_pooled	153	730939.1	0.5150245579068324	1.0	6293696	3241408	3241408	0.4603174603174603	1.0	63	29	29
gsa_pooled	36	132929.0	1.0	1.0	3500613	3500613	3500613	1.0	1.0	10	10	10
gsa_pooled	198	319134.0	1.0	1.0	3867341	3867341	3867341	1.0	1.0	70	70	70
gsa_pooled	350	190114.0	0.5249736376402928	1.0	6185903	3247436	3247436	0.6588235294117647	1.0	85	56	56
gsa_pooled	290	192222.0	1.0	1.0	3553494	3553494	3553494	1.0	1.0	13	13	13
gsa_pooled	200	denovo1874.0	0.5635003202349924	1.0	11168361	6293375	6293375	0.03636363636363636	1.0	55	2	2
gsa_pooled	214	4312974.0	0.33936653249501747	1.0	8692348	2949892	2949892	0.03571428571428571	1.0	84	3	3
gsa_pooled	360	4372003.0	1.0	1.0	6741325	6741325	6741325	1.0	1.0	18	18	18
gsa_pooled	65	167420.0	1.0	1.0	2605210	2605210	2605210	1.0	1.0	18	18	18
gsa_pooled	126	4394913.0	1.0	0.9999308279038621	3715114	3715114	3715371	1.0	0.875	7	7	8
gsa_pooled	90	827522.0	0.3799534758214639	0.9999173483320809	9361154	3556803	3557097	0.21285140562248997	0.9814814814814815	249	53	54
gsa_pooled	151	270030.0	1.0	0.9999092618617431	3636509	3636509	3636839	1.0	0.9818181818181818	54	54	55
gsa_pooled	322	1033413.0	0.5047569267292736	0.9998899788790009	6481811	3271739	3272099	0.19435736677115986	0.9841269841269841	319	62	63
gsa_pooled	61	191325.0	0.5199524805783354	0.9998606853182901	12243415	6365994	6366881	0.024745269286754003	0.8947368421052632	687	17	19
gsa_pooled	95	193418.1	0.3044747725588049	0.9997995743554674	16105042	4903579	4904562	0.2696629213483146	0.96	89	24	25
gsa_pooled	298	1684221.0	1.0	0.9997861489946387	4586325	4586325	4587306	1.0	0.9444444444444444	34	34	36
gsa_pooled	361	228140.0	0.2503616865393851	0.9997750498031629	17734279	4439984	4440983	0.06875	0.9705882352941176	480	33	34
gsa_pooled	60	170926.0	1.0	0.9997642862999098	4194779	4194779	4195768	1.0	0.975	39	39	40
gsa_pooled	338	184925.0	0.24426468274980997	0.999746682979708	16140999	3942676	3943675	0.39543726235741444	0.9904761904761905	263	104	105
gsa_pooled	98	denovo5363.0	0.5647961052922674	0.9997426467244943	13625464	7695609	7697590	0.04484304932735426	0.8695652173913043	446	20	23
gsa_pooled	357	319219.0	0.6746765815165794	0.9997269468236386	8954111	6041129	6042779	0.25742574257425743	0.9629629629629629	101	26	27
gsa_pooled	240	4424327.0	1.0	0.9997179572376809	4398801	4398801	4400042	1.0	0.9878787878787879	163	163	165
gsa_pooled	171	173916.0	1.0	0.9997111819746657	7248146	7248146	7250240	1.0	0.9166666666666666	22	22	24
gsa_pooled	2	denovo10305.0	0.37727229298079945	0.9996776932188484	7818369	2949654	2950605	0.19170984455958548	0.9736842105263158	193	37	38
gsa_pooled	347	271602.0	0.30705727731591664	0.9996716573877954	15041679	4618657	4620174	0.2939189189189189	0.9886363636363636	296	87	88
gsa_pooled	264	318732.1	0.5193334319985138	0.9996456214167901	13182631	6846181	6848608	0.026923076923076925	0.9032258064516129	1040	28	31
gsa_pooled	195	193680.1	0.5578230724321833	0.9996261904624838	4669278	2604631	2605605	0.5340909090909091	0.9791666666666666	88	47	48
gsa_pooled	144	129394.0	0.3738114090441093	0.99959416608008	10496357	3923658	3925251	0.27230046948356806	0.9830508474576272	213	58	59
gsa_pooled	114	4329571.0	0.5588058334310978	0.9995767268259099	11541338	6449367	6452098	0.29245283018867924	0.9393939393939394	106	31	33
gsa_pooled	175	167509.0	0.43115697039216794	0.9995717541015211	10269580	4427801	4429698	0.4444444444444444	0.9302325581395349	90	40	43
gsa_pooled	314	189789.0	0.999366224345113	0.9995675891348665	4010883	4008341	4010075	0.99	0.9705882352941176	100	99	102
gsa_pooled	312	229459.0	1.0	0.9995588508797955	2456135	2456135	2457219	1.0	0.9873417721518988	156	156	158
gsa_pooled	174	340139.0	0.992755893215629	0.9995557746688319	4252008	4221206	4223082	0.9142857142857143	0.9142857142857143	35	32	35
