"","short_name","Freq","long_name","TAXID","RANK","TAXPATHSN"
"38","164664.0",57,"GCF_000165775.1_ASM16577v3",880633,"strain","Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillushelveticus"
"501","denovo12977.0",57,"GCF_000162015.1_ASM16201v1",411483,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Faecalibacterium_Faecalibacteriumprausnitzii"
"660","denovo7482.0",57,"GCF_000162135.1_ASM16213v1",469587,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidessp_2_1_16_UnclassifiedBacteroidessp_2_1_16strain"
"129","191251.0",56,"GCF_000162535.1_ASM16253v1",469591,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_Parabacteroidessp_20_3_UnclassifiedParabacteroidessp_20_3strain"
"198","262917.0",56,"GCF_000484655.1_ASM48465v1",1121115,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_Blautiawexlerae"
"510","denovo1402.1",56,"GCF_001297745.1_ASM129774v1",837.3,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasgingivalis_UnclassifiedPorphyromonasgingivalisstrain"
"520","denovo1779.0",56,"GCF_000403455.2_Dore_bact_5-2_V1",1235798,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Dorea_Doreasp_5-2_UnclassifiedDoreasp_5-2strain"
"561","denovo3289.0",56,"GCF_002208045.1_SJD12",1297567,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasgingivalis"
"682","denovo8373.0",56,"GCF_002754015.1_ASM275401v1",837.8,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasgingivalis_UnclassifiedPorphyromonasgingivalisstrain"
"264","296045.1",55,"GCF_000273765.1_Bact_frag_CL05T00C42_V1",997880,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidesfragilis"
"380","4439360.0",55,"GCF_001286525.1_BFBE1.1",817.1,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidesfragilis_UnclassifiedBacteroidesfragilisstrain"
"448","denovo10243.0",55,"GCF_900130135.1_PRJEB18269",1917883,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidessp_Marseille-P3166_UnclassifiedBacteroidessp_Marseille-P3166strain"
"458","denovo10471.1",55,"GCF_900157225.1_7BTORR",837.15,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasgingivalis_UnclassifiedPorphyromonasgingivalisstrain"
"469","denovo10769.0",55,"GCF_001997325.1_ASM199732v1",817,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidesfragilis_UnclassifiedBacteroidesfragilisstrain"
"515","denovo1685.1",55,"GCF_001746265.1_ASM174626v2",1587,"strain","Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillushelveticus_UnclassifiedLactobacillushelveticusstrain"
"613","denovo5222.1",55,"GCF_002754075.1_ASM275407v1",837.13,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasgingivalis_UnclassifiedPorphyromonasgingivalisstrain"
"647","denovo663.1",55,"GCF_002753935.1_ASM275393v1",837.9,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasgingivalis_UnclassifiedPorphyromonasgingivalisstrain"
"656","denovo725.0",55,"GCF_000467975.1_ASM46797v1",1321822,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasgingivalis"
"720","denovo9776.0",55,"GCF_900104155.1_IMG-taxon_2593339137_annotated_assembly",1520807,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Butyrivibrio_Butyrivibriosp_INlla16_UnclassifiedButyrivibriosp_INlla16strain"
"263","296045.0",54,"GCF_001815255.1_ASM181525v1",1739517,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidessp_HMSC073E02_UnclassifiedBacteroidessp_HMSC073E02strain"
"443","995147.0",54,"GCF_002754155.1_ASM275415v1",837.7,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasgingivalis_UnclassifiedPorphyromonasgingivalisstrain"
"513","denovo1684.0",54,"GCF_000467955.1_ASM46795v1",1321821,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasgingivalis"
"527","denovo2179.0",54,"GCF_000273155.1_Bact_frag_CL07T12C05_V1",997883,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidesfragilis"
"652","denovo7014.0",54,"GCF_900155655.1_Prevotella_ihuae",1917878,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_Prevotellaihumii_UnclassifiedPrevotellaihumiistrain"
"222","268099.0",53,"GCF_000467815.1_ASM46781v1",1227270,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasgingivalis"
"511","denovo1457.0",53,"GCF_000307345.1_Para_merd_CL03T12C32_V1",999420,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_Parabacteroidesmerdae"
"543","denovo256.0",53,"GCF_002257605.1_ASM225760v1",2025876,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_Parabacteroidessp_CT06_UnclassifiedParabacteroidessp_CT06strain"
"556","denovo3050.0",53,"GCF_000467995.1_ASM46799v1",1321823,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasgingivalis"
"610","denovo5086.0",53,"GCF_002550015.1_ASM255001v1",853,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Faecalibacterium_Faecalibacteriumprausnitzii_UnclassifiedFaecalibacteriumprausnitziistrain"
"35","162668.0",52,"GCF_000493455.1_LhCIRMBIA951V1",1226334,"strain","Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillushelveticus"
"60","174358.0",52,"GCF_000424325.1_ASM42432v1",1280695,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnoclostridium_[Clostridium]clostridioforme"
