sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa_pooled	MetaBAT_kallisto.1.fa	2883968.1	1.0	1.0	3802838	3802838	3802838	1.0	1.0	1	1	1
gsa_pooled	MetaBAT_kallisto.581.fa	832848.0	1.0	1.0	2701449	2701449	2701449	1.0	1.0	17	17	17
gsa_pooled	MetaBAT_kallisto.516.fa	192673.0	1.0	1.0	7225337	7225337	7225337	1.0	1.0	1	1	1
gsa_pooled	MetaBAT_kallisto.54.fa	827592.0	1.0	1.0	4897674	4897674	4897674	1.0	1.0	1	1	1
gsa_pooled	MetaBAT_kallisto.861.fa	177917.0	1.0	1.0	2339839	2339839	2339839	1.0	1.0	2	2	2
gsa_pooled	MetaBAT_kallisto.828.fa	190673.0	1.0	1.0	2353514	2353514	2353514	1.0	1.0	1	1	1
gsa_pooled	MetaBAT_kallisto.51.fa	304047.0	1.0	1.0	4902213	4902213	4902213	1.0	1.0	2	2	2
gsa_pooled	MetaBAT_kallisto.580.fa	denovo420.0	1.0	1.0	2519588	2519588	2519588	1.0	1.0	16	16	16
gsa_pooled	MetaBAT_kallisto.628.fa	3265889.0	1.0	1.0	2782452	2782452	2782452	1.0	1.0	11	11	11
gsa_pooled	MetaBAT_kallisto.368.fa	1995182.0	1.0	1.0	1991959	1991959	1991959	1.0	1.0	1	1	1
gsa_pooled	MetaBAT_kallisto.46.fa	229455.0	1.0	1.0	4068710	4068710	4068710	1.0	1.0	1	1	1
gsa_pooled	MetaBAT_kallisto.868.fa	822112.0	1.0	1.0	4916615	4916615	4916615	1.0	1.0	1	1	1
gsa_pooled	MetaBAT_kallisto.43.fa	denovo9703.0	1.0	1.0	2463783	2463783	2463783	1.0	1.0	1	1	1
gsa_pooled	MetaBAT_kallisto.497.fa	4440624.0	1.0	1.0	3270487	3270487	3270487	1.0	1.0	17	17	17
gsa_pooled	MetaBAT_kallisto.40.fa	637934.0	1.0	1.0	5817203	5817203	5817203	1.0	1.0	2	2	2
gsa_pooled	MetaBAT_kallisto.549.fa	342685.0	1.0	1.0	3006990	3006990	3006990	1.0	1.0	1	1	1
gsa_pooled	MetaBAT_kallisto.56.fa	192316.1	1.0	1.0	2476166	2476166	2476166	1.0	1.0	1	1	1
gsa_pooled	MetaBAT_kallisto.860.fa	denovo10721.0	1.0	1.0	2186353	2186353	2186353	1.0	1.0	1	1	1
gsa_pooled	MetaBAT_kallisto.829.fa	133719.0	1.0	1.0	3035550	3035550	3035550	1.0	1.0	1	1	1
gsa_pooled	MetaBAT_kallisto.856.fa	denovo8648.0	1.0	1.0	1787666	1787666	1787666	1.0	1.0	3	3	3
gsa_pooled	MetaBAT_kallisto.565.fa	4355314.0	1.0	1.0	5351597	5351597	5351597	1.0	1.0	40	40	40
gsa_pooled	MetaBAT_kallisto.63.fa	573135.0	1.0	1.0	7909964	7909964	7909964	1.0	1.0	1	1	1
gsa_pooled	MetaBAT_kallisto.850.fa	denovo10506.0	1.0	1.0	3338573	3338573	3338573	1.0	1.0	2	2	2
gsa_pooled	MetaBAT_kallisto.65.fa	denovo9521.0	1.0	1.0	3168267	3168267	3168267	1.0	1.0	2	2	2
gsa_pooled	MetaBAT_kallisto.835.fa	denovo3535.0	1.0	1.0	2480236	2480236	2480236	1.0	1.0	3	3	3
gsa_pooled	MetaBAT_kallisto.846.fa	185222.0	1.0	1.0	4150294	4150294	4150294	1.0	1.0	2	2	2
gsa_pooled	MetaBAT_kallisto.845.fa	denovo8298.0	1.0	1.0	3554852	3554852	3554852	1.0	1.0	1	1	1
